"age","female","pathway","disease_type3","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,"direct","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","All_HD","leg_tot",26.9119838698236,3.04599632945385,25.1817013905092,25.1280288740984,30.1666789729661,0.0226985365986156,0.00250148265230929,0.0217111200344655,0.0208849465779584,0.0253514306988003,2.17111200344655,2.08849465779584,2.53514306988003,0.0787972400741349,0.00891855855732876,0.0737310403997404,0.0735738893631814,0.0883268605083237
25,0,"direct","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","All_STK","leg_tot",30.5693462415081,4.39210547777345,32.513353857324,25.8893480921174,33.5969379174553,0.113580378501016,0.0155855293152871,0.116358463117675,0.0977709137583163,0.127028471319555,11.6358463117675,9.77709137583163,12.7028471319555,0.0895058545796183,0.0128599136889014,0.0951978331253231,0.075803002366722,0.0983705250286656
25,0,"direct","Cancer","dairy_tot",89.555149159251,15.9552167248742,95.35294814901,72.7037404098171,101.47842876739,0.0203241262509357,0.00306058412992428,0.0216531263408914,0.0170651684962198,0.0224534339291893,2.16531263408914,1.70651684962198,2.24534339291893,0.262213986984777,0.0467162528331661,0.279189716500202,0.212873718826195,0.297124885055247
25,0,"direct","Cancer","leg_tot",18.5973198601502,5.53484260465549,21.3869106926497,12.6809612408751,22.1425262718007,0.0042362642413389,0.00126664057643258,0.00490175860090278,0.00288189976218941,0.00502495851485909,0.490175860090278,0.288189976218941,0.502495851485909,0.0544522278567096,0.0162058034666341,0.0626200411104752,0.0371293603660509,0.0648324540816676
25,0,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medBMI","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medBMI","All_HD","leg_tot",35.195719626477,10.6085949113647,32.1342634875933,26.7384885786307,46.2551883923744,0.0295894345750123,0.00839949042527236,0.0269744349487346,0.0230167966729288,0.0383848221594318,2.69744349487346,2.30167966729288,3.83848221594318,0.103051695571919,0.0310615525084859,0.0940878712950116,0.0782892526222255,0.135433389156983
25,0,"medBMI","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
