"age","race","pathway","disease_type3","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"direct","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","All_HD","leg_tot",19.8317989032957,4.24562706744385,20.1476314730389,15.672603076893,23.7225370454167,0.0254453250348156,0.00492331319880589,0.0266236268438269,0.0203689660234954,0.0295201275084762,2.66236268438269,2.03689660234954,2.95201275084762,0.0529018004194674,0.0113253122862232,0.0537442913932815,0.041807045546914,0.0632804379642787
25,1,"direct","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","All_STK","leg_tot",25.5465325816848,4.05241571836932,27.6620068357791,21.2135444315919,28.0813676157974,0.116884150640084,0.0204553839968268,0.122753264745274,0.0955666386476808,0.133212915643075,12.2753264745274,9.55666386476808,13.3212915643075,0.0681459899142643,0.0108099163669041,0.0737890683525004,0.0565876398395246,0.0749077233165034
25,1,"direct","Cancer","dairy_tot",112.065538636892,14.3430422250859,118.871694545708,96.7507853805345,121.595059370755,0.0124690258610521,0.00116662868857855,0.0131185657153989,0.0112220193787456,0.0131639234671639,1.31185657153989,1.12220193787456,1.31639234671639,0.298937518869442,0.0382604100061439,0.317093103406564,0.258085046323114,0.324357744559217
25,1,"direct","Cancer","leg_tot",18.3564398183494,5.35397262140408,21.0001298931709,12.6351070874326,21.8306359856681,0.00205881843263617,0.000640955494464535,0.00241403184754884,0.0013736590910786,0.00244204637151798,0.241403184754884,0.13736590910786,0.244204637151798,0.0489662445861584,0.0142818507009842,0.0560183514268489,0.0337044519600729,0.0582337463976571
25,1,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","All_HD","leg_tot",23.7701297642254,3.33599574915334,25.488336045524,20.2034311923971,25.8763529969499,0.0305183218053742,0.00365837367435812,0.0321372572431266,0.0266201760309223,0.0330403724577366,3.21372572431266,2.66201760309223,3.30403724577366,0.0634073926860423,0.00889884887308803,0.0679907492547511,0.0538931384863436,0.0690257938023384
25,1,"medBMI","All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","All_STK","leg_tot",6.87888380694124,0.768682552554647,6.47951418731531,6.39646265860808,7.70076913195644,0.0313491295628806,0.00237885396099017,0.0309098342502203,0.0293050061585588,0.0337666539829638,3.09098342502203,2.93050061585588,3.37666539829638,0.0183495879540729,0.00205047919149759,0.0172842598910933,0.0170627179413375,0.020541986820341
25,1,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
