"female","disease_type3","riskfactor","V1","V2","V3"
0,"All_HD","dairy_tot",0,0,0
0,"All_STK","dairy_tot",0,0,0
0,"Cancer","dairy_tot",0.014192250264281,0.0126510385203377,0.0145232963321757
0,"DIAB","dairy_tot",0,0,0
0,"Other_CVD","dairy_tot",0,0,0
1,"All_HD","dairy_tot",0,0,0
1,"All_STK","dairy_tot",0,0,0
1,"Cancer","dairy_tot",0.00914000933161435,0.00881231847928439,0.00837329795139184
1,"DIAB","dairy_tot",0,0,0
1,"Other_CVD","dairy_tot",0,0,0
0,"All_HD","leg_tot",0.0332256727443036,0.0313475483853826,0.0308478366197001
0,"All_STK","leg_tot",0.0629413500030718,0.0649357298018528,0.0645057199291595
0,"Cancer","leg_tot",0.00782816035541279,0.00880801933364901,0.00787756361967225
0,"DIAB","leg_tot",0.0365153400107566,0.0408522498442391,0.0340039166505632
0,"Other_CVD","leg_tot",0.0146470799081571,0.014400872721582,0.0138355279855363
1,"All_HD","leg_tot",0.0281250063616527,0.0241690922835919,0.0290718431653752
1,"All_STK","leg_tot",0.0597795287892181,0.0654394698700523,0.0597870381622489
1,"Cancer","leg_tot",0.00795682121490251,0.00709654422168234,0.0079073904696244
1,"DIAB","leg_tot",0.0338497935336896,0.0339530179240866,0.0400373726472798
1,"Other_CVD","leg_tot",0.0120902069824251,0.0148306231105573,0.0123858642530541
