"female","race","disease_type","X1","X2","X3"
1,1,"CMD",268925.945405372,267549.527341832,268476.499973707
1,2,"CMD",45578.1397313391,45916.5411437495,46086.8140653318
1,3,"CMD",24162.2681798891,23822.3797440155,23457.5314680314
1,4,"CMD",12072.2068335581,12046.070286529,12131.4281237853
0,1,"CMD",300964.261613754,303304.859069997,301694.033900694
0,2,"CMD",49439.5189382743,50021.2548766448,50104.5751326053
0,3,"CMD",28987.652877056,29124.2419102446,29275.610929129
0,4,"CMD",14190.6339636154,14305.5014768911,14266.8277612947
1,1,"Cancer",435058.079118665,434866.949676885,433417.807129334
1,2,"Cancer",66412.4181937774,65649.3457531789,66623.9626438692
1,3,"Cancer",54237.236254186,53902.3127433739,53690.7571974884
1,4,"Cancer",42472.3186450944,43910.1382363869,43124.9441582551
0,1,"Cancer",306829.16506578,304041.011552696,305442.766475829
0,2,"Cancer",43598.5667731626,44508.7315587113,44511.3063409029
0,3,"Cancer",33690.1755773211,33796.4649724278,33698.3458668738
0,4,"Cancer",30066.1577347132,30686.8373279228,30546.0798369085
