"disease_type2","riskfactor","V1","V2","V3"
"Cancer","dairy_tot",0.0112070103757301,0.0103800247559707,0.0108927629184079
"DIAB","dairy_tot",0,0,0
"HHD","dairy_tot",0,0,0
"HSTK","dairy_tot",0,0,0
"IHD","dairy_tot",0,0,0
"ISTK","dairy_tot",0,0,0
"OSTK","dairy_tot",0,0,0
"Other_CVD","dairy_tot",0,0,0
"Cancer","leg_tot",0.00790418276506482,0.00779549862490219,0.00789517132762174
"DIAB","leg_tot",0.035348248328178,0.0378530356394117,0.0366437919497049
"HHD","leg_tot",0.0328393456781167,0.0275256974951935,0.0251338290664028
"HSTK","leg_tot",0.0706211808145837,0.0698082132884444,0.0725540461028413
"IHD","leg_tot",0.0308147916073646,0.028443182452392,0.0307953262171042
"ISTK","leg_tot",0.0560010614439818,0.0601320260500782,0.056663981026353
"OSTK","leg_tot",0.059597431479004,0.0660634931051235,0.0596203125490141
"Other_CVD","leg_tot",0.0132956081196398,0.014626361846571,0.013071744071379
