"race","disease_type1","riskfactor","V1","V2","V3"
1,"CMD","dairy_tot",0,0,0
2,"CMD","dairy_tot",0,0,0
3,"CMD","dairy_tot",0,0,0
4,"CMD","dairy_tot",0,0,0
1,"Cancer","dairy_tot",7590.22880210514,6767.69449198569,7036.7303640346
2,"Cancer","dairy_tot",1631.51285498973,1660.1947681685,1795.78881193556
3,"Cancer","dairy_tot",1051.88367932388,1078.06962461081,1088.76874192285
4,"Cancer","dairy_tot",1071.94983088188,992.001551585883,1091.90505673958
1,"CMD","leg_tot",20119.2526642962,19808.5722202227,19315.0344921645
2,"CMD","leg_tot",3389.93154589674,3453.46545364578,3953.18640009784
3,"CMD","leg_tot",1607.37489111152,1636.03539582511,1574.23763273177
4,"CMD","leg_tot",768.281974980032,863.616574650335,899.643801883443
1,"Cancer","leg_tot",6157.57268939588,5980.59324061038,6116.45045729239
2,"Cancer","leg_tot",783.772328778145,848.688795943509,775.260898319461
3,"Cancer","leg_tot",561.664926704328,579.732700087141,564.871886929412
4,"Cancer","leg_tot",498.901063549952,475.054720782738,525.87685965596
