"female","disease_type3","riskfactor","V1","V2","V3"
0,"Other_CVD","dairy_tot",0,0,0
1,"Other_CVD","dairy_tot",0,0,0
0,"Cancer","dairy_tot",5878.20390809994,5225.29696767653,6015.52753435566
1,"Cancer","dairy_tot",5467.37125920071,5272.66346867436,4997.66544027693
0,"DIAB","dairy_tot",0,0,0
1,"DIAB","dairy_tot",0,0,0
0,"All_HD","dairy_tot",0,0,0
1,"All_HD","dairy_tot",0,0,0
0,"All_STK","dairy_tot",0,0,0
1,"All_STK","dairy_tot",0,0,0
0,"Other_CVD","leg_tot",760.742725883646,754.144509685796,721.944530590327
1,"Other_CVD","leg_tot",704.037644107168,857.36301766452,719.708932290323
0,"Cancer","leg_tot",3242.29927865858,3638.00304942269,3262.87502326808
1,"Cancer","leg_tot",4759.61172976972,4246.06640800107,4719.58507892915
0,"DIAB","leg_tot",1494.82932074238,1675.0207419812,1381.59904575092
1,"DIAB","leg_tot",1079.27871292752,1070.59077610302,1265.44677497162
0,"All_HD","leg_tot",7934.64611622238,7555.69810400585,7394.8251539188
1,"All_HD","leg_tot",4943.95471674412,4224.7461066415,5076.91658753995
0,"All_STK","leg_tot",3895.82800106663,4049.13304437845,4051.64107620085
1,"All_STK","leg_tot",5071.52383859068,5574.99334388363,5130.0202256148
