"age","outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"AA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AA","medBMI","leg_tot",4.37284311150787,0.173419778886145,4.42246220879875,4.19214402926484,4.51136596105365,0.0276825222994443,0.000886742798724537,0.0273700087400458,0.0270131308119648,0.0286175503124125,2.73700087400458,2.70131308119648,2.86175503124125,0.00649069052189796,0.000257410130302571,0.00656434105000483,0.00622247558929635,0.00669630250560873
25,"AA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AFF","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AFF","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AFF","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AFF","medBMI","leg_tot",0.3238294526081,0.0745130307397858,0.325907294312229,0.252179635491357,0.393713104276333,0.0285657041793643,0.00517199503866772,0.0308371761116894,0.0230562050046948,0.0321444522115576,3.08371761116894,2.30562050046948,3.21444522115576,0.00048066594322201,0.000110601046058075,0.000483750121435379,0.000374314817193387,0.000584395517769268
25,"AFF","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"AFF","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"APCA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"APCA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"APCA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"APCA","medBMI","leg_tot",0.0356163709025832,0.00388679531175706,0.0360011610726078,0.0317739755429347,0.0391316946177107,0.0036085061361858,0.00035428352830273,0.00350135648927922,0.00332922525540066,0.00397886421684152,0.350135648927922,0.332922525540067,0.397886421684152,5.28660267809342e-05,5.76924093713477e-06,5.34371778251886e-05,4.71626894998363e-05,5.80838856744159e-05
25,"APCA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"APCA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"BC","direct","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,"BC","direct","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,"BC","medBMI","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,"BC","medBMI","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,"BC","medSBP","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,"BC","medSBP","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,"CC","direct","dairy_tot",193.07279488199,15.7142390355253,200.504246856993,176.295341983177,203.53351360205,0.0716163085471317,0.00243806617565305,0.0715906839044108,0.0693111321009958,0.0739432659395804,7.15906839044108,6.93111321009958,7.39432659395804,0.286581459206469,0.0233249306608561,0.297612098465205,0.26167838088076,0.302108494162251
25,"CC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"CC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
