"race","pathway","riskfactor","V1","V2","V3"
1,"direct","dairy_tot",0.00578621685800517,0.00516711638884169,0.00537552570281027
1,"medBMI","dairy_tot",0,0,0
1,"medSBP","dairy_tot",0,0,0
2,"direct","dairy_tot",0.00795748743225291,0.00805544886137435,0.00866163969301528
2,"medBMI","dairy_tot",0,0,0
2,"medSBP","dairy_tot",0,0,0
3,"direct","dairy_tot",0.00745607857610685,0.00766516096110777,0.0077701348443051
3,"medBMI","dairy_tot",0,0,0
3,"medSBP","dairy_tot",0,0,0
4,"direct","dairy_tot",0.0108495500010564,0.00982680363260054,0.0109114910994293
4,"medBMI","dairy_tot",0,0,0
4,"medSBP","dairy_tot",0,0,0
1,"direct","leg_tot",0.00912139753471845,0.00914866246923338,0.00881255446887846
1,"medBMI","leg_tot",0.0109100684198021,0.0105412954130295,0.0106151618047426
1,"medSBP","leg_tot",0,0,0
2,"direct","leg_tot",0.00890765003820231,0.00930256625712651,0.0109661169846018
2,"medBMI","leg_tot",0.0114490367185684,0.0115719625727303,0.0118406331934206
2,"medSBP","leg_tot",0,0,0
3,"direct","leg_tot",0.00631021244802132,0.00649800534107178,0.006566713965388
3,"medBMI","leg_tot",0.00906461618962297,0.0092562824339744,0.00869930973138886
3,"medSBP","leg_tot",0,0,0
4,"direct","leg_tot",0.00557933688874575,0.00584611814758448,0.00670548756441844
4,"medBMI","leg_tot",0.00724623138035031,0.00741480864006975,0.00753984989824117
4,"medSBP","leg_tot",0,0,0
