"race","pathway","riskfactor","V1","V2","V3"
1,"direct","dairy_tot",7590.22880210514,6767.69449198569,7036.7303640346
1,"medBMI","dairy_tot",0,0,0
1,"medSBP","dairy_tot",0,0,0
2,"direct","dairy_tot",1631.51285498973,1660.1947681685,1795.78881193556
2,"medBMI","dairy_tot",0,0,0
2,"medSBP","dairy_tot",0,0,0
3,"direct","dairy_tot",1051.88367932388,1078.06962461081,1088.76874192285
3,"medBMI","dairy_tot",0,0,0
3,"medSBP","dairy_tot",0,0,0
4,"direct","dairy_tot",1071.94983088188,992.001551585883,1091.90505673958
4,"medBMI","dairy_tot",0,0,0
4,"medSBP","dairy_tot",0,0,0
1,"direct","leg_tot",11965.2436095075,11982.573633482,11535.90793612
1,"medBMI","leg_tot",14311.5817441846,13806.5918273512,13895.577013337
1,"medSBP","leg_tot",0,0,0
2,"direct","leg_tot",1826.32340532171,1917.22051699393,2273.56838765813
2,"medBMI","leg_tot",2347.38046935317,2384.93373259536,2454.87891075916
2,"medSBP","leg_tot",0,0,0
3,"direct","leg_tot",890.227942126358,913.914556303835,920.142706133706
3,"medBMI","leg_tot",1278.81187568949,1301.85353960842,1218.96681352748
3,"medSBP","leg_tot",0,0,0
4,"direct","leg_tot",551.245833582199,590.157134504932,671.013311817282
4,"medBMI","leg_tot",715.937204947784,748.514160928141,754.507349722122
4,"medSBP","leg_tot",0,0,0
