"age","female","race","pathway","disease_type2","riskfactor","V1","V2","V3"
25,0,1,"direct","Other_CVD","dairy_tot",0,0,0
25,0,1,"medBMI","Other_CVD","dairy_tot",0,0,0
25,0,1,"medSBP","Other_CVD","dairy_tot",0,0,0
25,0,2,"direct","Other_CVD","dairy_tot",0,0,0
25,0,2,"medBMI","Other_CVD","dairy_tot",0,0,0
25,0,2,"medSBP","Other_CVD","dairy_tot",0,0,0
25,0,3,"direct","Other_CVD","dairy_tot",0,0,0
25,0,3,"medBMI","Other_CVD","dairy_tot",0,0,0
25,0,3,"medSBP","Other_CVD","dairy_tot",0,0,0
25,0,4,"direct","Other_CVD","dairy_tot",0,0,0
25,0,4,"medBMI","Other_CVD","dairy_tot",0,0,0
25,0,4,"medSBP","Other_CVD","dairy_tot",0,0,0
35,0,1,"direct","Other_CVD","dairy_tot",0,0,0
35,0,1,"medBMI","Other_CVD","dairy_tot",0,0,0
35,0,1,"medSBP","Other_CVD","dairy_tot",0,0,0
35,0,2,"direct","Other_CVD","dairy_tot",0,0,0
35,0,2,"medBMI","Other_CVD","dairy_tot",0,0,0
35,0,2,"medSBP","Other_CVD","dairy_tot",0,0,0
35,0,3,"direct","Other_CVD","dairy_tot",0,0,0
35,0,3,"medBMI","Other_CVD","dairy_tot",0,0,0
35,0,3,"medSBP","Other_CVD","dairy_tot",0,0,0
35,0,4,"direct","Other_CVD","dairy_tot",0,0,0
35,0,4,"medBMI","Other_CVD","dairy_tot",0,0,0
35,0,4,"medSBP","Other_CVD","dairy_tot",0,0,0
45,0,1,"direct","Other_CVD","dairy_tot",0,0,0
45,0,1,"medBMI","Other_CVD","dairy_tot",0,0,0
45,0,1,"medSBP","Other_CVD","dairy_tot",0,0,0
45,0,2,"direct","Other_CVD","dairy_tot",0,0,0
45,0,2,"medBMI","Other_CVD","dairy_tot",0,0,0
45,0,2,"medSBP","Other_CVD","dairy_tot",0,0,0
45,0,3,"direct","Other_CVD","dairy_tot",0,0,0
45,0,3,"medBMI","Other_CVD","dairy_tot",0,0,0
45,0,3,"medSBP","Other_CVD","dairy_tot",0,0,0
45,0,4,"direct","Other_CVD","dairy_tot",0,0,0
45,0,4,"medBMI","Other_CVD","dairy_tot",0,0,0
45,0,4,"medSBP","Other_CVD","dairy_tot",0,0,0
55,0,1,"direct","Other_CVD","dairy_tot",0,0,0
55,0,1,"medBMI","Other_CVD","dairy_tot",0,0,0
55,0,1,"medSBP","Other_CVD","dairy_tot",0,0,0
55,0,2,"direct","Other_CVD","dairy_tot",0,0,0
55,0,2,"medBMI","Other_CVD","dairy_tot",0,0,0
55,0,2,"medSBP","Other_CVD","dairy_tot",0,0,0
55,0,3,"direct","Other_CVD","dairy_tot",0,0,0
55,0,3,"medBMI","Other_CVD","dairy_tot",0,0,0
55,0,3,"medSBP","Other_CVD","dairy_tot",0,0,0
55,0,4,"direct","Other_CVD","dairy_tot",0,0,0
55,0,4,"medBMI","Other_CVD","dairy_tot",0,0,0
55,0,4,"medSBP","Other_CVD","dairy_tot",0,0,0
65,0,1,"direct","Other_CVD","dairy_tot",0,0,0
65,0,1,"medBMI","Other_CVD","dairy_tot",0,0,0
65,0,1,"medSBP","Other_CVD","dairy_tot",0,0,0
65,0,2,"direct","Other_CVD","dairy_tot",0,0,0
65,0,2,"medBMI","Other_CVD","dairy_tot",0,0,0
65,0,2,"medSBP","Other_CVD","dairy_tot",0,0,0
65,0,3,"direct","Other_CVD","dairy_tot",0,0,0
65,0,3,"medBMI","Other_CVD","dairy_tot",0,0,0
65,0,3,"medSBP","Other_CVD","dairy_tot",0,0,0
65,0,4,"direct","Other_CVD","dairy_tot",0,0,0
65,0,4,"medBMI","Other_CVD","dairy_tot",0,0,0
65,0,4,"medSBP","Other_CVD","dairy_tot",0,0,0
75,0,1,"direct","Other_CVD","dairy_tot",0,0,0
75,0,1,"medBMI","Other_CVD","dairy_tot",0,0,0
75,0,1,"medSBP","Other_CVD","dairy_tot",0,0,0
75,0,2,"direct","Other_CVD","dairy_tot",0,0,0
75,0,2,"medBMI","Other_CVD","dairy_tot",0,0,0
75,0,2,"medSBP","Other_CVD","dairy_tot",0,0,0
75,0,3,"direct","Other_CVD","dairy_tot",0,0,0
75,0,3,"medBMI","Other_CVD","dairy_tot",0,0,0
75,0,3,"medSBP","Other_CVD","dairy_tot",0,0,0
75,0,4,"direct","Other_CVD","dairy_tot",0,0,0
75,0,4,"medBMI","Other_CVD","dairy_tot",0,0,0
75,0,4,"medSBP","Other_CVD","dairy_tot",0,0,0
25,1,1,"direct","Other_CVD","dairy_tot",0,0,0
25,1,1,"medBMI","Other_CVD","dairy_tot",0,0,0
25,1,1,"medSBP","Other_CVD","dairy_tot",0,0,0
25,1,2,"direct","Other_CVD","dairy_tot",0,0,0
25,1,2,"medBMI","Other_CVD","dairy_tot",0,0,0
25,1,2,"medSBP","Other_CVD","dairy_tot",0,0,0
25,1,3,"direct","Other_CVD","dairy_tot",0,0,0
25,1,3,"medBMI","Other_CVD","dairy_tot",0,0,0
25,1,3,"medSBP","Other_CVD","dairy_tot",0,0,0
25,1,4,"direct","Other_CVD","dairy_tot",0,0,0
25,1,4,"medBMI","Other_CVD","dairy_tot",0,0,0
25,1,4,"medSBP","Other_CVD","dairy_tot",0,0,0
35,1,1,"direct","Other_CVD","dairy_tot",0,0,0
35,1,1,"medBMI","Other_CVD","dairy_tot",0,0,0
35,1,1,"medSBP","Other_CVD","dairy_tot",0,0,0
35,1,2,"direct","Other_CVD","dairy_tot",0,0,0
35,1,2,"medBMI","Other_CVD","dairy_tot",0,0,0
35,1,2,"medSBP","Other_CVD","dairy_tot",0,0,0
35,1,3,"direct","Other_CVD","dairy_tot",0,0,0
35,1,3,"medBMI","Other_CVD","dairy_tot",0,0,0
35,1,3,"medSBP","Other_CVD","dairy_tot",0,0,0
35,1,4,"direct","Other_CVD","dairy_tot",0,0,0
35,1,4,"medBMI","Other_CVD","dairy_tot",0,0,0
35,1,4,"medSBP","Other_CVD","dairy_tot",0,0,0
45,1,1,"direct","Other_CVD","dairy_tot",0,0,0
45,1,1,"medBMI","Other_CVD","dairy_tot",0,0,0
45,1,1,"medSBP","Other_CVD","dairy_tot",0,0,0
45,1,2,"direct","Other_CVD","dairy_tot",0,0,0
45,1,2,"medBMI","Other_CVD","dairy_tot",0,0,0
45,1,2,"medSBP","Other_CVD","dairy_tot",0,0,0
45,1,3,"direct","Other_CVD","dairy_tot",0,0,0
45,1,3,"medBMI","Other_CVD","dairy_tot",0,0,0
45,1,3,"medSBP","Other_CVD","dairy_tot",0,0,0
45,1,4,"direct","Other_CVD","dairy_tot",0,0,0
45,1,4,"medBMI","Other_CVD","dairy_tot",0,0,0
45,1,4,"medSBP","Other_CVD","dairy_tot",0,0,0
55,1,1,"direct","Other_CVD","dairy_tot",0,0,0
55,1,1,"medBMI","Other_CVD","dairy_tot",0,0,0
55,1,1,"medSBP","Other_CVD","dairy_tot",0,0,0
55,1,2,"direct","Other_CVD","dairy_tot",0,0,0
55,1,2,"medBMI","Other_CVD","dairy_tot",0,0,0
55,1,2,"medSBP","Other_CVD","dairy_tot",0,0,0
55,1,3,"direct","Other_CVD","dairy_tot",0,0,0
55,1,3,"medBMI","Other_CVD","dairy_tot",0,0,0
55,1,3,"medSBP","Other_CVD","dairy_tot",0,0,0
55,1,4,"direct","Other_CVD","dairy_tot",0,0,0
55,1,4,"medBMI","Other_CVD","dairy_tot",0,0,0
55,1,4,"medSBP","Other_CVD","dairy_tot",0,0,0
65,1,1,"direct","Other_CVD","dairy_tot",0,0,0
65,1,1,"medBMI","Other_CVD","dairy_tot",0,0,0
65,1,1,"medSBP","Other_CVD","dairy_tot",0,0,0
65,1,2,"direct","Other_CVD","dairy_tot",0,0,0
65,1,2,"medBMI","Other_CVD","dairy_tot",0,0,0
65,1,2,"medSBP","Other_CVD","dairy_tot",0,0,0
65,1,3,"direct","Other_CVD","dairy_tot",0,0,0
65,1,3,"medBMI","Other_CVD","dairy_tot",0,0,0
65,1,3,"medSBP","Other_CVD","dairy_tot",0,0,0
65,1,4,"direct","Other_CVD","dairy_tot",0,0,0
65,1,4,"medBMI","Other_CVD","dairy_tot",0,0,0
65,1,4,"medSBP","Other_CVD","dairy_tot",0,0,0
75,1,1,"direct","Other_CVD","dairy_tot",0,0,0
75,1,1,"medBMI","Other_CVD","dairy_tot",0,0,0
75,1,1,"medSBP","Other_CVD","dairy_tot",0,0,0
75,1,2,"direct","Other_CVD","dairy_tot",0,0,0
75,1,2,"medBMI","Other_CVD","dairy_tot",0,0,0
75,1,2,"medSBP","Other_CVD","dairy_tot",0,0,0
75,1,3,"direct","Other_CVD","dairy_tot",0,0,0
75,1,3,"medBMI","Other_CVD","dairy_tot",0,0,0
75,1,3,"medSBP","Other_CVD","dairy_tot",0,0,0
75,1,4,"direct","Other_CVD","dairy_tot",0,0,0
