"female","disease_type2","riskfactor","V1","V2","V3"
0,"Other_CVD","dairy_tot",0,0,0
1,"Other_CVD","dairy_tot",0,0,0
0,"Cancer","dairy_tot",5878.20390809994,5225.29696767653,6015.52753435566
1,"Cancer","dairy_tot",5467.37125920071,5272.66346867436,4997.66544027693
0,"DIAB","dairy_tot",0,0,0
1,"DIAB","dairy_tot",0,0,0
0,"HHD","dairy_tot",0,0,0
1,"HHD","dairy_tot",0,0,0
0,"HSTK","dairy_tot",0,0,0
1,"HSTK","dairy_tot",0,0,0
0,"IHD","dairy_tot",0,0,0
1,"IHD","dairy_tot",0,0,0
0,"ISTK","dairy_tot",0,0,0
1,"ISTK","dairy_tot",0,0,0
0,"OSTK","dairy_tot",0,0,0
1,"OSTK","dairy_tot",0,0,0
0,"Other_CVD","leg_tot",760.742725883646,754.144509685796,721.944530590327
1,"Other_CVD","leg_tot",704.037644107168,857.36301766452,719.708932290323
0,"Cancer","leg_tot",3242.29927865858,3638.00304942269,3262.87502326808
1,"Cancer","leg_tot",4759.61172976972,4246.06640800107,4719.58507892915
0,"DIAB","leg_tot",1494.82932074238,1675.0207419812,1381.59904575092
1,"DIAB","leg_tot",1079.27871292752,1070.59077610302,1265.44677497162
0,"HHD","leg_tot",877.807381774036,737.007189561917,757.994021625484
1,"HHD","leg_tot",791.614128385076,675.145540814654,522.293853779467
0,"HSTK","leg_tot",1045.6251834947,957.196742077745,994.985173400516
1,"HSTK","leg_tot",1364.64505928101,1446.29413270414,1518.13114032564
0,"IHD","leg_tot",7056.83873444834,6818.69091444393,6636.83113229332
1,"IHD","leg_tot",4152.34058835904,3549.60056582685,4554.62273376048
0,"ISTK","leg_tot",1117.35603309119,903.036614700997,1038.11353802333
1,"ISTK","leg_tot",1277.72677440429,1655.90336834146,1392.94430186429
0,"OSTK","leg_tot",1732.84678448075,2188.89968759971,2018.54236477701
1,"OSTK","leg_tot",2429.15200490537,2472.79584283803,2218.94478342487
