"disease_type3","riskfactor","V1","V2","V3"
"All_HD","dairy_tot",0,0,0
"All_STK","dairy_tot",0,0,0
"Cancer","dairy_tot",0.0112070103757301,0.0103800247559707,0.0108927629184079
"DIAB","dairy_tot",0,0,0
"Other_CVD","dairy_tot",0,0,0
"All_HD","leg_tot",0.0310630340754124,0.0283299875143763,0.03009932513045
"All_STK","leg_tot",0.0611132724233179,0.065226583365986,0.0617813333272857
"Cancer","leg_tot",0.00790418276506482,0.00779549862490219,0.00789517132762174
"DIAB","leg_tot",0.035348248328178,0.0378530356394117,0.0366437919497049
"Other_CVD","leg_tot",0.0132956081196398,0.014626361846571,0.013071744071379
