"female","race","disease_type","riskfactor","V1","V2","V3"
0,1,"CMD","dairy_tot",0,0,0
0,2,"CMD","dairy_tot",0,0,0
0,3,"CMD","dairy_tot",0,0,0
0,4,"CMD","dairy_tot",0,0,0
1,1,"CMD","dairy_tot",0,0,0
1,2,"CMD","dairy_tot",0,0,0
1,3,"CMD","dairy_tot",0,0,0
1,4,"CMD","dairy_tot",0,0,0
0,1,"Cancer","dairy_tot",3932.98093742544,3199.34683397668,3897.31466102369
0,2,"Cancer","dairy_tot",729.284987701897,839.827915290856,875.348215632845
0,3,"Cancer","dairy_tot",591.198932490674,596.742465669104,549.342248013556
0,4,"Cancer","dairy_tot",624.739050481926,589.379752739887,693.52240968557
1,1,"Cancer","dairy_tot",3657.2478646797,3568.34765800901,3139.41570301091
1,2,"Cancer","dairy_tot",902.227867287836,820.366852877648,920.44059630272
1,3,"Cancer","dairy_tot",460.684746833209,481.327158941706,539.426493909293
1,4,"Cancer","dairy_tot",447.210780399958,402.621798845995,398.382647054008
0,1,"CMD","leg_tot",10823.9016967111,11003.3769411173,10255.2702450498
0,2,"CMD","leg_tot",1987.5323388172,1757.7847376536,1974.01007121493
0,3,"CMD","leg_tot",859.545116184678,799.957245664977,900.173388353008
0,4,"CMD","leg_tot",415.06701220206,472.877475615374,420.556101843215
1,1,"CMD","leg_tot",9295.35096758512,8805.19527910539,9059.76424711478
1,2,"CMD","leg_tot",1402.39920707954,1695.68071599219,1979.17632888291
1,3,"CMD","leg_tot",747.829774926846,836.078150160134,674.064244378768
1,4,"CMD","leg_tot",353.214962777971,390.739099034961,479.087700040228
0,1,"Cancer","leg_tot",2521.04997703865,2877.27049498165,2527.35447046158
0,2,"Cancer","leg_tot",312.597642805378,355.763140606223,300.888986677245
0,3,"Cancer","leg_tot",224.755642479811,213.985429374534,211.495292314809
0,4,"Cancer","leg_tot",183.896016334744,190.983984460289,223.13627381444
1,1,"Cancer","leg_tot",3636.52271235723,3103.32274562873,3589.09598683081
1,2,"Cancer","leg_tot",471.174685972767,492.925655337286,474.371911642215
1,3,"Cancer","leg_tot",336.909284224517,365.747270712606,353.376594614603
1,4,"Cancer","leg_tot",315.005047215208,284.070736322449,302.74058584152
