"age","disease_type1","X1","X2","X3"
25,"CMD",4606.19254955004,4668.26318117785,4513.47326801482
35,"CMD",12534.1209428926,12693.7152319689,12542.6554175133
45,"CMD",38296.6315203764,38331.2502642665,38559.363777514
55,"CMD",95075.2737751275,94947.0752793427,94860.8813358428
65,"CMD",141719.577577436,141968.031161183,141792.627429729
75,"CMD",452088.831177475,453482.040731964,453224.320125965
25,"Cancer",15249.8300077948,15780.7282087379,15012.5147915582
35,"Cancer",30028.8993982611,29059.3009490102,29570.5788232106
45,"Cancer",97085.8497540772,97673.8930429333,96041.8829458156
55,"Cancer",298570.976776201,296764.067460863,296979.674355373
65,"Cancer",306174.149280978,306350.513097788,308811.037766106
75,"Cancer",265254.412145387,265733.28906225,264640.280967397
