"female","race","pathway","disease_type","riskfactor","V1","V2","V3"
0,1,"direct","CMD","dairy_tot",0,0,0
0,1,"direct","Cancer","dairy_tot",0.0128181456824102,0.010522747630782,0.0127595578903064
0,1,"medBMI","CMD","dairy_tot",0,0,0
0,1,"medBMI","Cancer","dairy_tot",0,0,0
0,1,"medSBP","CMD","dairy_tot",0,0,0
0,1,"medSBP","Cancer","dairy_tot",0,0,0
0,2,"direct","CMD","dairy_tot",0,0,0
0,2,"direct","Cancer","dairy_tot",0.0167272697631614,0.0188688350775183,0.0196657498418207
0,2,"medBMI","CMD","dairy_tot",0,0,0
0,2,"medBMI","Cancer","dairy_tot",0,0,0
0,2,"medSBP","CMD","dairy_tot",0,0,0
0,2,"medSBP","Cancer","dairy_tot",0,0,0
0,3,"direct","CMD","dairy_tot",0,0,0
0,3,"direct","Cancer","dairy_tot",0.0175481107581002,0.0176569492151308,0.0163017570709182
0,3,"medBMI","CMD","dairy_tot",0,0,0
0,3,"medBMI","Cancer","dairy_tot",0,0,0
0,3,"medSBP","CMD","dairy_tot",0,0,0
0,3,"medSBP","Cancer","dairy_tot",0,0,0
0,4,"direct","CMD","dairy_tot",0,0,0
0,4,"direct","Cancer","dairy_tot",0.0207788123775,0.0192062722672171,0.022704137925011
0,4,"medBMI","CMD","dairy_tot",0,0,0
0,4,"medBMI","Cancer","dairy_tot",0,0,0
0,4,"medSBP","CMD","dairy_tot",0,0,0
0,4,"medSBP","Cancer","dairy_tot",0,0,0
1,1,"direct","CMD","dairy_tot",0,0,0
1,1,"direct","Cancer","dairy_tot",0.00840634398075887,0.00820560785467915,0.00724339344477854
1,1,"medBMI","CMD","dairy_tot",0,0,0
1,1,"medBMI","Cancer","dairy_tot",0,0,0
1,1,"medSBP","CMD","dairy_tot",0,0,0
1,1,"medSBP","Cancer","dairy_tot",0,0,0
1,2,"direct","CMD","dairy_tot",0,0,0
1,2,"direct","Cancer","dairy_tot",0.0135852283627939,0.0124961923605754,0.0138154585794128
1,2,"medBMI","CMD","dairy_tot",0,0,0
1,2,"medBMI","Cancer","dairy_tot",0,0,0
1,2,"medSBP","CMD","dairy_tot",0,0,0
1,2,"medSBP","Cancer","dairy_tot",0,0,0
1,3,"direct","CMD","dairy_tot",0,0,0
1,3,"direct","Cancer","dairy_tot",0.00849388314467542,0.00892961979633933,0.0100469153736302
1,3,"medBMI","CMD","dairy_tot",0,0,0
1,3,"medBMI","Cancer","dairy_tot",0,0,0
1,3,"medSBP","CMD","dairy_tot",0,0,0
1,3,"medSBP","Cancer","dairy_tot",0,0,0
1,4,"direct","CMD","dairy_tot",0,0,0
1,4,"direct","Cancer","dairy_tot",0.0105294647117555,0.00916922184754946,0.00923787044435506
1,4,"medBMI","CMD","dairy_tot",0,0,0
1,4,"medBMI","Cancer","dairy_tot",0,0,0
1,4,"medSBP","CMD","dairy_tot",0,0,0
1,4,"medSBP","Cancer","dairy_tot",0,0,0
0,1,"direct","CMD","leg_tot",0.0163358184882219,0.0176534043168965,0.0174858063029531
0,1,"direct","Cancer","leg_tot",0.00402094917309646,0.00498445178647704,0.00393682494689113
0,1,"medBMI","CMD","leg_tot",0.0196282579063437,0.018624870204838,0.0165064808909838
0,1,"medBMI","Cancer","leg_tot",0.00419551218088914,0.00447897711177527,0.0043375712669134
0,1,"medSBP","CMD","leg_tot",0,0,0
0,1,"medSBP","Cancer","leg_tot",0,0,0
0,2,"direct","CMD","leg_tot",0.019212344660951,0.0171304483472827,0.0212512512981234
0,2,"direct","Cancer","leg_tot",0.00277895522065579,0.003899843967271,0.0029093901467906
0,2,"medBMI","CMD","leg_tot",0.0209889433268761,0.0180103081568953,0.0181465495212743
0,2,"medBMI","Cancer","leg_tot",0.00439095117630861,0.00409326498342864,0.00385044261059464
0,2,"medSBP","CMD","leg_tot",0,0,0
0,2,"medSBP","Cancer","leg_tot",0,0,0
0,3,"direct","CMD","leg_tot",0.0141571151966906,0.0129592927131163,0.0149544253717493
0,3,"direct","Cancer","leg_tot",0.00207231409093556,0.00250231994756253,0.00253834257428361
0,3,"medBMI","CMD","leg_tot",0.0154949963361137,0.014507765421145,0.0157938104390137
0,3,"medBMI","Cancer","leg_tot",0.00459893765021321,0.00382927211536803,0.0037377901816186
0,3,"medSBP","CMD","leg_tot",0,0,0
0,3,"medSBP","Cancer","leg_tot",0,0,0
0,4,"direct","CMD","leg_tot",0.014602195753131,0.0173632851792034,0.0169814931956259
0,4,"direct","Cancer","leg_tot",0.00339772212160666,0.00291624852469978,0.00337162222361907
0,4,"medBMI","CMD","leg_tot",0.0146471678247251,0.0156923526381252,0.0124964053869985
0,4,"medBMI","Cancer","leg_tot",0.00271865689686782,0.00330739656519377,0.00393328482192681
0,4,"medSBP","CMD","leg_tot",0,0,0
0,4,"medSBP","Cancer","leg_tot",0,0,0
1,1,"direct","CMD","leg_tot",0.0191851100860866,0.0173400223523744,0.0161842403309656
1,1,"direct","Cancer","leg_tot",0.00150698894389345,0.00108864970704501,0.00164502146231072
1,1,"medBMI","CMD","leg_tot",0.0153796134982204,0.015570502164664,0.0175608518763674
1,1,"medBMI","Cancer","leg_tot",0.0068517173688914,0.00604760828619766,0.00663589346041144
1,1,"medSBP","CMD","leg_tot",0,0,0
1,1,"medSBP","Cancer","leg_tot",0,0,0
1,2,"direct","CMD","leg_tot",0.0153818563717034,0.0179929392593537,0.0220428591128091
1,2,"direct","Cancer","leg_tot",0.000816706653647703,0.000922832502122053,0.000951573012535803
1,2,"medBMI","CMD","leg_tot",0.0153872626697055,0.0189366872707364,0.0209016656720299
1,2,"medBMI","Cancer","leg_tot",0.00627797079956563,0.00658563006794732,0.00616856654112474
1,2,"medSBP","CMD","leg_tot",0,0,0
1,2,"medSBP","Cancer","leg_tot",0,0,0
1,3,"direct","CMD","leg_tot",0.0157507071341686,0.0173909279019445,0.0152839204094452
1,3,"direct","Cancer","leg_tot",0.000543113324441796,0.000697968628581164,0.000713004981185119
1,3,"medBMI","CMD","leg_tot",0.0151996063612045,0.0177054041666504,0.0134515944633539
1,3,"medBMI","Cancer","leg_tot",0.00566865754540068,0.00608740387396636,0.00586869758849169
1,3,"medSBP","CMD","leg_tot",0,0,0
1,3,"medSBP","Cancer","leg_tot",0,0,0
1,4,"direct","CMD","leg_tot",0.0164114948647832,0.017659192055532,0.0235492780009564
1,4,"direct","Cancer","leg_tot",0.00103012998295588,0.000900755987779366,0.000929046031003758
1,4,"medBMI","CMD","leg_tot",0.0128470299143078,0.0147778674784739,0.0159421730591964
1,4,"medBMI","Cancer","leg_tot",0.0063865841796836,0.005568609578623,0.00609103461491096
1,4,"medSBP","CMD","leg_tot",0,0,0
1,4,"medSBP","Cancer","leg_tot",0,0,0
