"disease_type3","riskfactor","V1","V2","V3"
"Other_CVD","dairy_tot",0,0,0
"Cancer","dairy_tot",11345.5751673006,10497.9604363509,11013.1929746326
"DIAB","dairy_tot",0,0,0
"All_HD","dairy_tot",0,0,0
"All_STK","dairy_tot",0,0,0
"Other_CVD","leg_tot",1464.78036999081,1611.50752735032,1441.65346288065
"Cancer","leg_tot",8001.91100842831,7884.06945742375,7982.46010219722
"DIAB","leg_tot",2574.1080336699,2745.61151808422,2647.04582072253
"All_HD","leg_tot",12878.6008329665,11780.4442106473,12471.7417414587
"All_STK","leg_tot",8967.35183965731,9624.12638826209,9181.66130181566
