"age","race","outcome","pathway","riskfactor","V1","V2","V3"
25,1,"AA","direct","dairy_tot",0,0,0
25,1,"AA","medBMI","dairy_tot",0,0,0
25,1,"AA","medSBP","dairy_tot",0,0,0
25,2,"AA","direct","dairy_tot",0,0,0
25,2,"AA","medBMI","dairy_tot",0,0,0
25,2,"AA","medSBP","dairy_tot",0,0,0
25,3,"AA","direct","dairy_tot",0,0,0
25,3,"AA","medBMI","dairy_tot",0,0,0
25,3,"AA","medSBP","dairy_tot",0,0,0
25,4,"AA","direct","dairy_tot",0,0,0
25,4,"AA","medBMI","dairy_tot",0,0,0
25,4,"AA","medSBP","dairy_tot",0,0,0
35,1,"AA","direct","dairy_tot",0,0,0
35,1,"AA","medBMI","dairy_tot",0,0,0
35,1,"AA","medSBP","dairy_tot",0,0,0
35,2,"AA","direct","dairy_tot",0,0,0
35,2,"AA","medBMI","dairy_tot",0,0,0
35,2,"AA","medSBP","dairy_tot",0,0,0
35,3,"AA","direct","dairy_tot",0,0,0
35,3,"AA","medBMI","dairy_tot",0,0,0
35,3,"AA","medSBP","dairy_tot",0,0,0
35,4,"AA","direct","dairy_tot",0,0,0
35,4,"AA","medBMI","dairy_tot",0,0,0
35,4,"AA","medSBP","dairy_tot",0,0,0
45,1,"AA","direct","dairy_tot",0,0,0
45,1,"AA","medBMI","dairy_tot",0,0,0
45,1,"AA","medSBP","dairy_tot",0,0,0
45,2,"AA","direct","dairy_tot",0,0,0
45,2,"AA","medBMI","dairy_tot",0,0,0
45,2,"AA","medSBP","dairy_tot",0,0,0
45,3,"AA","direct","dairy_tot",0,0,0
45,3,"AA","medBMI","dairy_tot",0,0,0
45,3,"AA","medSBP","dairy_tot",0,0,0
45,4,"AA","direct","dairy_tot",0,0,0
45,4,"AA","medBMI","dairy_tot",0,0,0
45,4,"AA","medSBP","dairy_tot",0,0,0
55,1,"AA","direct","dairy_tot",0,0,0
55,1,"AA","medBMI","dairy_tot",0,0,0
55,1,"AA","medSBP","dairy_tot",0,0,0
55,2,"AA","direct","dairy_tot",0,0,0
55,2,"AA","medBMI","dairy_tot",0,0,0
55,2,"AA","medSBP","dairy_tot",0,0,0
55,3,"AA","direct","dairy_tot",0,0,0
55,3,"AA","medBMI","dairy_tot",0,0,0
55,3,"AA","medSBP","dairy_tot",0,0,0
55,4,"AA","direct","dairy_tot",0,0,0
55,4,"AA","medBMI","dairy_tot",0,0,0
55,4,"AA","medSBP","dairy_tot",0,0,0
65,1,"AA","direct","dairy_tot",0,0,0
65,1,"AA","medBMI","dairy_tot",0,0,0
65,1,"AA","medSBP","dairy_tot",0,0,0
65,2,"AA","direct","dairy_tot",0,0,0
65,2,"AA","medBMI","dairy_tot",0,0,0
65,2,"AA","medSBP","dairy_tot",0,0,0
65,3,"AA","direct","dairy_tot",0,0,0
65,3,"AA","medBMI","dairy_tot",0,0,0
65,3,"AA","medSBP","dairy_tot",0,0,0
65,4,"AA","direct","dairy_tot",0,0,0
65,4,"AA","medBMI","dairy_tot",0,0,0
65,4,"AA","medSBP","dairy_tot",0,0,0
75,1,"AA","direct","dairy_tot",0,0,0
75,1,"AA","medBMI","dairy_tot",0,0,0
75,1,"AA","medSBP","dairy_tot",0,0,0
75,2,"AA","direct","dairy_tot",0,0,0
75,2,"AA","medBMI","dairy_tot",0,0,0
75,2,"AA","medSBP","dairy_tot",0,0,0
75,3,"AA","direct","dairy_tot",0,0,0
75,3,"AA","medBMI","dairy_tot",0,0,0
75,3,"AA","medSBP","dairy_tot",0,0,0
75,4,"AA","direct","dairy_tot",0,0,0
75,4,"AA","medBMI","dairy_tot",0,0,0
75,4,"AA","medSBP","dairy_tot",0,0,0
25,1,"AFF","direct","dairy_tot",0,0,0
25,1,"AFF","medBMI","dairy_tot",0,0,0
25,1,"AFF","medSBP","dairy_tot",0,0,0
25,2,"AFF","direct","dairy_tot",0,0,0
25,2,"AFF","medBMI","dairy_tot",0,0,0
25,2,"AFF","medSBP","dairy_tot",0,0,0
25,3,"AFF","direct","dairy_tot",0,0,0
25,3,"AFF","medBMI","dairy_tot",0,0,0
25,3,"AFF","medSBP","dairy_tot",0,0,0
25,4,"AFF","direct","dairy_tot",0,0,0
25,4,"AFF","medBMI","dairy_tot",0,0,0
25,4,"AFF","medSBP","dairy_tot",0,0,0
35,1,"AFF","direct","dairy_tot",0,0,0
35,1,"AFF","medBMI","dairy_tot",0,0,0
35,1,"AFF","medSBP","dairy_tot",0,0,0
35,2,"AFF","direct","dairy_tot",0,0,0
35,2,"AFF","medBMI","dairy_tot",0,0,0
35,2,"AFF","medSBP","dairy_tot",0,0,0
35,3,"AFF","direct","dairy_tot",0,0,0
35,3,"AFF","medBMI","dairy_tot",0,0,0
35,3,"AFF","medSBP","dairy_tot",0,0,0
35,4,"AFF","direct","dairy_tot",0,0,0
35,4,"AFF","medBMI","dairy_tot",0,0,0
35,4,"AFF","medSBP","dairy_tot",0,0,0
45,1,"AFF","direct","dairy_tot",0,0,0
45,1,"AFF","medBMI","dairy_tot",0,0,0
45,1,"AFF","medSBP","dairy_tot",0,0,0
45,2,"AFF","direct","dairy_tot",0,0,0
45,2,"AFF","medBMI","dairy_tot",0,0,0
45,2,"AFF","medSBP","dairy_tot",0,0,0
45,3,"AFF","direct","dairy_tot",0,0,0
45,3,"AFF","medBMI","dairy_tot",0,0,0
45,3,"AFF","medSBP","dairy_tot",0,0,0
45,4,"AFF","direct","dairy_tot",0,0,0
45,4,"AFF","medBMI","dairy_tot",0,0,0
45,4,"AFF","medSBP","dairy_tot",0,0,0
55,1,"AFF","direct","dairy_tot",0,0,0
55,1,"AFF","medBMI","dairy_tot",0,0,0
55,1,"AFF","medSBP","dairy_tot",0,0,0
55,2,"AFF","direct","dairy_tot",0,0,0
55,2,"AFF","medBMI","dairy_tot",0,0,0
55,2,"AFF","medSBP","dairy_tot",0,0,0
55,3,"AFF","direct","dairy_tot",0,0,0
55,3,"AFF","medBMI","dairy_tot",0,0,0
55,3,"AFF","medSBP","dairy_tot",0,0,0
55,4,"AFF","direct","dairy_tot",0,0,0
55,4,"AFF","medBMI","dairy_tot",0,0,0
55,4,"AFF","medSBP","dairy_tot",0,0,0
65,1,"AFF","direct","dairy_tot",0,0,0
65,1,"AFF","medBMI","dairy_tot",0,0,0
65,1,"AFF","medSBP","dairy_tot",0,0,0
65,2,"AFF","direct","dairy_tot",0,0,0
65,2,"AFF","medBMI","dairy_tot",0,0,0
65,2,"AFF","medSBP","dairy_tot",0,0,0
65,3,"AFF","direct","dairy_tot",0,0,0
65,3,"AFF","medBMI","dairy_tot",0,0,0
65,3,"AFF","medSBP","dairy_tot",0,0,0
65,4,"AFF","direct","dairy_tot",0,0,0
65,4,"AFF","medBMI","dairy_tot",0,0,0
65,4,"AFF","medSBP","dairy_tot",0,0,0
75,1,"AFF","direct","dairy_tot",0,0,0
75,1,"AFF","medBMI","dairy_tot",0,0,0
75,1,"AFF","medSBP","dairy_tot",0,0,0
75,2,"AFF","direct","dairy_tot",0,0,0
75,2,"AFF","medBMI","dairy_tot",0,0,0
75,2,"AFF","medSBP","dairy_tot",0,0,0
75,3,"AFF","direct","dairy_tot",0,0,0
75,3,"AFF","medBMI","dairy_tot",0,0,0
75,3,"AFF","medSBP","dairy_tot",0,0,0
75,4,"AFF","direct","dairy_tot",0,0,0
