"age","disease_type","riskfactor","V1","V2","V3"
25,"CMD","dairy_tot",0,0,0
35,"CMD","dairy_tot",0,0,0
45,"CMD","dairy_tot",0,0,0
55,"CMD","dairy_tot",0,0,0
65,"CMD","dairy_tot",0,0,0
75,"CMD","dairy_tot",0,0,0
25,"Cancer","dairy_tot",200.504246856993,203.692948693895,175.021189095082
35,"Cancer","dairy_tot",542.989581367523,505.410129128514,562.671730744856
45,"Cancer","dairy_tot",1550.22410530668,1421.73580776971,1246.10705509031
55,"Cancer","dairy_tot",2806.31715638394,2929.97447415364,3280.5168517034
65,"Cancer","dairy_tot",2797.94659423475,2764.68905944211,3029.20998894604
75,"Cancer","dairy_tot",3447.59348315076,2672.458017163,2719.6661590529
25,"CMD","leg_tot",259.798862404368,257.67478991679,246.876629569959
35,"CMD","leg_tot",754.19239435273,817.006372552434,702.903593482247
45,"CMD","leg_tot",2137.07726925123,2110.82851957932,2113.30015630743
55,"CMD","leg_tot",4108.12666277774,3873.60023315368,4532.87269922339
65,"CMD","leg_tot",6243.94403127273,6765.59823934353,5914.01451767092
75,"CMD","leg_tot",12381.7018562257,11936.9814897982,12232.1347306236
25,"Cancer","leg_tot",110.176308107075,104.717696449593,99.7332178621747
35,"Cancer","leg_tot",234.021117730558,290.561613539286,273.686033621284
45,"Cancer","leg_tot",954.453362565071,988.131612765673,832.425355651435
55,"Cancer","leg_tot",2266.46895665992,2333.61834805517,2601.72533678307
65,"Cancer","leg_tot",2683.20470170873,2280.41222104824,2598.22659264853
75,"Cancer","leg_tot",1753.58656165695,1886.62796556581,1576.66356563073
