"female","pathway","disease_type3","riskfactor","V1","V2","V3"
0,"direct","All_HD","dairy_tot",0,0,0
0,"direct","All_STK","dairy_tot",0,0,0
0,"direct","Cancer","dairy_tot",0.014192250264281,0.0126510385203377,0.0145232963321757
0,"direct","DIAB","dairy_tot",0,0,0
0,"direct","Other_CVD","dairy_tot",0,0,0
0,"medBMI","All_HD","dairy_tot",0,0,0
0,"medBMI","All_STK","dairy_tot",0,0,0
0,"medBMI","Cancer","dairy_tot",0,0,0
0,"medBMI","DIAB","dairy_tot",0,0,0
0,"medBMI","Other_CVD","dairy_tot",0,0,0
0,"medSBP","All_HD","dairy_tot",0,0,0
0,"medSBP","All_STK","dairy_tot",0,0,0
0,"medSBP","Cancer","dairy_tot",0,0,0
0,"medSBP","DIAB","dairy_tot",0,0,0
0,"medSBP","Other_CVD","dairy_tot",0,0,0
1,"direct","All_HD","dairy_tot",0,0,0
1,"direct","All_STK","dairy_tot",0,0,0
1,"direct","Cancer","dairy_tot",0.00914000933161435,0.00881231847928439,0.00837329795139184
1,"direct","DIAB","dairy_tot",0,0,0
1,"direct","Other_CVD","dairy_tot",0,0,0
1,"medBMI","All_HD","dairy_tot",0,0,0
1,"medBMI","All_STK","dairy_tot",0,0,0
1,"medBMI","Cancer","dairy_tot",0,0,0
1,"medBMI","DIAB","dairy_tot",0,0,0
1,"medBMI","Other_CVD","dairy_tot",0,0,0
1,"medSBP","All_HD","dairy_tot",0,0,0
1,"medSBP","All_STK","dairy_tot",0,0,0
1,"medSBP","Cancer","dairy_tot",0,0,0
1,"medSBP","DIAB","dairy_tot",0,0,0
1,"medSBP","Other_CVD","dairy_tot",0,0,0
0,"direct","All_HD","leg_tot",0.0144631048146254,0.0149894745140935,0.0158108575894753
0,"direct","All_STK","leg_tot",0.0489529288738838,0.051705642397014,0.0514252755668717
0,"direct","Cancer","leg_tot",0.00368646731149802,0.0045108131291087,0.00367095306247848
0,"direct","DIAB","leg_tot",0,0,0
0,"direct","Other_CVD","leg_tot",0,0,0
0,"medBMI","All_HD","leg_tot",0.0187625679296782,0.0163580738712891,0.0150369790302248
0,"medBMI","All_STK","leg_tot",0.013988421129188,0.0132300874048388,0.0130804443622878
0,"medBMI","Cancer","leg_tot",0.00414169304391477,0.00429720620454031,0.00420661055719377
0,"medBMI","DIAB","leg_tot",0.0365153400107566,0.0408522498442391,0.0340039166505632
0,"medBMI","Other_CVD","leg_tot",0.0146470799081571,0.014400872721582,0.0138355279855363
0,"medSBP","All_HD","leg_tot",0,0,0
0,"medSBP","All_STK","leg_tot",0,0,0
0,"medSBP","Cancer","leg_tot",0,0,0
0,"medSBP","DIAB","leg_tot",0,0,0
0,"medSBP","Other_CVD","leg_tot",0,0,0
1,"direct","All_HD","leg_tot",0.0139074284285767,0.00874133953381412,0.0112139882534673
1,"direct","All_STK","leg_tot",0.0470834922402742,0.0535785376248022,0.0471633398964615
1,"direct","Cancer","leg_tot",0.00130909773852236,0.00102147117998948,0.00143204372332258
1,"direct","DIAB","leg_tot",0,0,0
1,"direct","Other_CVD","leg_tot",0,0,0
1,"medBMI","All_HD","leg_tot",0.0142175779330759,0.0154277527497778,0.0178578549119079
1,"medBMI","All_STK","leg_tot",0.012696036548944,0.0118609322452501,0.0126236982657874
1,"medBMI","Cancer","leg_tot",0.00664772347638015,0.00607507304169285,0.00647534674630182
1,"medBMI","DIAB","leg_tot",0.0338497935336896,0.0339530179240866,0.0400373726472798
1,"medBMI","Other_CVD","leg_tot",0.0120902069824251,0.0148306231105573,0.0123858642530541
1,"medSBP","All_HD","leg_tot",0,0,0
1,"medSBP","All_STK","leg_tot",0,0,0
1,"medSBP","Cancer","leg_tot",0,0,0
1,"medSBP","DIAB","leg_tot",0,0,0
1,"medSBP","Other_CVD","leg_tot",0,0,0
