"age","pathway","riskfactor","V1","V2","V3"
25,"direct","dairy_tot",0.01009790587606,0.0099610266741246,0.00896349975023537
25,"medBMI","dairy_tot",0,0,0
25,"medSBP","dairy_tot",0,0,0
35,"direct","dairy_tot",0.0127573085043148,0.0121047573410698,0.0133609242056443
35,"medBMI","dairy_tot",0,0,0
35,"medSBP","dairy_tot",0,0,0
45,"direct","dairy_tot",0.0114506994606192,0.0104535444263191,0.00925776755732179
45,"medBMI","dairy_tot",0,0,0
45,"medSBP","dairy_tot",0,0,0
55,"direct","dairy_tot",0.00712903311654437,0.00747993650029222,0.00837207074167321
55,"medBMI","dairy_tot",0,0,0
55,"medSBP","dairy_tot",0,0,0
65,"direct","dairy_tot",0.00624689837444234,0.00616679612040561,0.00672255958599345
65,"medBMI","dairy_tot",0,0,0
65,"medSBP","dairy_tot",0,0,0
75,"direct","dairy_tot",0.00480605834827535,0.00371579679472025,0.00378855031284541
75,"medBMI","dairy_tot",0,0,0
75,"medSBP","dairy_tot",0,0,0
25,"direct","leg_tot",0.00640608899350962,0.00559841165410231,0.00696960559160999
25,"medBMI","leg_tot",0.0122268053559475,0.0121233663767248,0.0107816009734376
25,"medSBP","leg_tot",0,0,0
35,"direct","leg_tot",0.00873868931673681,0.0110303964452775,0.0093761058221738
35,"medBMI","leg_tot",0.0144789654493606,0.0154962616838251,0.0138135077211898
35,"medSBP","leg_tot",0,0,0
45,"direct","leg_tot",0.00925779218175316,0.00984437925060445,0.00927614732538132
45,"medBMI","leg_tot",0.0135777372214124,0.0129412305946442,0.0126086834891041
45,"medSBP","leg_tot",0,0,0
55,"direct","leg_tot",0.0060890795593356,0.00655577635927951,0.00794804341922028
55,"medBMI","leg_tot",0.0101046365258795,0.00929064184007628,0.0102598677639926
55,"medSBP","leg_tot",0,0,0
65,"direct","leg_tot",0.00895522203168194,0.0100148088552579,0.00861032667783937
65,"medBMI","leg_tot",0.0109761773107417,0.0101628317447847,0.0102804231491066
65,"medSBP","leg_tot",0,0,0
75,"direct","leg_tot",0.00985946743420701,0.00894328860195221,0.00923139858257447
75,"medBMI","leg_tot",0.00984558805973684,0.0102771157508295,0.0100045384941702
75,"medSBP","leg_tot",0,0,0
