"age","pathway","riskfactor","V1","V2","V3"
25,"direct","dairy_tot",200.504246856993,203.692948693895,175.021189095082
25,"medBMI","dairy_tot",0,0,0
25,"medSBP","dairy_tot",0,0,0
35,"direct","dairy_tot",542.989581367523,505.410129128514,562.671730744856
35,"medBMI","dairy_tot",0,0,0
35,"medSBP","dairy_tot",0,0,0
45,"direct","dairy_tot",1550.22410530668,1421.73580776971,1246.10705509031
45,"medBMI","dairy_tot",0,0,0
45,"medSBP","dairy_tot",0,0,0
55,"direct","dairy_tot",2806.31715638394,2929.97447415364,3280.5168517034
55,"medBMI","dairy_tot",0,0,0
55,"medSBP","dairy_tot",0,0,0
65,"direct","dairy_tot",2797.94659423475,2764.68905944211,3029.20998894604
65,"medBMI","dairy_tot",0,0,0
65,"medSBP","dairy_tot",0,0,0
75,"direct","dairy_tot",3447.59348315076,2672.458017163,2719.6661590529
75,"medBMI","dairy_tot",0,0,0
75,"medSBP","dairy_tot",0,0,0
25,"direct","leg_tot",127.199447559486,114.481871711942,136.08843556171
25,"medBMI","leg_tot",242.775722951958,247.910614654441,210.521411870423
25,"medSBP","leg_tot",0,0,0
35,"direct","leg_tot",371.945011143291,460.552321262285,394.85814075502
35,"medBMI","leg_tot",616.268500939997,647.015664829435,581.731486348512
35,"medSBP","leg_tot",0,0,0
45,"direct","leg_tot",1253.34287668898,1338.88621074888,1248.5809947856
45,"medBMI","leg_tot",1838.18775512732,1760.07392159611,1697.14451717327
45,"medSBP","leg_tot",0,0,0
55,"direct","leg_tot",2396.94333784119,2567.9706492426,3114.36575004519
55,"medBMI","leg_tot",3977.65228159647,3639.24793196625,4020.23228596127
55,"medSBP","leg_tot",0,0,0
65,"direct","leg_tot",4010.98777061461,4489.82452702106,3879.8447595679
65,"medBMI","leg_tot",4916.16096236685,4556.18593337071,4632.39635075155
65,"medSBP","leg_tot",0,0,0
75,"direct","leg_tot",7072.6223466902,6432.15026129789,6626.89426101366
75,"medBMI","leg_tot",7062.66607119247,7391.45919406612,7181.90403524071
75,"medSBP","leg_tot",0,0,0
