"pathway","disease_type3","riskfactor","V1","V2","V3"
"direct","All_HD","dairy_tot",0,0,0
"direct","All_STK","dairy_tot",0,0,0
"direct","Cancer","dairy_tot",0.0112070103757301,0.0103800247559707,0.0108927629184079
"direct","DIAB","dairy_tot",0,0,0
"direct","Other_CVD","dairy_tot",0,0,0
"medBMI","All_HD","dairy_tot",0,0,0
"medBMI","All_STK","dairy_tot",0,0,0
"medBMI","Cancer","dairy_tot",0,0,0
"medBMI","DIAB","dairy_tot",0,0,0
"medBMI","Other_CVD","dairy_tot",0,0,0
"medSBP","All_HD","dairy_tot",0,0,0
"medSBP","All_STK","dairy_tot",0,0,0
"medSBP","Cancer","dairy_tot",0,0,0
"medSBP","DIAB","dairy_tot",0,0,0
"medSBP","Other_CVD","dairy_tot",0,0,0
"direct","All_HD","leg_tot",0.0142275028070238,0.0123629866780038,0.0138734577053684
"direct","All_STK","leg_tot",0.0478720723151073,0.0527870299749315,0.048964596713736
"direct","Cancer","leg_tot",0.00228174046381615,0.00244649390022881,0.00234925593950034
"direct","DIAB","leg_tot",0,0,0
"direct","Other_CVD","leg_tot",0,0,0
"medBMI","All_HD","leg_tot",0.0168355312683886,0.0159670008363724,0.0162258674250816
"medBMI","All_STK","leg_tot",0.0132412001082106,0.0124395533910545,0.0128167366135496
"medBMI","Cancer","leg_tot",0.00562244230124866,0.00534900472467339,0.00554591538812141
"medBMI","DIAB","leg_tot",0.035348248328178,0.0378530356394117,0.0366437919497049
"medBMI","Other_CVD","leg_tot",0.0132956081196398,0.014626361846571,0.013071744071379
"medSBP","All_HD","leg_tot",0,0,0
"medSBP","All_STK","leg_tot",0,0,0
"medSBP","Cancer","leg_tot",0,0,0
"medSBP","DIAB","leg_tot",0,0,0
"medSBP","Other_CVD","leg_tot",0,0,0
