"age","race","pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"direct","Cancer","dairy_tot",112.065538636892,14.3430422250859,118.871694545708,96.7507853805345,121.595059370755,0.0124690258610521,0.00116662868857855,0.0131185657153989,0.0112220193787456,0.0131639234671639,1.31185657153989,1.12220193787456,1.31639234671639,0.298937518869442,0.0382604100061439,0.317093103406564,0.258085046323114,0.324357744559217
25,1,"direct","Cancer","leg_tot",18.3564398183494,5.35397262140408,21.0001298931709,12.6351070874326,21.8306359856681,0.00205881843263617,0.000640955494464535,0.00241403184754884,0.0013736590910786,0.00244204637151798,0.241403184754884,0.13736590910786,0.244204637151798,0.0489662445861584,0.0142818507009842,0.0560183514268489,0.0337044519600729,0.0582337463976571
25,1,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","HSTK","leg_tot",12.1481701654398,1.29525665607721,11.8129084934031,11.0914758075055,13.4898369446053,0.119186104635416,0.0233832646069871,0.110976829940415,0.10151257462827,0.143837518133312,11.0976829940415,10.151257462827,14.3837518133312,0.032405536012521,0.00345512827383483,0.0315112174411767,0.0295867784050844,0.0359844644056002
25,1,"direct","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","IHD","leg_tot",19.8317989032957,4.24562706744385,20.1476314730389,15.672603076893,23.7225370454167,0.0365329923634155,0.00713555739675467,0.0381583642643122,0.0291966347923571,0.0424877838187116,3.81583642643122,2.91966347923571,4.24877838187116,0.0529018004194674,0.0113253122862232,0.0537442913932815,0.041807045546914,0.0632804379642787
