"pathway","disease_type2","riskfactor","V1","V2","V3"
"direct","Cancer","dairy_tot",0.0112070103757301,0.0103800247559707,0.0108927629184079
"direct","DIAB","dairy_tot",0,0,0
"direct","HHD","dairy_tot",0,0,0
"direct","HSTK","dairy_tot",0,0,0
"direct","IHD","dairy_tot",0,0,0
"direct","ISTK","dairy_tot",0,0,0
"direct","OSTK","dairy_tot",0,0,0
"direct","Other_CVD","dairy_tot",0,0,0
"medBMI","Cancer","dairy_tot",0,0,0
"medBMI","DIAB","dairy_tot",0,0,0
"medBMI","HHD","dairy_tot",0,0,0
"medBMI","HSTK","dairy_tot",0,0,0
"medBMI","IHD","dairy_tot",0,0,0
"medBMI","ISTK","dairy_tot",0,0,0
"medBMI","OSTK","dairy_tot",0,0,0
"medBMI","Other_CVD","dairy_tot",0,0,0
"medSBP","Cancer","dairy_tot",0,0,0
"medSBP","DIAB","dairy_tot",0,0,0
"medSBP","HHD","dairy_tot",0,0,0
"medSBP","HSTK","dairy_tot",0,0,0
"medSBP","IHD","dairy_tot",0,0,0
"medSBP","ISTK","dairy_tot",0,0,0
"medSBP","OSTK","dairy_tot",0,0,0
"medSBP","Other_CVD","dairy_tot",0,0,0
"direct","Cancer","leg_tot",0.00228174046381615,0.00244649390022881,0.00234925593950034
"direct","DIAB","leg_tot",0,0,0
"direct","HHD","leg_tot",0,0,0
"direct","HSTK","leg_tot",0.0567551883053504,0.0544866936622891,0.0582983181884578
"direct","IHD","leg_tot",0.0162158197248413,0.0141029405221758,0.0158180653566568
"direct","ISTK","leg_tot",0.0413008274311801,0.0496878169765049,0.044667333480073
"direct","OSTK","leg_tot",0.0475551198517161,0.0538267809063263,0.0470098275583894
"direct","Other_CVD","leg_tot",0,0,0
"medBMI","Cancer","leg_tot",0.00562244230124866,0.00534900472467339,0.00554591538812141
"medBMI","DIAB","leg_tot",0.035348248328178,0.0378530356394117,0.0366437919497049
"medBMI","HHD","leg_tot",0.0328393456781167,0.0275256974951935,0.0251338290664028
"medBMI","HSTK","leg_tot",0.0138659925092333,0.0153215196261553,0.0142557279143835
"medBMI","IHD","leg_tot",0.0145989718825234,0.0143402419302162,0.0149772608604475
"medBMI","ISTK","leg_tot",0.0147002340128017,0.0104442090735734,0.01199664754628
"medBMI","OSTK","leg_tot",0.0120423116272879,0.0122367121987972,0.0126104849906247
"medBMI","Other_CVD","leg_tot",0.0132956081196398,0.014626361846571,0.013071744071379
"medSBP","Cancer","leg_tot",0,0,0
"medSBP","DIAB","leg_tot",0,0,0
"medSBP","HHD","leg_tot",0,0,0
"medSBP","HSTK","leg_tot",0,0,0
"medSBP","IHD","leg_tot",0,0,0
"medSBP","ISTK","leg_tot",0,0,0
"medSBP","OSTK","leg_tot",0,0,0
"medSBP","Other_CVD","leg_tot",0,0,0
