"age","pathway","disease_type3","riskfactor","V1","V2","V3"
25,"direct","All_HD","dairy_tot",0,0,0
25,"direct","All_STK","dairy_tot",0,0,0
25,"direct","Cancer","dairy_tot",0.0131479660268021,0.0129077027371341,0.0116583524829231
25,"direct","DIAB","dairy_tot",0,0,0
25,"direct","Other_CVD","dairy_tot",0,0,0
25,"medBMI","All_HD","dairy_tot",0,0,0
25,"medBMI","All_STK","dairy_tot",0,0,0
25,"medBMI","Cancer","dairy_tot",0,0,0
25,"medBMI","DIAB","dairy_tot",0,0,0
25,"medBMI","Other_CVD","dairy_tot",0,0,0
25,"medSBP","All_HD","dairy_tot",0,0,0
25,"medSBP","All_STK","dairy_tot",0,0,0
25,"medSBP","Cancer","dairy_tot",0,0,0
25,"medSBP","DIAB","dairy_tot",0,0,0
25,"medSBP","Other_CVD","dairy_tot",0,0,0
35,"direct","All_HD","dairy_tot",0,0,0
35,"direct","All_STK","dairy_tot",0,0,0
35,"direct","Cancer","dairy_tot",0.0180822338563286,0.0173923705190069,0.0190280932310734
35,"direct","DIAB","dairy_tot",0,0,0
35,"direct","Other_CVD","dairy_tot",0,0,0
35,"medBMI","All_HD","dairy_tot",0,0,0
35,"medBMI","All_STK","dairy_tot",0,0,0
35,"medBMI","Cancer","dairy_tot",0,0,0
35,"medBMI","DIAB","dairy_tot",0,0,0
35,"medBMI","Other_CVD","dairy_tot",0,0,0
35,"medSBP","All_HD","dairy_tot",0,0,0
35,"medSBP","All_STK","dairy_tot",0,0,0
35,"medSBP","Cancer","dairy_tot",0,0,0
35,"medSBP","DIAB","dairy_tot",0,0,0
35,"medSBP","Other_CVD","dairy_tot",0,0,0
45,"direct","All_HD","dairy_tot",0,0,0
45,"direct","All_STK","dairy_tot",0,0,0
45,"direct","Cancer","dairy_tot",0.0159675597343327,0.0145559449252707,0.0129746212472045
45,"direct","DIAB","dairy_tot",0,0,0
45,"direct","Other_CVD","dairy_tot",0,0,0
45,"medBMI","All_HD","dairy_tot",0,0,0
45,"medBMI","All_STK","dairy_tot",0,0,0
45,"medBMI","Cancer","dairy_tot",0,0,0
45,"medBMI","DIAB","dairy_tot",0,0,0
45,"medBMI","Other_CVD","dairy_tot",0,0,0
45,"medSBP","All_HD","dairy_tot",0,0,0
45,"medSBP","All_STK","dairy_tot",0,0,0
45,"medSBP","Cancer","dairy_tot",0,0,0
45,"medSBP","DIAB","dairy_tot",0,0,0
45,"medSBP","Other_CVD","dairy_tot",0,0,0
55,"direct","All_HD","dairy_tot",0,0,0
55,"direct","All_STK","dairy_tot",0,0,0
55,"direct","Cancer","dairy_tot",0.00939916259338048,0.0098730769503961,0.011046267253219
55,"direct","DIAB","dairy_tot",0,0,0
55,"direct","Other_CVD","dairy_tot",0,0,0
55,"medBMI","All_HD","dairy_tot",0,0,0
55,"medBMI","All_STK","dairy_tot",0,0,0
55,"medBMI","Cancer","dairy_tot",0,0,0
55,"medBMI","DIAB","dairy_tot",0,0,0
55,"medBMI","Other_CVD","dairy_tot",0,0,0
55,"medSBP","All_HD","dairy_tot",0,0,0
55,"medSBP","All_STK","dairy_tot",0,0,0
55,"medSBP","Cancer","dairy_tot",0,0,0
55,"medSBP","DIAB","dairy_tot",0,0,0
55,"medSBP","Other_CVD","dairy_tot",0,0,0
65,"direct","All_HD","dairy_tot",0,0,0
65,"direct","All_STK","dairy_tot",0,0,0
65,"direct","Cancer","dairy_tot",0.00913841550896923,0.0090245941862014,0.0098092672168032
65,"direct","DIAB","dairy_tot",0,0,0
65,"direct","Other_CVD","dairy_tot",0,0,0
65,"medBMI","All_HD","dairy_tot",0,0,0
65,"medBMI","All_STK","dairy_tot",0,0,0
65,"medBMI","Cancer","dairy_tot",0,0,0
65,"medBMI","DIAB","dairy_tot",0,0,0
65,"medBMI","Other_CVD","dairy_tot",0,0,0
65,"medSBP","All_HD","dairy_tot",0,0,0
65,"medSBP","All_STK","dairy_tot",0,0,0
65,"medSBP","Cancer","dairy_tot",0,0,0
65,"medSBP","DIAB","dairy_tot",0,0,0
65,"medSBP","Other_CVD","dairy_tot",0,0,0
75,"direct","All_HD","dairy_tot",0,0,0
75,"direct","All_STK","dairy_tot",0,0,0
75,"direct","Cancer","dairy_tot",0.0129973087168146,0.0100569184485462,0.0102768412620751
75,"direct","DIAB","dairy_tot",0,0,0
75,"direct","Other_CVD","dairy_tot",0,0,0
75,"medBMI","All_HD","dairy_tot",0,0,0
75,"medBMI","All_STK","dairy_tot",0,0,0
75,"medBMI","Cancer","dairy_tot",0,0,0
75,"medBMI","DIAB","dairy_tot",0,0,0
75,"medBMI","Other_CVD","dairy_tot",0,0,0
75,"medSBP","All_HD","dairy_tot",0,0,0
75,"medSBP","All_STK","dairy_tot",0,0,0
75,"medSBP","Cancer","dairy_tot",0,0,0
75,"medSBP","DIAB","dairy_tot",0,0,0
75,"medSBP","Other_CVD","dairy_tot",0,0,0
25,"direct","All_HD","leg_tot",0.0206223030868649,0.0236689282770449,0.0226912747640986
25,"direct","All_STK","leg_tot",0.110096882454999,0.0988939261330992,0.128628393583982
25,"direct","Cancer","leg_tot",0.00246028633750143,0.00168871416673746,0.00255362267285661
25,"direct","DIAB","leg_tot",0,0,0
25,"direct","Other_CVD","leg_tot",0,0,0
25,"medBMI","All_HD","leg_tot",0.0375376765189119,0.0284837111107902,0.0266252608051434
25,"medBMI","All_STK","leg_tot",0.0316278354465003,0.029480829845451,0.0300166836192953
25,"medBMI","Cancer","leg_tot",0.00476447013852221,0.0049470820439602,0.00408971585149619
25,"medBMI","DIAB","leg_tot",0.0461047588284988,0.0714822508939658,0.064572411164004
25,"medBMI","Other_CVD","leg_tot",0.0331786536647662,0.0293140150169845,0.025606150184635
25,"medSBP","All_HD","leg_tot",0,0,0
25,"medSBP","All_STK","leg_tot",0,0,0
25,"medSBP","Cancer","leg_tot",0,0,0
25,"medSBP","DIAB","leg_tot",0,0,0
