"age","female","race","mean (food)","se (food)","sd (food)","mean (food, counterfactual)","se (food, counterfactual)","sd (food, counterfactual)","outcome","pathway","disease_type","disease_type1","disease_type2","disease_type3","riskfactor","means","sd.devs","medians","LB","UB"
65,1,2,0.88,0.06,0.42,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.101852393606623,0.0162307861001172,0.108113992283882,0.0846579930771592,0.113724435260416
65,1,3,1.23,0.06,0.53,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.0769267737018371,0.0192235825287321,0.0794340020758028,0.0577156674709979,0.0940067358148055
65,1,4,1.27,0.13,0.54,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.0791382717197264,0.00346974030918479,0.0807848243554815,0.0754334600810775,0.0814435136179835
65,0,1,1.39,0.06,0.57,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.0779616787844851,0.0109644352098954,0.0822918852561795,0.0663333059592798,0.0859093761087501
65,0,2,1,0.07,0.46,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.0914869768519062,0.0139512493856086,0.0990852189906058,0.0765708937251264,0.0999445541607913
65,0,3,1.33,0.09,0.55,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.0767422324656874,0.0108486210816579,0.0773860279457763,0.066176048923947,0.0867611898493523
65,0,4,1.33,0.11,0.55,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.0825587356611928,0.0100514872198686,0.0878854596893065,0.0718110054213909,0.0887787504770982
75,1,1,1.45,0.06,0.58,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.0712608083663219,0.0118544627162153,0.0726552706546989,0.0594650115347071,0.0818713122528164
75,1,2,0.93,0.08,0.43,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.112532094133908,0.0241244918299943,0.107690976305626,0.0920200445107777,0.137159093911078
75,1,3,1.43,0.07,0.58,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.0820169138969455,0.0156237605578623,0.0844255415680462,0.0662835538149877,0.0957029404584677
75,1,4,1.38,0.13,0.58,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.0732497184878654,0.013110886733687,0.0797775301503278,0.0592374122048404,0.0817133848577973
75,0,1,1.46,0.08,0.58,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.0562142239322207,0.0147864878023622,0.0599906428866338,0.0409099884026634,0.0683085033505267
75,0,2,1.02,0.09,0.46,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.100484724451,0.00585541692565465,0.0975070499118357,0.096756090726781,0.106744381533508
75,0,3,1.36,0.15,0.56,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.0686918496015669,0.00524415506556785,0.0687427357253559,0.0636884515947339,0.0736519944031794
75,0,4,0.91,0.15,0.43,3,0,0.3,"CC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0.105059694219244,0.00624185280649094,0.103610044557226,0.0998672142984279,0.111484376352775
25,1,1,1.51,0.05,0.59,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,1,2,1.16,0.06,0.5,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,1,3,1.35,0.06,0.56,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,1,4,1.17,0.09,0.51,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,0,1,1.59,0.06,0.62,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,0,2,1.26,0.07,0.53,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,0,3,1.45,0.07,0.59,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,0,4,1.31,0.05,0.55,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,1,1,1.48,0.06,0.6,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,1,2,1.1,0.06,0.48,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,1,3,1.35,0.05,0.55,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,1,4,1.29,0.08,0.54,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,0,1,1.55,0.13,0.61,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,0,2,1.06,0.07,0.47,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,0,3,1.3,0.08,0.54,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,0,4,1.18,0.08,0.5,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,1,1,1.5,0.09,0.59,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,1,2,1.04,0.07,0.47,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,1,3,1.28,0.06,0.54,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,1,4,1.2,0.12,0.51,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,0,1,1.46,0.07,0.58,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,0,2,1.1,0.09,0.48,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,0,3,1.25,0.1,0.53,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,0,4,1.06,0.09,0.47,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,1,1,1.51,0.08,0.6,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,1,2,0.88,0.05,0.42,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,1,3,1.42,0.09,0.56,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,1,4,1.09,0.08,0.49,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,0,1,1.33,0.07,0.55,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,0,2,0.93,0.06,0.43,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,0,3,1.08,0.07,0.48,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,0,4,1.13,0.14,0.5,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,1,1,1.37,0.07,0.56,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,1,2,0.88,0.06,0.42,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,1,3,1.23,0.06,0.53,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,1,4,1.27,0.13,0.54,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,0,1,1.39,0.06,0.57,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,0,2,1,0.07,0.46,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,0,3,1.33,0.09,0.55,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,0,4,1.33,0.11,0.55,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,1,1,1.45,0.06,0.58,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,1,2,0.93,0.08,0.43,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,1,3,1.43,0.07,0.58,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,1,4,1.38,0.13,0.58,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,0,1,1.46,0.08,0.58,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,0,2,1.02,0.09,0.46,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,0,3,1.36,0.15,0.56,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,0,4,0.91,0.15,0.43,3,0,0.3,"MLPC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,1,1,1.51,0.05,0.59,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,1,2,1.16,0.06,0.5,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,1,3,1.35,0.06,0.56,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,1,4,1.17,0.09,0.51,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,0,1,1.59,0.06,0.62,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,0,2,1.26,0.07,0.53,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,0,3,1.45,0.07,0.59,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,0,4,1.31,0.05,0.55,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,1,1,1.48,0.06,0.6,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,1,2,1.1,0.06,0.48,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,1,3,1.35,0.05,0.55,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,1,4,1.29,0.08,0.54,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,0,1,1.55,0.13,0.61,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,0,2,1.06,0.07,0.47,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,0,3,1.3,0.08,0.54,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,0,4,1.18,0.08,0.5,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,1,1,1.5,0.09,0.59,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,1,2,1.04,0.07,0.47,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,1,3,1.28,0.06,0.54,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,1,4,1.2,0.12,0.51,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,0,1,1.46,0.07,0.58,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,0,2,1.1,0.09,0.48,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,0,3,1.25,0.1,0.53,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,0,4,1.06,0.09,0.47,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,1,1,1.51,0.08,0.6,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,1,2,0.88,0.05,0.42,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,1,3,1.42,0.09,0.56,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,1,4,1.09,0.08,0.49,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,0,1,1.33,0.07,0.55,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,0,2,0.93,0.06,0.43,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,0,3,1.08,0.07,0.48,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,0,4,1.13,0.14,0.5,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,1,1,1.37,0.07,0.56,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,1,2,0.88,0.06,0.42,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,1,3,1.23,0.06,0.53,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,1,4,1.27,0.13,0.54,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,0,1,1.39,0.06,0.57,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,0,2,1,0.07,0.46,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,0,3,1.33,0.09,0.55,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
65,0,4,1.33,0.11,0.55,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,1,1,1.45,0.06,0.58,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,1,2,0.93,0.08,0.43,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,1,3,1.43,0.07,0.58,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,1,4,1.38,0.13,0.58,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,0,1,1.46,0.08,0.58,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,0,2,1.02,0.09,0.46,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,0,3,1.36,0.15,0.56,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
75,0,4,0.91,0.15,0.43,3,0,0.3,"LC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,1,1,1.51,0.05,0.59,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,1,2,1.16,0.06,0.5,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,1,3,1.35,0.06,0.56,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,1,4,1.17,0.09,0.51,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,0,1,1.59,0.06,0.62,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,0,2,1.26,0.07,0.53,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,0,3,1.45,0.07,0.59,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
25,0,4,1.31,0.05,0.55,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,1,1,1.48,0.06,0.6,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,1,2,1.1,0.06,0.48,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,1,3,1.35,0.05,0.55,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,1,4,1.29,0.08,0.54,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,0,1,1.55,0.13,0.61,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,0,2,1.06,0.07,0.47,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,0,3,1.3,0.08,0.54,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
35,0,4,1.18,0.08,0.5,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,1,1,1.5,0.09,0.59,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,1,2,1.04,0.07,0.47,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,1,3,1.28,0.06,0.54,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,1,4,1.2,0.12,0.51,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,0,1,1.46,0.07,0.58,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,0,2,1.1,0.09,0.48,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,0,3,1.25,0.1,0.53,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
45,0,4,1.06,0.09,0.47,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,1,1,1.51,0.08,0.6,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,1,2,0.88,0.05,0.42,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,1,3,1.42,0.09,0.56,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
55,1,4,1.09,0.08,0.49,3,0,0.3,"UC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",0,0,0,0,0
