"pathway","disease_type3","riskfactor","V1","V2","V3"
"direct","Other_CVD","dairy_tot",0,0,0
"medBMI","Other_CVD","dairy_tot",0,0,0
"medSBP","Other_CVD","dairy_tot",0,0,0
"direct","Cancer","dairy_tot",11345.5751673006,10497.9604363509,11013.1929746326
"medBMI","Cancer","dairy_tot",0,0,0
"medSBP","Cancer","dairy_tot",0,0,0
"direct","DIAB","dairy_tot",0,0,0
"medBMI","DIAB","dairy_tot",0,0,0
"medSBP","DIAB","dairy_tot",0,0,0
"direct","All_HD","dairy_tot",0,0,0
"medBMI","All_HD","dairy_tot",0,0,0
"medSBP","All_HD","dairy_tot",0,0,0
"direct","All_STK","dairy_tot",0,0,0
"medBMI","All_STK","dairy_tot",0,0,0
"medSBP","All_STK","dairy_tot",0,0,0
"direct","Other_CVD","leg_tot",0,0,0
"medBMI","Other_CVD","leg_tot",1464.78036999081,1611.50752735032,1441.65346288065
"medSBP","Other_CVD","leg_tot",0,0,0
"direct","Cancer","leg_tot",2309.95217070199,2474.29045461598,2375.22924186627
"medBMI","Cancer","leg_tot",5691.95883772631,5409.77900280779,5607.23086033096
"medSBP","Cancer","leg_tot",0,0,0
"direct","DIAB","leg_tot",0,0,0
"medBMI","DIAB","leg_tot",2574.1080336699,2745.61151808422,2647.04582072253
"medSBP","DIAB","leg_tot",0,0,0
"direct","All_HD","leg_tot",5898.66170370665,5140.89442373717,5748.50701178559
"medBMI","All_HD","leg_tot",6979.93912925984,6639.54978691018,6723.23472967316
"medSBP","All_HD","leg_tot",0,0,0
"direct","All_STK","leg_tot",7024.42691612911,7788.68096293151,7276.89608807722
"medBMI","All_STK","leg_tot",1942.9249235282,1835.44542533058,1904.76521373843
"medSBP","All_STK","leg_tot",0,0,0
