"race","disease_type1","riskfactor","V1","V2","V3"
1,"CMD","dairy_tot",0,0,0
1,"Cancer","dairy_tot",0.0102309735901297,0.00915904936350109,0.00952375944178466
2,"CMD","dairy_tot",0,0,0
2,"Cancer","dairy_tot",0.0148304540267504,0.0150710216507138,0.0161585860936875
3,"CMD","dairy_tot",0,0,0
3,"Cancer","dairy_tot",0.0119630915708014,0.0122928694411731,0.0124588616171168
4,"CMD","dairy_tot",0,0,0
4,"Cancer","dairy_tot",0.0147776722696685,0.0132981470640279,0.0148213639165822
1,"CMD","leg_tot",0.0353037346781799,0.0346998686385364,0.0338758903602326
1,"Cancer","leg_tot",0.00829987675036101,0.00809382704533101,0.00827822010781827
2,"CMD","leg_tot",0.0356768583162409,0.0359969229740451,0.0410970922975569
2,"Cancer","leg_tot",0.0071244915134037,0.00770428112630017,0.00697583139359376
3,"CMD","leg_tot",0.0302422818161738,0.03089971266738,0.0298529077003487
3,"Cancer","leg_tot",0.00638782508213288,0.00661049920177717,0.00646387097614884
4,"CMD","leg_tot",0.0292535746956482,0.0327728676833296,0.0340796682098953
4,"Cancer","leg_tot",0.00687774390156381,0.0063682839309376,0.00713817768693541
