"female","race","pathway","disease_type2","riskfactor","V1","V2","V3"
0,1,"direct","Cancer","dairy_tot",0.0128181456824102,0.010522747630782,0.0127595578903064
0,1,"direct","DIAB","dairy_tot",0,0,0
0,1,"direct","HHD","dairy_tot",0,0,0
0,1,"direct","HSTK","dairy_tot",0,0,0
0,1,"direct","IHD","dairy_tot",0,0,0
0,1,"direct","ISTK","dairy_tot",0,0,0
0,1,"direct","OSTK","dairy_tot",0,0,0
0,1,"direct","Other_CVD","dairy_tot",0,0,0
0,1,"medBMI","Cancer","dairy_tot",0,0,0
0,1,"medBMI","DIAB","dairy_tot",0,0,0
0,1,"medBMI","HHD","dairy_tot",0,0,0
0,1,"medBMI","HSTK","dairy_tot",0,0,0
0,1,"medBMI","IHD","dairy_tot",0,0,0
0,1,"medBMI","ISTK","dairy_tot",0,0,0
0,1,"medBMI","OSTK","dairy_tot",0,0,0
0,1,"medBMI","Other_CVD","dairy_tot",0,0,0
0,1,"medSBP","Cancer","dairy_tot",0,0,0
0,1,"medSBP","DIAB","dairy_tot",0,0,0
0,1,"medSBP","HHD","dairy_tot",0,0,0
0,1,"medSBP","HSTK","dairy_tot",0,0,0
0,1,"medSBP","IHD","dairy_tot",0,0,0
0,1,"medSBP","ISTK","dairy_tot",0,0,0
0,1,"medSBP","OSTK","dairy_tot",0,0,0
0,1,"medSBP","Other_CVD","dairy_tot",0,0,0
0,2,"direct","Cancer","dairy_tot",0.0167272697631614,0.0188688350775183,0.0196657498418207
0,2,"direct","DIAB","dairy_tot",0,0,0
0,2,"direct","HHD","dairy_tot",0,0,0
0,2,"direct","HSTK","dairy_tot",0,0,0
0,2,"direct","IHD","dairy_tot",0,0,0
0,2,"direct","ISTK","dairy_tot",0,0,0
0,2,"direct","OSTK","dairy_tot",0,0,0
0,2,"direct","Other_CVD","dairy_tot",0,0,0
0,2,"medBMI","Cancer","dairy_tot",0,0,0
0,2,"medBMI","DIAB","dairy_tot",0,0,0
0,2,"medBMI","HHD","dairy_tot",0,0,0
0,2,"medBMI","HSTK","dairy_tot",0,0,0
0,2,"medBMI","IHD","dairy_tot",0,0,0
0,2,"medBMI","ISTK","dairy_tot",0,0,0
0,2,"medBMI","OSTK","dairy_tot",0,0,0
0,2,"medBMI","Other_CVD","dairy_tot",0,0,0
0,2,"medSBP","Cancer","dairy_tot",0,0,0
0,2,"medSBP","DIAB","dairy_tot",0,0,0
0,2,"medSBP","HHD","dairy_tot",0,0,0
0,2,"medSBP","HSTK","dairy_tot",0,0,0
0,2,"medSBP","IHD","dairy_tot",0,0,0
0,2,"medSBP","ISTK","dairy_tot",0,0,0
0,2,"medSBP","OSTK","dairy_tot",0,0,0
0,2,"medSBP","Other_CVD","dairy_tot",0,0,0
0,3,"direct","Cancer","dairy_tot",0.0175481107581002,0.0176569492151308,0.0163017570709182
0,3,"direct","DIAB","dairy_tot",0,0,0
0,3,"direct","HHD","dairy_tot",0,0,0
0,3,"direct","HSTK","dairy_tot",0,0,0
0,3,"direct","IHD","dairy_tot",0,0,0
0,3,"direct","ISTK","dairy_tot",0,0,0
0,3,"direct","OSTK","dairy_tot",0,0,0
0,3,"direct","Other_CVD","dairy_tot",0,0,0
0,3,"medBMI","Cancer","dairy_tot",0,0,0
0,3,"medBMI","DIAB","dairy_tot",0,0,0
0,3,"medBMI","HHD","dairy_tot",0,0,0
0,3,"medBMI","HSTK","dairy_tot",0,0,0
0,3,"medBMI","IHD","dairy_tot",0,0,0
0,3,"medBMI","ISTK","dairy_tot",0,0,0
0,3,"medBMI","OSTK","dairy_tot",0,0,0
