"female","pathway","riskfactor","V1","V2","V3"
0,"direct","dairy_tot",0.00727711112322735,0.00645266556501393,0.00743080132683324
0,"medBMI","dairy_tot",0,0,0
0,"medSBP","dairy_tot",0,0,0
1,"direct","dairy_tot",0.0057616861846479,0.00556385761042068,0.00527731152496697
1,"medBMI","dairy_tot",0,0,0
1,"medSBP","dairy_tot",0,0,0
0,"direct","leg_tot",0.00991724990355047,0.0107437688558235,0.0105501005114796
0,"medBMI","leg_tot",0.0115349312964785,0.0110792017844981,0.0102183534914537
0,"medSBP","leg_tot",0,0,0
1,"direct","leg_tot",0.00761100277346374,0.00707390620306417,0.00724375730956679
1,"medBMI","leg_tot",0.00983876207088361,0.00978203856497739,0.0106142190131957
1,"medSBP","leg_tot",0,0,0
