"outcome","pathway","riskfactor","V1","V2","V3"
"OTH","direct","dairy_tot",0,0,0
"OTH","medBMI","dairy_tot",0,0,0
"OTH","medSBP","dairy_tot",0,0,0
"PC","direct","dairy_tot",0,0,0
"PC","medBMI","dairy_tot",0,0,0
"PC","medSBP","dairy_tot",0,0,0
"PVD","direct","dairy_tot",0,0,0
"PVD","medBMI","dairy_tot",0,0,0
"PVD","medSBP","dairy_tot",0,0,0
"RHD","direct","dairy_tot",0,0,0
"RHD","medBMI","dairy_tot",0,0,0
"RHD","medSBP","dairy_tot",0,0,0
"SCC","direct","dairy_tot",0,0,0
"SCC","medBMI","dairy_tot",0,0,0
"SCC","medSBP","dairy_tot",0,0,0
"SCNC","direct","dairy_tot",0,0,0
"SCNC","medBMI","dairy_tot",0,0,0
"SCNC","medSBP","dairy_tot",0,0,0
"TC","direct","dairy_tot",0,0,0
"TC","medBMI","dairy_tot",0,0,0
"TC","medSBP","dairy_tot",0,0,0
"UC","direct","dairy_tot",0,0,0
"UC","medBMI","dairy_tot",0,0,0
"UC","medSBP","dairy_tot",0,0,0
"AA","direct","leg_tot",0,0,0
"AA","medBMI","leg_tot",0.0144561549879617,0.0147469433466787,0.0143861768703554
"AA","medSBP","leg_tot",0,0,0
"AFF","direct","leg_tot",0,0,0
"AFF","medBMI","leg_tot",0.0139243009176633,0.0120482121005178,0.0128166176500455
"AFF","medSBP","leg_tot",0,0,0
"APCA","direct","leg_tot",0,0,0
"APCA","medBMI","leg_tot",0.00180577060562205,0.00205085239304574,0.00242504104196716
"APCA","medSBP","leg_tot",0,0,0
"BC","direct","leg_tot",0,0,0
"BC","medBMI","leg_tot",0.00672724614273617,0.00582368410252563,0.00630055363391704
"BC","medSBP","leg_tot",0,0,0
"CC","direct","leg_tot",0,0,0
"CC","medBMI","leg_tot",0.00251782501730546,0.00247559436164987,0.00194559774248162
"CC","medSBP","leg_tot",0,0,0
"CM","direct","leg_tot",0,0,0
"CM","medBMI","leg_tot",0.0143283675472692,0.014809310671855,0.0129231783074488
"CM","medSBP","leg_tot",0,0,0
"DIAB","direct","leg_tot",0,0,0
"DIAB","medBMI","leg_tot",0.035348248328178,0.0378530356394117,0.0366437919497049
"DIAB","medSBP","leg_tot",0,0,0
"ECA","direct","leg_tot",0,0,0
"ECA","medBMI","leg_tot",0.0191808203397577,0.0223035221611265,0.0185579823552354
"ECA","medSBP","leg_tot",0,0,0
"ENDO","direct","leg_tot",0,0,0
"ENDO","medBMI","leg_tot",0.0194293121849965,0.0183261745138466,0.0180948197878921
"ENDO","medSBP","leg_tot",0,0,0
"GC","direct","leg_tot",0,0,0
"GC","medBMI","leg_tot",0.00994588552714284,0.0100105573847822,0.0112912824069216
"GC","medSBP","leg_tot",0,0,0
"HHD","direct","leg_tot",0,0,0
"HHD","medBMI","leg_tot",0.0328393456781167,0.0275256974951935,0.0251338290664028
"HHD","medSBP","leg_tot",0,0,0
"HSTK","direct","leg_tot",0.0567551883053504,0.0544866936622891,0.0582983181884578
"HSTK","medBMI","leg_tot",0.0138659925092333,0.0153215196261553,0.0142557279143835
"HSTK","medSBP","leg_tot",0,0,0
"IHD","direct","leg_tot",0.0162158197248413,0.0141029405221758,0.0158180653566568
"IHD","medBMI","leg_tot",0.0145989718825234,0.0143402419302162,0.0149772608604475
"IHD","medSBP","leg_tot",0,0,0
"ISTK","direct","leg_tot",0.0413008274311801,0.0496878169765049,0.044667333480073
"ISTK","medBMI","leg_tot",0.0147002340128017,0.0104442090735734,0.01199664754628
"ISTK","medSBP","leg_tot",0,0,0
"KC","direct","leg_tot",0,0,0
"KC","medBMI","leg_tot",0.0135483652879733,0.0140216378762353,0.0143359271892499
"KC","medSBP","leg_tot",0,0,0
"LC","direct","leg_tot",0,0,0
"LC","medBMI","leg_tot",0,0,0
"LC","medSBP","leg_tot",0,0,0
"LVC","direct","leg_tot",0,0,0
"LVC","medBMI","leg_tot",0.013200675682853,0.012250956554489,0.013258449244978
"LVC","medSBP","leg_tot",0,0,0
"MLPC","direct","leg_tot",0.0385243743787166,0.0413652409023231,0.0399117495778179
"MLPC","medBMI","leg_tot",0,0,0
"MLPC","medSBP","leg_tot",0,0,0
"MMC","direct","leg_tot",0,0,0
"MMC","medBMI","leg_tot",0.00461331369229964,0.00438724317878513,0.00404872648334973
"MMC","medSBP","leg_tot",0,0,0
"OC","direct","leg_tot",0,0,0
"OC","medBMI","leg_tot",0.00287376778843139,0.00292842164620502,0.00272576421269186
"OC","medSBP","leg_tot",0,0,0
"OSTK","direct","leg_tot",0.0475551198517161,0.0538267809063263,0.0470098275583894
"OSTK","medBMI","leg_tot",0.0120423116272879,0.0122367121987972,0.0126104849906247
"OSTK","medSBP","leg_tot",0,0,0
"OTH","direct","leg_tot",0,0,0
"OTH","medBMI","leg_tot",0.0117160586002752,0.0163957758462027,0.0126798804239828
"OTH","medSBP","leg_tot",0,0,0
"PC","direct","leg_tot",0,0,0
"PC","medBMI","leg_tot",0.0048164137563568,0.00564083054852487,0.00485412554213356
"PC","medSBP","leg_tot",0,0,0
"PVD","direct","leg_tot",0,0,0
"PVD","medBMI","leg_tot",0.0137312452827116,0.0130827175479942,0.0134223100530166
"PVD","medSBP","leg_tot",0,0,0
"RHD","direct","leg_tot",0,0,0
"RHD","medBMI","leg_tot",0.013433189290472,0.0135200352189231,0.0134460484250364
"RHD","medSBP","leg_tot",0,0,0
"SCC","direct","leg_tot",0,0,0
"SCC","medBMI","leg_tot",0.0125866976813201,0.0102640615343892,0.013755727100536
"SCC","medSBP","leg_tot",0,0,0
"SCNC","direct","leg_tot",0,0,0
"SCNC","medBMI","leg_tot",0,0,0
"SCNC","medSBP","leg_tot",0,0,0
"TC","direct","leg_tot",0,0,0
"TC","medBMI","leg_tot",0.00320857612574193,0.00299693042891571,0.00368105544473709
"TC","medSBP","leg_tot",0,0,0
"UC","direct","leg_tot",0,0,0
"UC","medBMI","leg_tot",0.0251172706648923,0.023163696146829,0.0256486606960393
"UC","medSBP","leg_tot",0,0,0
