"female","disease_type3","X1","X2","X3"
1,"Other_CVD",58232.0588167423,57810.3166180657,58107.2840446204
0,"Other_CVD",51938.1836279858,52367.9727101253,52180.4828370155
1,"Cancer",598180.052211722,598328.746409824,596857.471128947
0,"Cancer",414184.065150976,413033.045411758,414198.498520514
1,"DIAB",31884.3514319622,31531.5350905385,31606.6387802196
0,"DIAB",40937.0231881186,41001.9215188317,40630.5855866175
1,"All_HD",175785.016834165,174799.535583288,174633.460928497
0,"All_HD",238810.698500687,241029.952681374,239719.408692547
1,"All_STK",84837.1330672881,85193.1312242334,85804.889877519
0,"All_STK",61896.1620759087,62356.0104234467,62810.5706075428
