"age","pathway","disease_type","riskfactor","V1","V2","V3"
25,"direct","CMD","dairy_tot",0,0,0
25,"medBMI","CMD","dairy_tot",0,0,0
25,"medSBP","CMD","dairy_tot",0,0,0
35,"direct","CMD","dairy_tot",0,0,0
35,"medBMI","CMD","dairy_tot",0,0,0
35,"medSBP","CMD","dairy_tot",0,0,0
45,"direct","CMD","dairy_tot",0,0,0
45,"medBMI","CMD","dairy_tot",0,0,0
45,"medSBP","CMD","dairy_tot",0,0,0
55,"direct","CMD","dairy_tot",0,0,0
55,"medBMI","CMD","dairy_tot",0,0,0
55,"medSBP","CMD","dairy_tot",0,0,0
65,"direct","CMD","dairy_tot",0,0,0
65,"medBMI","CMD","dairy_tot",0,0,0
65,"medSBP","CMD","dairy_tot",0,0,0
75,"direct","CMD","dairy_tot",0,0,0
75,"medBMI","CMD","dairy_tot",0,0,0
75,"medSBP","CMD","dairy_tot",0,0,0
25,"direct","Cancer","dairy_tot",200.504246856993,203.692948693895,175.021189095082
25,"medBMI","Cancer","dairy_tot",0,0,0
25,"medSBP","Cancer","dairy_tot",0,0,0
35,"direct","Cancer","dairy_tot",542.989581367523,505.410129128514,562.671730744856
35,"medBMI","Cancer","dairy_tot",0,0,0
35,"medSBP","Cancer","dairy_tot",0,0,0
45,"direct","Cancer","dairy_tot",1550.22410530668,1421.73580776971,1246.10705509031
45,"medBMI","Cancer","dairy_tot",0,0,0
45,"medSBP","Cancer","dairy_tot",0,0,0
55,"direct","Cancer","dairy_tot",2806.31715638394,2929.97447415364,3280.5168517034
55,"medBMI","Cancer","dairy_tot",0,0,0
55,"medSBP","Cancer","dairy_tot",0,0,0
65,"direct","Cancer","dairy_tot",2797.94659423475,2764.68905944211,3029.20998894604
65,"medBMI","Cancer","dairy_tot",0,0,0
65,"medSBP","Cancer","dairy_tot",0,0,0
75,"direct","Cancer","dairy_tot",3447.59348315076,2672.458017163,2719.6661590529
75,"medBMI","Cancer","dairy_tot",0,0,0
75,"medSBP","Cancer","dairy_tot",0,0,0
25,"direct","CMD","leg_tot",89.6804991420886,87.832732424413,97.7521374133918
25,"medBMI","CMD","leg_tot",170.118363262279,169.842057492377,149.124492156567
25,"medSBP","CMD","leg_tot",0,0,0
35,"direct","CMD","leg_tot",310.237751284792,365.895977454188,326.5371982917
35,"medBMI","CMD","leg_tot",443.954643067938,451.110395098247,376.366395190547
35,"medSBP","CMD","leg_tot",0,0,0
45,"direct","CMD","leg_tot",956.054932858667,1035.50245388812,1006.69751284067
45,"medBMI","CMD","leg_tot",1181.02233639256,1075.3260656912,1106.60264346677
45,"medSBP","CMD","leg_tot",0,0,0
55,"direct","CMD","leg_tot",1800.79255013278,1860.36397543087,2439.72304137779
55,"medBMI","CMD","leg_tot",2307.33411264496,2013.23625772281,2093.14965784559
55,"medSBP","CMD","leg_tot",0,0,0
65,"direct","CMD","leg_tot",3238.30384319985,3694.17377020844,3032.25601703683
65,"medBMI","CMD","leg_tot",3005.64018807287,3071.4244691351,2881.75850063408
65,"medSBP","CMD","leg_tot",0,0,0
75,"direct","CMD","leg_tot",6528.01904321758,5885.80647726265,6122.43719290242
75,"medBMI","CMD","leg_tot",5853.68281300814,6051.17501253556,6109.69753772123
75,"medSBP","CMD","leg_tot",0,0,0
25,"direct","Cancer","leg_tot",37.5189484173969,26.6491392875292,38.3362981483182
25,"medBMI","Cancer","leg_tot",72.6573596896783,78.0685571620636,61.3969197138565
25,"medSBP","Cancer","leg_tot",0,0,0
35,"direct","Cancer","leg_tot",61.7072598584988,94.6563438080975,68.3209424633192
35,"medBMI","Cancer","leg_tot",172.313857872059,195.905269731188,205.365091157965
35,"medSBP","Cancer","leg_tot",0,0,0
45,"direct","Cancer","leg_tot",297.287943830312,303.383756860762,241.883481944935
45,"medBMI","Cancer","leg_tot",657.165418734759,684.74785590491,590.541873706501
45,"medSBP","Cancer","leg_tot",0,0,0
55,"direct","Cancer","leg_tot",596.15078770841,707.606673811728,674.642708667392
55,"medBMI","Cancer","leg_tot",1670.31816895151,1626.01167424344,1927.08262811568
55,"medSBP","Cancer","leg_tot",0,0,0
65,"direct","Cancer","leg_tot",772.683927414754,795.650756812618,847.588742531067
65,"medBMI","Cancer","leg_tot",1910.52077429397,1484.76146423562,1750.63785011747
65,"medSBP","Cancer","leg_tot",0,0,0
75,"direct","Cancer","leg_tot",544.603303472623,546.343784035245,504.457068111238
75,"medBMI","Cancer","leg_tot",1208.98325818433,1340.28418153056,1072.20649751949
75,"medSBP","Cancer","leg_tot",0,0,0
