"female","pathway","riskfactor","V1","V2","V3"
0,"direct","dairy_tot",5878.20390809994,5225.29696767653,6015.52753435566
0,"medBMI","dairy_tot",0,0,0
0,"medSBP","dairy_tot",0,0,0
1,"direct","dairy_tot",5467.37125920071,5272.66346867436,4997.66544027693
1,"medBMI","dairy_tot",0,0,0
1,"medSBP","dairy_tot",0,0,0
0,"direct","leg_tot",8010.81860006013,8700.18479310894,8540.72358089429
0,"medBMI","leg_tot",9317.52684251349,8971.81465636504,8272.16124883467
0,"medSBP","leg_tot",0,0,0
1,"direct","leg_tot",7222.22219047763,6703.68104817572,6859.90876083479
1,"medBMI","leg_tot",9336.18445166157,9270.07860411803,10051.7688385111
1,"medSBP","leg_tot",0,0,0
