subgroup,Age,Age_label,Sex,Sex_label,Race,Race_label,diseases,count,crude_se,population
1,1,20-34,1,Female,1,NHW,AA,20,4,18192633
2,1,20-34,1,Female,2,NHB,AA,13,4,4596338
3,1,20-34,1,Female,3,HIS,AA,9,2,6549965
4,1,20-34,1,Female,4,OTH,AA,4,1,3878604
5,1,20-34,2,Male,1,NHW,AA,45,6,19295314
6,1,20-34,2,Male,2,NHB,AA,27,5,4186659
7,1,20-34,2,Male,3,HIS,AA,20,5,6886181
8,1,20-34,2,Male,4,OTH,AA,9,1,3785306
9,2,35-44,1,Female,1,NHW,AA,44,8,10789518
10,2,35-44,1,Female,2,NHB,AA,25,6,2841551
11,2,35-44,1,Female,3,HIS,AA,9,2,4706043
12,2,35-44,1,Female,4,OTH,AA,8,1,2705155
13,2,35-44,2,Male,1,NHW,AA,134,12,10698668
14,2,35-44,2,Male,2,NHB,AA,86,10,2373836
15,2,35-44,2,Male,3,HIS,AA,29,6,4477083
16,2,35-44,2,Male,4,OTH,AA,12,4,2268050
17,3,45-54,1,Female,1,NHW,AA,91,10,12961330
18,3,45-54,1,Female,2,NHB,AA,44,7,2294986
19,3,45-54,1,Female,3,HIS,AA,13,4,2981376
20,3,45-54,1,Female,4,OTH,AA,9,1,1908325
21,3,45-54,2,Male,1,NHW,AA,282,18,10622756
22,3,45-54,2,Male,2,NHB,AA,108,11,2323392
23,3,45-54,2,Male,3,HIS,AA,60,8,3207152
24,3,45-54,2,Male,4,OTH,AA,23,5,2807268
25,4,55-64,1,Female,1,NHW,AA,244,16,16626401
26,4,55-64,1,Female,2,NHB,AA,81,9,3005374
27,4,55-64,1,Female,3,HIS,AA,22,5,2911586
28,4,55-64,1,Female,4,OTH,AA,15,4,2629488
29,4,55-64,2,Male,1,NHW,AA,774,28,15564860
30,4,55-64,2,Male,2,NHB,AA,172,14,2050599
31,4,55-64,2,Male,3,HIS,AA,83,10,2832735
32,4,55-64,2,Male,4,OTH,AA,40,7,2195076
33,5,65-74,1,Female,1,NHW,AA,603,25,11513863
34,5,65-74,1,Female,2,NHB,AA,108,11,1390166
35,5,65-74,1,Female,3,HIS,AA,32,6,1616432
36,5,65-74,1,Female,4,OTH,AA,28,6,1089947
37,5,65-74,2,Male,1,NHW,AA,1143,35,10345066
38,5,65-74,2,Male,2,NHB,AA,125,12,1099252
39,5,65-74,2,Male,3,HIS,AA,63,8,1168063
40,5,65-74,2,Male,4,OTH,AA,53,8,989548
41,6,75+,1,Female,1,NHW,AA,2333,69,9145660
42,6,75+,1,Female,2,NHB,AA,215,21,1249362
43,6,75+,1,Female,3,HIS,AA,92,14,737080
44,6,75+,1,Female,4,OTH,AA,92,14,689818
45,6,75+,2,Male,1,NHW,AA,2128,66,6831819
46,6,75+,2,Male,2,NHB,AA,112,15,670963
47,6,75+,2,Male,3,HIS,AA,115,16,548525
48,6,75+,2,Male,4,OTH,AA,90,14,638884
1,1,20-34,1,Female,1,NHW,AA_medBMI,20,4,18192633
2,1,20-34,1,Female,2,NHB,AA_medBMI,13,4,4596338
3,1,20-34,1,Female,3,HIS,AA_medBMI,9,2,6549965
4,1,20-34,1,Female,4,OTH,AA_medBMI,4,1,3878604
5,1,20-34,2,Male,1,NHW,AA_medBMI,45,6,19295314
6,1,20-34,2,Male,2,NHB,AA_medBMI,27,5,4186659
7,1,20-34,2,Male,3,HIS,AA_medBMI,20,5,6886181
8,1,20-34,2,Male,4,OTH,AA_medBMI,9,1,3785306
9,2,35-44,1,Female,1,NHW,AA_medBMI,44,8,10789518
10,2,35-44,1,Female,2,NHB,AA_medBMI,25,6,2841551
11,2,35-44,1,Female,3,HIS,AA_medBMI,9,2,4706043
12,2,35-44,1,Female,4,OTH,AA_medBMI,8,1,2705155
13,2,35-44,2,Male,1,NHW,AA_medBMI,134,12,10698668
14,2,35-44,2,Male,2,NHB,AA_medBMI,86,10,2373836
15,2,35-44,2,Male,3,HIS,AA_medBMI,29,6,4477083
16,2,35-44,2,Male,4,OTH,AA_medBMI,12,4,2268050
17,3,45-54,1,Female,1,NHW,AA_medBMI,91,10,12961330
18,3,45-54,1,Female,2,NHB,AA_medBMI,44,7,2294986
19,3,45-54,1,Female,3,HIS,AA_medBMI,13,4,2981376
20,3,45-54,1,Female,4,OTH,AA_medBMI,9,1,1908325
21,3,45-54,2,Male,1,NHW,AA_medBMI,282,18,10622756
22,3,45-54,2,Male,2,NHB,AA_medBMI,108,11,2323392
23,3,45-54,2,Male,3,HIS,AA_medBMI,60,8,3207152
24,3,45-54,2,Male,4,OTH,AA_medBMI,23,5,2807268
25,4,55-64,1,Female,1,NHW,AA_medBMI,244,16,16626401
26,4,55-64,1,Female,2,NHB,AA_medBMI,81,9,3005374
27,4,55-64,1,Female,3,HIS,AA_medBMI,22,5,2911586
