"age","race","pathway","disease_type3","V1","V2","V3"
25,1,"direct","All_HD",7.75261772582808,11.1981307686198,9.36874754504927
25,1,"medSBP","All_HD",0,0,0
25,1,"medBMI","All_HD",20.6399780083904,19.6241708866724,14.6735617839431
25,1,"direct","All_STK",29.1263399115607,20.3229607333057,25.5187498886527
25,1,"medSBP","All_STK",0,0,0
25,1,"medBMI","All_STK",7.95440883586024,6.46254615667917,6.24632835428082
25,1,"direct","Cancer",755.625102618853,765.075916238298,710.953902997259
25,1,"medSBP","Cancer",0,0,0
25,1,"medBMI","Cancer",360.529213344955,404.559997478224,254.816844802027
25,1,"direct","DIAB",0,0,0
25,1,"medSBP","DIAB",0,0,0
25,1,"medBMI","DIAB",6.84049701576509,11.5431940521589,7.52161161202602
25,1,"direct","Other_CVD",0,0,0
25,1,"medSBP","Other_CVD",0,0,0
25,1,"medBMI","Other_CVD",62.4407028589074,54.7080438472495,58.8063197560684
25,2,"medSBP","All_HD",0,0,0
25,2,"medBMI","All_HD",23.5144230265763,8.99300231781736,10.2938271427755
25,2,"direct","All_HD",8.82170404616663,5.84386637682312,7.31116257124109
25,2,"medSBP","All_STK",0,0,0
25,2,"medBMI","All_STK",5.09096066041284,5.0866820227227,4.122820687134
25,2,"direct","All_STK",17.8315825259132,17.5659956973459,19.0200740768037
25,2,"medSBP","Cancer",0,0,0
25,2,"medBMI","Cancer",73.7303834209756,49.5544635484722,53.0096995769209
25,2,"direct","Cancer",110.96936106851,134.142628016446,131.830807183386
25,2,"medSBP","DIAB",0,0,0
25,2,"medBMI","DIAB",5.80227222193524,6.66413542638606,7.02775973825806
25,2,"direct","DIAB",0,0,0
25,2,"medSBP","Other_CVD",0,0,0
25,2,"medBMI","Other_CVD",49.1617585212965,35.7496082022287,25.2647613441365
25,2,"direct","Other_CVD",0,0,0
25,3,"medBMI","All_HD",1.06060426541186,3.03804258293059,1.78949547658713
25,3,"medSBP","All_HD",0,0,0
25,3,"direct","All_HD",0.858711027048503,1.4418815984697,0.727749647293263
25,3,"medBMI","All_STK",1.65109901776024,1.75641242496554,2.02505006593741
25,3,"medSBP","All_STK",0,0,0
25,3,"direct","All_STK",5.86805880573919,6.52459473063117,8.25904066687623
25,3,"medBMI","Cancer",64.4274420843207,88.276686758279,74.0770200921401
25,3,"medSBP","Cancer",0,0,0
25,3,"direct","Cancer",249.990948396771,233.956446490986,272.019348201644
25,3,"medBMI","DIAB",0.900319237974376,1.10342006647593,1.19261783132358
25,3,"medSBP","DIAB",0,0,0
25,3,"direct","DIAB",0,0,0
25,3,"medBMI","Other_CVD",6.22424719623882,11.2522185811851,8.82797683897444
25,3,"medSBP","Other_CVD",0,0,0
25,3,"direct","Other_CVD",0,0,0
