"age","race","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AA","medBMI",0.625477395238627,0.120511723545461,0.588453756225546,0.530852805413336,0.751572078225036,0.00848326293631938,0.000819798103875835,0.00820614836817593,0.00785634655949026,0.00934572669607044,0.820614836817593,0.785634655949026,0.934572669607044,0.00166847599106621,0.000321467920197021,0.00156971454378535,0.00141606262250994,0.00200483658981122
25,1,"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AFF","medBMI",0.0595650474166407,0.0258087263015695,0.0633880171606502,0.0336245712281254,0.0822559993227479,0.00961048812706056,0.0033458792304957,0.0106212038123142,0.00611304458367957,0.0122488233379759,1.06212038123142,0.611304458367957,1.22488233379759,0.000158891196193381,6.88453979663637e-05,0.000169089059906775,8.96943522357344e-05,0.000219419855994642
25,1,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"APCA","medBMI",0.00612253841562563,0.00176774475819947,0.00661049241299501,0.00428448989805575,0.00754582603543154,0.0010514170735535,0.000223404752896097,0.00110291426770237,0.000821568165175184,0.00123749336690526,0.110291426770237,0.0821568165175185,0.123749336690526,1.63320184368209e-05,4.71550164696794e-06,1.76336474573948e-05,1.14289798213163e-05,2.01286723848376e-05
25,1,"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"BC","direct",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"BC","medBMI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"BC","medSBP",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
