"","age","female","race","outcome","pathway","V1","V2","V3"
"1",25,0,1,"AA","direct",0,0,0
"2",25,0,1,"AA","medSBP",0,0,0
"3",25,0,1,"AA","medBMI",0.347717849302673,0.467858912884479,0.50148780575992
"4",25,0,1,"AFF","medSBP",0,0,0
"5",25,0,1,"AFF","direct",0,0,0
"6",25,0,1,"AFF","medBMI",0.0832490510154898,0.032058074073782,0.0633880171606502
"7",25,0,1,"APCA","direct",0,0,0
"8",25,0,1,"APCA","medBMI",0.00416206871305895,0.00759505412082294,0.00661049241299501
"9",25,0,1,"APCA","medSBP",0,0,0
"10",25,0,1,"BC","direct",0,0,0
"11",25,0,1,"BC","medSBP",0,0,0
"12",25,0,1,"BC","medBMI",0,0,0
"13",25,0,1,"CC","medBMI",0.608628812160719,0.000265082426932545,0.890793305158773
"14",25,0,1,"CC","direct",66.4766935898828,60.6599001232824,44.8612183467696
"15",25,0,1,"CC","medSBP",0,0,0
"16",25,0,1,"CM","medBMI",3.08743429324079,2.29464064189935,2.59797736540311
"17",25,0,1,"CM","medSBP",0,0,0
"18",25,0,1,"CM","direct",0,0,0
"19",25,0,1,"DIAB","direct",0,0,0
"20",25,0,1,"DIAB","medBMI",3.97625314187845,6.35913642039157,4.16076205823028
"21",25,0,1,"DIAB","medSBP",0,0,0
"22",25,0,1,"ECA","medSBP",0,0,0
"23",25,0,1,"ECA","medBMI",0.368774020922531,0.43765083771167,0.101296688596687
"24",25,0,1,"ECA","direct",0,0,0
"25",25,0,1,"ENDO","medSBP",0,0,0
"26",25,0,1,"ENDO","medBMI",0.402603078874717,0.454055902328457,0.772327156545853
"27",25,0,1,"ENDO","direct",0,0,0
"28",25,0,1,"GC","medBMI",0.012186387206192,0.00204196207278476,0.0268887807408124
"29",25,0,1,"GC","direct",0,0,0
"30",25,0,1,"GC","medSBP",0,0,0
"31",25,0,1,"HHD","direct",0,0,0
"32",25,0,1,"HHD","medBMI",3.61761264636099,3.31752257013805,2.99128999978192
"33",25,0,1,"HHD","medSBP",0,0,0
"34",25,0,1,"HSTK","direct",3.09405786929105,2.53145507016983,3.18566932716216
"35",25,0,1,"HSTK","medBMI",0.767525511486336,0.642324551682893,0.569935403952743
"36",25,0,1,"HSTK","medSBP",0,0,0
"37",25,0,1,"IHD","medSBP",0,0,0
"38",25,0,1,"IHD","medBMI",3.49071895083281,2.36854790234012,2.37856906180108
"39",25,0,1,"IHD","direct",3.84782412746806,6.2211511969262,4.74141713412807
"40",25,0,1,"ISTK","direct",0.854989868535664,1.02582093585044,1.44779063899861
"41",25,0,1,"ISTK","medSBP",0,0,0
"42",25,0,1,"ISTK","medBMI",0.339547597201092,0.44718503802966,0.541557836193545
"43",25,0,1,"KC","medSBP",0,0,0
"44",25,0,1,"KC","medBMI",1.2666788944414,1.70773479497902,1.63888023375461
"45",25,0,1,"KC","direct",0,0,0
"46",25,0,1,"LC","medSBP",0,0,0
"47",25,0,1,"LC","direct",0,0,0
"48",25,0,1,"LC","medBMI",0,0,0
"49",25,0,1,"LVC","direct",0,0,0
"50",25,0,1,"LVC","medSBP",0,0,0
"51",25,0,1,"LVC","medBMI",0.0955787092552702,0.303073831607063,0.144667076471816
"52",25,0,1,"MLPC","medBMI",0,0,0
"53",25,0,1,"MLPC","direct",4.89009169128046,1.62677849568935,4.02774181879345
"54",25,0,1,"MLPC","medSBP",0,0,0
"55",25,0,1,"MMC","direct",0,0,0
"56",25,0,1,"MMC","medBMI",0.0309390056151068,0.0347540611102305,0.0555464274474068
"57",25,0,1,"MMC","medSBP",0,0,0
"58",25,0,1,"OC","direct",0,0,0
"59",25,0,1,"OC","medSBP",0,0,0
"60",25,0,1,"OC","medBMI",0,0,0
"61",25,0,1,"OSTK","direct",1.38446184102734,0.744011774412155,0.808374466702059
"62",25,0,1,"OSTK","medBMI",0.239185511848586,0.218759779913302,0.189146805948984
"63",25,0,1,"OSTK","medSBP",0,0,0
"64",25,0,1,"OTH","medBMI",1.19011679047642,1.29877705725102,1.83333034286294
"65",25,0,1,"OTH","medSBP",0,0,0
"66",25,0,1,"OTH","direct",0,0,0
"67",25,0,1,"PC","medSBP",0,0,0
"68",25,0,1,"PC","medBMI",0.084674485333647,0.0503052908815471,0.171970052992638
"69",25,0,1,"PC","direct",0,0,0
"70",25,0,1,"PVD","medBMI",0.123646994017859,0.0304178114575924,0.0215427443256155
"71",25,0,1,"PVD","direct",0,0,0
"72",25,0,1,"PVD","medSBP",0,0,0
"73",25,0,1,"RHD","medSBP",0,0,0
"74",25,0,1,"RHD","direct",0,0,0
"75",25,0,1,"RHD","medBMI",0.0316478782914766,0.0739137685355144,0.225836966706035
"76",25,0,1,"SCC","direct",0,0,0
"77",25,0,1,"SCC","medSBP",0,0,0
"78",25,0,1,"SCC","medBMI",0.163898760808235,0.223055320585906,0.0463242120373628
"79",25,0,1,"SCNC","medBMI",0,0,0
"80",25,0,1,"SCNC","medSBP",0,0,0
"81",25,0,1,"SCNC","direct",0,0,0
"82",25,0,1,"TC","direct",0,0,0
"83",25,0,1,"TC","medBMI",1.27784303647328,0.727192103352154,0.593085636947258
"84",25,0,1,"TC","medSBP",0,0,0
"85",25,0,1,"UC","medSBP",0,0,0
"86",25,0,1,"UC","direct",0,0,0
"87",25,0,1,"UC","medBMI",0,0,0
"88",25,0,2,"AA","medSBP",0,0,0
"89",25,0,2,"AA","medBMI",0.478641642838547,0.341656944720036,0.298890891983683
"90",25,0,2,"AA","direct",0,0,0
"91",25,0,2,"AFF","medSBP",0,0,0
"92",25,0,2,"AFF","medBMI",0.0239472591022668,0.0220427094694084,0.0180592286911945
"93",25,0,2,"AFF","direct",0,0,0
"94",25,0,2,"APCA","direct",0,0,0
"95",25,0,2,"APCA","medBMI",0,0,0
"96",25,0,2,"APCA","medSBP",0,0,0
"97",25,0,2,"BC","medSBP",0,0,0
"98",25,0,2,"BC","medBMI",0,0,0
"99",25,0,2,"BC","direct",0,0,0
"100",25,0,2,"CC","direct",8.22430948173815,8.16886611280366,7.09099289154747
"101",25,0,2,"CC","medBMI",0.317448850508258,3.27875396453844e-06,0.12486866648573
"102",25,0,2,"CC","medSBP",0,0,0
"103",25,0,2,"CM","direct",0,0,0
"104",25,0,2,"CM","medBMI",2.5053884196103,1.54173444737051,0.931185736268097
"105",25,0,2,"CM","medSBP",0,0,0
