"female","pathway","disease_type","V1","V2","V3"
0,"direct","Cancer",36858.7123380557,34580.5742971006,37628.6530414903
0,"medSBP","Cancer",0,0,0
0,"medBMI","Cancer",15822.3424342381,15075.5349056215,15271.5807066397
0,"direct","CMD",23384.728444547,23581.8005039552,21605.6012568143
0,"medSBP","CMD",0,0,0
0,"medBMI","CMD",29954.6305590343,29712.6078525219,25900.3870145046
1,"direct","Cancer",55769.2210570059,53293.8575856433,54161.410509332
1,"medBMI","Cancer",23966.5670464608,21599.0196323085,23707.5270493206
1,"medSBP","Cancer",0,0,0
1,"direct","CMD",20179.9347795195,21977.5621421325,20016.6085627952
1,"medBMI","CMD",23667.9959913506,22964.3799128211,23539.7222011933
1,"medSBP","CMD",0,0,0
