"age","disease_type1","V1","V2","V3"
25,"Cancer",1804.76056618404,1925.47837881574,1798.10809820652
25,"CMD",1227.3291330963,1110.40019702246,1146.71785952072
35,"Cancer",3558.29051043055,3586.70076041428,3792.19525348349
35,"CMD",3133.20663224549,3134.40839123268,2561.94442906678
45,"Cancer",13312.7582613925,12615.0107888787,11236.5207023379
45,"CMD",8228.76677227791,9244.31155727317,7173.29615054488
55,"Cancer",36027.9745760457,35433.9446460431,40870.1532243607
55,"CMD",15533.706162941,12788.4254817703,14201.3588655045
65,"Cancer",41531.2476626971,38402.5766297009,42460.3746911002
65,"CMD",23964.0177123498,23270.6610556505,20244.8210818116
75,"Cancer",36181.8112990106,32585.2752168212,30611.819337294
75,"CMD",45100.2633615409,48688.1437284816,45734.1806488588
