"female","race","pathway","disease_type1","V1","V2","V3"
0,1,"direct","Cancer",26778.2671078853,23870.1340461915,26698.5157331447
0,1,"medSBP","Cancer",0,0,0
0,1,"medBMI","Cancer",13423.2066834377,13017.9131951088,12869.1472291134
0,1,"direct","CMD",19161.0336150481,20043.9486147802,17185.4772817261
0,1,"medSBP","CMD",0,0,0
0,1,"medBMI","CMD",24947.3970304948,25657.2071139348,21775.6108160718
0,2,"medSBP","Cancer",0,0,0
0,2,"medBMI","Cancer",1634.46050535973,1425.95608797492,1572.81831446805
0,2,"direct","Cancer",4468.72216607495,5121.10125059686,5210.86255877628
0,2,"medSBP","CMD",0,0,0
0,2,"medBMI","CMD",4053.48379548365,3309.70807952621,3264.21359427872
0,2,"direct","CMD",3477.21437227456,2894.89178595592,3517.21762086295
0,3,"medBMI","Cancer",362.49453034651,121.623699097963,322.023594254483
0,3,"medSBP","Cancer",0,0,0
0,3,"direct","Cancer",2812.54198390415,2772.71854241437,2585.65882161522
0,3,"medBMI","CMD",533.508307665432,178.241315749149,453.785155813035
0,3,"medSBP","CMD",0,0,0
0,3,"direct","CMD",391.133472232022,127.68224700129,488.892556968686
0,4,"direct","Cancer",2799.1810801913,2816.62045789778,3133.61592795416
0,4,"medSBP","Cancer",0,0,0
0,4,"medBMI","Cancer",402.180715094127,510.041923439852,507.591568803843
0,4,"direct","CMD",355.346984992276,515.277856217763,414.013797256581
0,4,"medSBP","CMD",0,0,0
0,4,"medBMI","CMD",420.241425390481,567.451343311752,406.777448341059
1,1,"direct","Cancer",40361.0840012904,37763.6802493428,37032.7103821678
1,1,"medBMI","Cancer",19919.3611522009,17085.9641615143,18257.1965235155
1,1,"medSBP","Cancer",0,0,0
1,1,"direct","CMD",17515.879184302,17867.1643659452,15107.2435776949
1,1,"medBMI","CMD",20642.1910968874,18174.50020595,17976.8852956136
1,1,"medSBP","CMD",0,0,0
1,2,"medSBP","Cancer",0,0,0
1,2,"direct","Cancer",7063.70581641764,7243.58512017481,8229.41768269955
1,2,"medBMI","Cancer",1790.31126436643,2083.22916596955,2756.49425055333
1,2,"medSBP","CMD",0,0,0
1,2,"direct","CMD",1694.75728813642,2413.02537178951,3499.63992276819
1,2,"medBMI","CMD",1876.45938751544,2594.45261265651,4048.29503534455
1,3,"medSBP","Cancer",0,0,0
1,3,"medBMI","Cancer",1006.49957934818,1176.1413305574,1125.34952826249
1,3,"direct","Cancer",3957.15312260937,4285.18789450786,4940.14719740509
1,3,"medSBP","CMD",0,0,0
1,3,"medBMI","CMD",751.0138834479,1520.84526236098,715.379276355255
1,3,"direct","CMD",617.506247068685,1135.74232348131,599.978351538997
1,4,"direct","Cancer",4387.27811668847,4001.40432161781,3959.13524705963
1,4,"medBMI","Cancer",1250.39505054528,1253.6849742673,1568.48674698933
1,4,"medSBP","Cancer",0,0,0
1,4,"direct","CMD",351.792060012359,561.630080916513,809.746710793101
1,4,"medBMI","CMD",398.331623499888,674.581831853582,799.162593879874
1,4,"medSBP","CMD",0,0,0
