"female","disease_type3","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"All_HD",5034.93679564798,329.563923809287,5035.96898459573,4721.41353941324,5347.58269127714,0.0209937656137104,0.00142001267188893,0.020893540112224,0.0196898718797399,0.0223828510239443,2.0893540112224,1.96898718797399,2.23828510239443,4.27170832057183,0.279606480207117,4.27258404360381,4.00571095919316,4.53696131737332
0,"All_STK",3799.65569737909,128.403869596735,3821.38794877395,3669.75327555827,3911.08570551429,0.0609487290067479,0.00249958984835393,0.0612833938993803,0.0584479027907136,0.0631650900640447,6.12833938993803,5.84479027907136,6.31650900640447,3.22367916749858,0.108939575691218,3.24211710284434,3.11346819987847,3.31821789007479
0,"Cancer",51745.7992410486,1813.03976737221,52681.0547722937,49807.3564812007,52889.2747993383,0.125044190540908,0.00418343041180992,0.127192374610285,0.12057155471631,0.127690869906536,12.7192374610285,12.057155471631,12.7690869906536,43.9018343514637,1.53820740441186,44.6953177648273,42.2572333560049,44.8719744455635
0,"DIAB",500.938125557656,79.496617514361,502.885407804847,424.605738640344,575.615322564856,0.0122551538212601,0.00189172080625604,0.0122843667819697,0.0104457642664521,0.014039712359465,1.22843667819697,1.04457642664521,1.4039712359465,0.425002665552012,0.067446003053492,0.426654766087815,0.360241238436257,0.488359807212334
0,"Other_CVD",1767.5952195762,138.295782504548,1829.69163701958,1620.16309596932,1862.2453883562,0.0338865397597131,0.00264652786755695,0.0352282561539885,0.0310573953476298,0.0355752252366623,3.52282561539885,3.10573953476298,3.55752252366623,1.4996516368176,0.117332008087033,1.55233507532667,1.37456823365047,1.57995411725202
1,"All_HD",3195.94657005254,345.427502140506,3037.13442596956,2962.41884473352,3564.4646178421,0.0182504577179654,0.00190451886667055,0.0173749570663043,0.016962812006266,0.0202822789835768,1.73749570663043,1.6962812006266,2.02822789835768,2.51627539731975,0.271966600862004,2.39123729602726,2.33241122533435,2.80642195540377
1,"All_STK",5622.67139843066,359.95731059264,5492.84999817347,5352.99401316905,6002.69697391087,0.0659336556876179,0.00422260544147555,0.0640155823987905,0.0630607876993491,0.0704368859713899,6.40155823987905,6.30607876993491,7.04368859713899,4.42691684512482,0.283406403979636,4.32470412399432,4.21459083939434,4.72612366381623
1,"Cancer",77499.2009600237,2442.53461091833,77868.9375586527,75041.6802349869,79642.445576226,0.129644098701655,0.00412529565775554,0.130464878677592,0.12543485194865,0.133155682475114,13.0464878677592,12.543485194865,13.3155682475114,61.0177074031751,1.92308901724058,61.3088133670033,59.0828193181368,62.7051554189594
1,"DIAB",377.911015497605,46.4048056968643,353.185058934195,349.309115475344,427.529978598765,0.0119330238648269,0.00148728308962276,0.0110770658041408,0.0110718906003585,0.0135217214808786,1.10770658041408,1.10718906003585,1.35217214808786,0.297541955044985,0.0365360522565005,0.27807438422928,0.275022724586939,0.33660862069638
1,"Other_CVD",1768.01467715572,35.8295906353817,1761.56714106567,1737.13264292836,1804.37711705961,0.0304586319461247,0.000731477866561666,0.0303157714222708,0.02983445563155,0.0312042397059752,3.03157714222707,2.983445563155,3.12042397059752,1.39201696170847,0.0282098324974084,1.3869406013623,1.3677025054927,1.42064632421849
