"age","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"direct",3805.57592582073,201.821880784254,3792.88115955341,3619.52509580395,4002.41730716472,0.191039801983685,0.0144936850764287,0.191019180633958,0.177279575686977,0.204817556427662,19.1019180633958,17.7279575686977,20.4817556427662,5.64868552614734,0.299567886455973,5.62984245380566,5.37252689703871,5.9408607667464
25,"medBMI",3109.45836958639,248.5236408212,3160.14485708804,2855.53107728011,3320.30214751626,0.155785554687644,0.00915711696407592,0.159152964696804,0.146108087853858,0.162600723013644,15.9152964696804,14.6108087853858,16.2600723013644,4.6154255830942,0.368888157844176,4.69066045789441,4.23851668712074,4.92838483548747
25,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"direct",7988.58125418653,161.11743683343,8007.47397547754,7828.2815538992,8132.82214137649,0.18959471128535,0.0056406710280876,0.190141510616495,0.18402260087627,0.194702042262957,19.0141510616495,18.402260087627,19.4702042262957,19.5511503262135,0.394316728775061,19.5973881276802,19.1588349152734,19.9041636059069
35,"medBMI",6063.22757003268,533.350450887686,6147.75691622349,5525.41498537556,6529.19021042762,0.143907406238203,0.0132236735582221,0.144438925314689,0.131126634035322,0.15623638722607,14.4438925314689,13.1126634035322,15.623638722607,14.8390646488858,1.3053149877388,15.0459406762764,13.5228290927349,15.9794555817547
35,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"direct",25001.3100893176,1625.59291603534,25011.7551883977,23452.5815615339,26541.1602828832,0.184705568256618,0.0110561894969793,0.184748831258992,0.174183861767733,0.195190501193486,18.4748831258992,17.4183861767733,19.5190501193486,63.9312026077388,4.15682657034701,63.9579119178975,59.9709270485621,67.8687752532807
45,"medBMI",19992.7156273598,739.341953292262,20204.4262724925,19222.3034816967,20583.1737246602,0.147722003199874,0.00493281706970513,0.148556339717653,0.142731780444012,0.152003039915624,14.8556339717653,14.2731780444012,15.2003039915624,51.1236550758902,1.89058173525574,51.6650233521861,49.1536233135588,52.6335238033703
45,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"direct",61721.9322123581,4204.33433235135,61560.8166165004,57798.4888755384,65782.3238056568,0.157293945429339,0.0107283587098639,0.156386137376592,0.147515225810318,0.167844301893196,15.6386137376592,14.7515225810318,16.7844301893196,129.081852528345,8.79271346206779,128.74490423721,120.876579037162,137.573532066994
55,"medBMI",43131.9252051558,4358.40791401387,44146.1935082845,38645.3330513213,46756.3893013311,0.109902985841178,0.0108702071262026,0.112663666042453,0.0986558711965893,0.118803522314682,11.2663666042453,9.86558711965893,11.8803522314682,90.2037348642951,9.11493447223074,92.324919779216,80.820722926763,97.7837396241445
55,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"direct",72214.2562520966,2642.77852033456,72991.8301585892,69456.0191874813,74311.5554961931,0.160869271515727,0.00639609709251576,0.162812426773998,0.15418121701595,0.165905644045974,16.2812426773998,15.418121701595,16.5905644045974,247.204652787952,9.04678910261294,249.866452514871,237.762624700247,254.384151107777
65,"medBMI",52628.164637053,2949.3180005826,51198.6150954624,50692.672780996,55778.7736034619,0.117236571236023,0.00679418540615557,0.113622278401156,0.113043931368936,0.124501360012748,11.3622278401156,11.3043931368936,12.4501360012748,180.157324068434,10.0961384930709,175.263674027389,173.531726616039,190.942524055716
65,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"direct",90013.4954050055,5297.19322588684,88319.8566098697,85897.7128703731,95568.8709155032,0.125345992215562,0.00747181653201703,0.122800297701024,0.119645709295636,0.133210115472844,12.2800297701024,11.9645709295636,13.3210115472844,438.830968714071,25.824710220644,430.574193996268,418.765834829839,465.914361108436
75,"medBMI",68321.6336980733,3084.7671073356,68049.6436736165,65515.2567482521,71359.2021686828,0.0951340102562947,0.00419757103011989,0.0948634343559136,0.091267530865703,0.0992304791622104,9.48634343559136,9.1267530865703,9.92304791622104,333.079485081147,15.0387598201647,331.753487847333,319.397924222681,347.888143588355
75,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
