"female","race","pathway","disease_type3","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"direct","All_HD",1148.15871582598,79.7718058119296,1123.26518867626,1085.77515458535,1231.70177514387,0.00614360630718741,0.000396144808901269,0.00602322504649115,0.00583169681939457,0.00655783986657208,0.602322504649115,0.583169681939457,0.655783986657208,1.56513421334787,0.10874244197761,1.53120013220048,1.48009488498467,1.67901751068635
0,1,"direct","All_STK",2385.95657044388,137.372339432729,2421.92340542831,2243.5659562657,2497.77537488529,0.0523077686927584,0.00310436459741264,0.0533051458724706,0.0490511929240331,0.0547165738587282,5.33051458724706,4.90511929240331,5.47165738587282,3.25246170977101,0.18726169600962,3.30149057938986,3.05835925787301,3.404889622493
0,1,"direct","Cancer",25782.3056290738,1656.46919447063,26698.5157331447,24011.5531305392,26774.2795391482,0.0843976676476949,0.0050996749658325,0.0872741908421399,0.0789478165613395,0.0874024740187723,8.72741908421399,7.89478165613395,8.74024740187723,35.1456362982231,2.25804723152554,36.3945853857756,32.7318016248226,36.497864247204
0,1,"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"medBMI","All_HD",3225.71759694636,306.556464484941,3223.98833128586,2935.22736871629,3517.67770098785,0.0172651342737282,0.00166264249738489,0.017159334700961,0.0157329889555435,0.0188872092287651,1.7159334700961,1.57329889555435,1.88872092287651,4.39719779503396,0.417888227711771,4.39484051392647,4.00121056036055,4.79518871864873
0,1,"medBMI","All_STK",672.744260794992,49.948772548951,671.127977976733,625.998482957686,720.863879027817,0.0147502637561342,0.00114804146909403,0.0146982793342701,0.0136825566409417,0.0158621576299111,1.46982793342701,1.36825566409417,1.58621576299111,0.917064030338511,0.0680886115774109,0.91486076392383,0.853341641426372,0.982659195703129
0,1,"medBMI","Cancer",13103.42236922,286.756575991607,13017.9131951088,12876.5855274131,13402.9420090213,0.042899070927861,0.000810865644935566,0.0428163066838519,0.0421669387507547,0.0437015527123749,4.28163066838519,4.21669387507547,4.3701552712375,17.8621773970162,0.390897636189678,17.7456139532067,17.5529604768587,18.2704732444116
0,1,"medBMI","DIAB",398.943801478468,79.794898070803,376.532401455958,334.940103292466,481.997189683603,0.0141527568412333,0.0027288712246395,0.0133964366506043,0.0119575493248555,0.0169908365196457,1.33964366506043,1.19575493248555,1.69908365196457,0.543827769009984,0.108773920625925,0.513277246281058,0.456579920406024,0.65704356193353
0,1,"medBMI","Other_CVD",1479.12648912862,116.952672060743,1509.29959353649,1358.00660594326,1574.5992335673,0.0357654754782166,0.00286892480376599,0.0365857923625167,0.0327762441241337,0.0380574374806443,3.65857923625167,3.27762441241337,3.80574374806443,2.01629917719076,0.159426241217043,2.05743021367617,1.85119232351527,2.14644464985366
