"female","race","outcome","pathway","V1","V2","V3"
0,1,"AA","direct",0,0,0
0,1,"AA","medSBP",0,0,0
0,1,"AA","medBMI",24.4268963295945,26.6224998263091,20.8685950773494
0,1,"AFF","medSBP",0,0,0
0,1,"AFF","direct",0,0,0
0,1,"AFF","medBMI",49.9965182901995,50.047176049306,52.3559498834236
0,1,"APCA","direct",0,0,0
0,1,"APCA","medBMI",16.0964314785334,18.8668798022891,25.0635021401617
0,1,"APCA","medSBP",0,0,0
0,1,"BC","direct",0,0,0
0,1,"BC","medSBP",0,0,0
0,1,"BC","medBMI",0,0,0
0,1,"CC","medBMI",40.7186088044853,49.3203343548383,27.0683696165104
0,1,"CC","direct",3932.98093742543,3199.34683397668,3897.31466102369
0,1,"CC","medSBP",0,0,0
0,1,"CM","medBMI",49.415484727558,46.3466593684067,39.3291389881088
0,1,"CM","medSBP",0,0,0
0,1,"CM","direct",0,0,0
0,1,"DIAB","direct",0,0,0
0,1,"DIAB","medBMI",376.532401455958,487.547968011374,332.751034968072
0,1,"DIAB","medSBP",0,0,0
0,1,"ECA","medSBP",0,0,0
0,1,"ECA","medBMI",57.7341536206705,72.4663389502083,49.073570185723
0,1,"ECA","direct",0,0,0
0,1,"ENDO","medSBP",0,0,0
0,1,"ENDO","medBMI",5.04679304612708,5.92603857437818,4.48236715761616
0,1,"ENDO","direct",0,0,0
0,1,"GC","medBMI",3.37655167750534,2.31832924223861,3.38447687075511
0,1,"GC","direct",0,0,0
0,1,"GC","medSBP",0,0,0
0,1,"HHD","direct",0,0,0
0,1,"HHD","medBMI",225.379313784732,195.357891106341,190.906592703643
0,1,"HHD","medSBP",0,0,0
0,1,"HSTK","direct",192.178251886147,183.32547764823,153.000943378903
0,1,"HSTK","medBMI",63.6576681083297,64.6443497415444,42.8115163156543
0,1,"HSTK","medSBP",0,0,0
0,1,"IHD","medSBP",0,0,0
0,1,"IHD","medBMI",1087.34601327444,977.422746810352,786.375452990184
0,1,"IHD","direct",978.983164873664,1108.46106461479,1006.27577922884
0,1,"ISTK","direct",245.461934038171,192.040934226964,191.36104566761
0,1,"ISTK","medSBP",0,0,0
0,1,"ISTK","medBMI",69.579083786665,48.6278600775647,69.5737093910165
0,1,"KC","medSBP",0,0,0
0,1,"KC","medBMI",160.522017023566,175.073546390255,174.095320657539
0,1,"KC","direct",0,0,0
0,1,"LC","medSBP",0,0,0
0,1,"LC","direct",0,0,0
0,1,"LC","medBMI",0,0,0
0,1,"LVC","direct",0,0,0
0,1,"LVC","medSBP",0,0,0
0,1,"LVC","medBMI",87.5228713073447,80.2820499146876,72.9274654485929
0,1,"MLPC","medBMI",0,0,0
0,1,"MLPC","direct",449.867849906225,559.674927237981,420.606165286616
0,1,"MLPC","medSBP",0,0,0
0,1,"MMC","direct",0,0,0
0,1,"MMC","medBMI",16.2078313899304,15.0577744356148,12.9354940253081
0,1,"MMC","medSBP",0,0,0
0,1,"OC","direct",0,0,0
0,1,"OC","medSBP",0,0,0
0,1,"OC","medBMI",0,0,0
0,1,"OSTK","direct",385.529711979232,535.54914050487,458.88767200191
0,1,"OSTK","medBMI",101.612965060964,111.552118582763,92.1035441422423
0,1,"OSTK","medSBP",0,0,0
0,1,"OTH","medBMI",64.4894518657967,66.3368522380995,62.1748617140051
0,1,"OTH","medSBP",0,0,0
0,1,"OTH","direct",0,0,0
0,1,"PC","medSBP",0,0,0
0,1,"PC","medBMI",45.1434632515435,49.8457610627609,36.8619545281834
0,1,"PC","direct",0,0,0
0,1,"PVD","medBMI",15.015986660348,14.5501567774204,11.756882422369
0,1,"PVD","direct",0,0,0
0,1,"PVD","medSBP",0,0,0
0,1,"RHD","medSBP",0,0,0
0,1,"RHD","direct",0,0,0
0,1,"RHD","medBMI",5.66134190664355,6.66903968974848,5.09445419240855
0,1,"SCC","direct",0,0,0
