"age","female","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"AA","medBMI",0.977401503797033,0.0235162887113083,0.985544328569697,0.952628454945176,0.995253151592125,0.00870678517564614,0.000638045624285802,0.0083913416950527,0.00829307353373395,0.00938862377606276,0.83913416950527,0.829307353373395,0.938862377606276,0.00286179351608017,6.8854776972255e-05,0.0028856353897078,0.00278925899438937,0.00291406244518747
25,0,"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"AFF","medBMI",0.101192640966581,0.0239598842877337,0.105631807764728,0.0768390192166542,0.121772970938084,0.0089358742463369,0.00178924040664649,0.0099427406169891,0.00702369046262274,0.00999222161499669,0.99427406169891,0.702369046262274,0.999222161499669,0.000296288109510959,7.01536075341522e-05,0.000309285816912043,0.000224981654030526,0.000356546513700469
25,0,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"APCA","medBMI",0.00879467944920414,0.00136346971647716,0.00922583006325549,0.00736566058019187,0.00985722029627277,0.00091016365160844,0.000261618394890507,0.000912135513256325,0.00066079342999557,0.00115785779082061,0.0912135513256325,0.066079342999557,0.115785779082061,2.57504787192985e-05,3.99218619863744e-06,2.70128709163156e-05,2.15663671563346e-05,2.8861556914798e-05
25,0,"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"BC","direct",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,"BC","medBMI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,"BC","medSBP",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,"CC","direct",89.5551491592509,15.9552167248742,95.3529481490099,72.7037404098171,101.47842876739,0.0689608683834453,0.0118309434559935,0.0740166626517701,0.056370777115193,0.0772535345236213,7.40166626517702,5.6370777115193,7.72535345236213,0.262213986984777,0.046716252833166,0.279189716500202,0.212873718826195,0.297124885055247
