"female","pathway","disease_type3","V1","V2","V3"
0,"direct","All_HD",1314.14218692258,1411.25827236989,1355.43449332456
0,"medSBP","All_HD",0,0,0
0,"medBMI","All_HD",4049.84122575884,3624.71071222584,3349.42349634223
0,"direct","All_STK",3026.84561967808,3022.58703573593,2893.65282713602
0,"medSBP","All_STK",0,0,0
0,"medBMI","All_STK",888.961020401486,798.800913038014,768.119676147736
0,"direct","Cancer",36858.7123380557,34580.5742971006,37628.6530414903
0,"medSBP","Cancer",0,0,0
0,"medBMI","Cancer",15822.3424342381,15075.5349056215,15271.5807066397
0,"direct","DIAB",0,0,0
0,"medSBP","DIAB",0,0,0
0,"medBMI","DIAB",502.885407804847,579.443212815383,420.485756052739
0,"direct","Other_CVD",0,0,0
0,"medSBP","Other_CVD",0,0,0
0,"medBMI","Other_CVD",1829.69163701958,1863.95874368971,1609.13527801931
1,"direct","All_HD",975.229050698914,611.642608370867,775.78894647561
1,"medBMI","All_HD",2616.98978776806,2425.49181759869,2182.69749924549
1,"medSBP","All_HD",0,0,0
1,"direct","All_STK",4224.93664707283,4939.20958209671,4373.79332791937
1,"medBMI","All_STK",1120.6965247802,1090.32144316876,1119.05667025409
1,"medSBP","All_STK",0,0,0
1,"direct","Cancer",55769.2210570059,53293.8575856433,54161.410509332
1,"medBMI","Cancer",23966.5670464608,21599.0196323085,23707.5270493206
1,"medSBP","Cancer",0,0,0
1,"direct","DIAB",0,0,0
1,"medBMI","DIAB",353.185058934195,349.105118451194,431.442869107427
1,"medSBP","DIAB",0,0,0
1,"direct","Other_CVD",0,0,0
1,"medBMI","Other_CVD",1735.84661671061,1806.63027369087,1761.56714106567
1,"medSBP","Other_CVD",0,0,0
