"pathway","disease_type2","V1","V2","V3"
"direct","Cancer",92627.9333950616,87874.4318827438,91790.0635508224
"medSBP","Cancer",0,0,0
"medBMI","Cancer",39788.9094806989,36674.5545379301,38979.1077559604
"direct","DIAB",0,0,0
"medSBP","DIAB",0,0,0
"medBMI","DIAB",856.070466739042,928.548331266577,851.928625160166
"direct","HHD",0,0,0
"medSBP","HHD",0,0,0
"medBMI","HHD",574.519252970283,480.336401644002,414.217923317871
"direct","HSTK",662.817232618874,638.784201932525,654.451487482632
"medSBP","HSTK",0,0,0
"medBMI","HSTK",156.783824302444,176.84102757789,156.404268389726
"direct","IHD",1995.80877778839,1763.74334420196,1851.44551368836
"medSBP","IHD",0,0,0
"medBMI","IHD",1794.64097986378,1775.61186576001,1796.74626023547
"direct","ISTK",591.492095653866,736.208916220252,628.346392960228
"medSBP","ISTK",0,0,0
"medBMI","ISTK",218.552855139547,148.557103900156,166.421893585782
"direct","OSTK",1165.05068098284,1331.93263739552,1128.89944457965
"medSBP","OSTK",0,0,0
"medBMI","OSTK",286.216868285247,294.001002645202,290.525360740571
"direct","Other_CVD",0,0,0
"medSBP","Other_CVD",0,0,0
"medBMI","Other_CVD",3565.53825373019,3670.58901738058,3370.70241908498
