"race","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,"direct",196083.027470426,10652.4268870351,193337.50184338,187385.381919769,207114.369804071,0.149654199714676,0.0079648449838696,0.147612658274639,0.14314402754366,0.157899682109724,14.7612658274639,14.314402754366,15.7899682109724,128.504975093715,6.98117460478585,126.70566738782,122.804886007577,135.734475729864
1,"medBMI",158105.4477864,9373.95029188699,156195.885598324,150151.434083106,167682.589349558,0.120668589589323,0.00702161285383424,0.119255135009491,0.114700921175961,0.127837694395543,11.9255135009491,11.4700921175961,12.7837694395543,103.615988043821,6.14331216897569,102.364537346715,98.4032455335549,109.892463646628
1,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"direct",35255.3668587618,2787.19795505434,34350.514936851,33098.8956253349,38180.9622258129,0.170972516219532,0.012572509551534,0.166672502372079,0.161392092081498,0.1842079521279,16.6672502372079,16.1392092081498,18.42079521279,125.542221946232,9.92504277953797,122.320099162371,117.863158747369,135.960089511377
2,"medBMI",20903.3115063643,2219.65030691034,19835.0139326815,19440.5725508963,23274.1033994625,0.101363471867526,0.0102195811413774,0.0962416840860362,0.0947937644565783,0.112286698892741,9.62416840860362,9.47937644565783,11.2286698892741,74.435423776934,7.90404004557697,70.631280945654,69.2266991214107,82.8776698390452
2,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"direct",15203.8881720577,888.349153806633,15272.94574461,14332.5216458132,16016.5557616328,0.108139286152829,0.00668197661860643,0.108591861610946,0.101609993438069,0.114283889728189,10.8591861610946,10.1609993438069,11.4283889728189,39.3656495623535,2.30009857228727,39.5444522587398,37.1095221215093,41.4697947112694
3,"medBMI",6670.95280544775,44.7884701783497,6655.20507462298,6637.11705237902,6718.17412971755,0.0474414351779387,0.000316080341999682,0.0473598251965678,0.047183445957224,0.0477687928828185,4.73598251965678,4.7183445957224,4.77687928828185,17.2723179369922,0.115965547859999,17.2315441792511,17.1847109786333,17.394582589431
3,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"direct",14202.8686375399,789.611809753961,14322.6716632029,13408.3248788102,14895.579824456,0.142085937203115,0.00696780660173653,0.141880909060576,0.135555807485156,0.148790340842232,14.1880909060576,13.5555807485156,14.8790340842232,55.5114648769576,3.08617289663114,55.9797112306319,52.4060156130428,58.2189047402492
4,"medBMI",7567.41300904937,937.710092840705,7885.28335245929,6580.74548305026,8283.89074315006,0.0756713428459484,0.00879780079029007,0.0781119051357885,0.066520968130266,0.0827472396152667,7.81119051357885,6.6520968130266,8.27472396152667,29.5769954775868,3.66501037303911,30.8193817063087,25.7206365185264,32.3773261422335
4,"medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
