"age","race","outcome","pathway","V1","V2","V3"
25,1,"AA","direct",0,0,0
25,1,"AA","medSBP",0,0,0
25,1,"AA","medBMI",0.527821176423219,0.588453756225546,0.760157253067115
25,1,"AFF","medSBP",0,0,0
25,1,"AFF","direct",0,0,0
25,1,"AFF","medBMI",0.0832490510154898,0.032058074073782,0.0633880171606502
25,1,"APCA","direct",0,0,0
25,1,"APCA","medBMI",0.00416206871305895,0.00759505412082294,0.00661049241299501
25,1,"APCA","medSBP",0,0,0
25,1,"BC","direct",0,0,0
25,1,"BC","medSBP",0,0,0
25,1,"BC","medBMI",0,0,0
25,1,"CC","medBMI",1.79264672467944,0.886898097531182,1.33828098337471
25,1,"CC","direct",118.871694545708,121.738394361547,95.5865270034201
25,1,"CC","medSBP",0,0,0
25,1,"CM","medBMI",4.23124957354134,3.15560939233624,3.69837715874483
25,1,"CM","medSBP",0,0,0
25,1,"CM","direct",0,0,0
25,1,"DIAB","direct",0,0,0
25,1,"DIAB","medBMI",6.84049701576509,11.5431940521589,7.52161161202602
25,1,"DIAB","medSBP",0,0,0
25,1,"ECA","medSBP",0,0,0
25,1,"ECA","medBMI",0.455673922644861,0.439655393873933,0.134517681532844
25,1,"ECA","direct",0,0,0
25,1,"ENDO","medSBP",0,0,0
25,1,"ENDO","medBMI",1.37938711508445,1.13426872173336,1.17948828943917
25,1,"ENDO","direct",0,0,0
25,1,"GC","medBMI",0.012186387206192,0.00204196207278476,0.0268887807408124
25,1,"GC","direct",0,0,0
25,1,"GC","medSBP",0,0,0
25,1,"HHD","direct",0,0,0
25,1,"HHD","medBMI",4.22553113983607,4.1511685281523,2.99147366525317
25,1,"HHD","medSBP",0,0,0
25,1,"HSTK","direct",4.26540699223001,3.69445520025702,4.58757767337516
25,1,"HSTK","medBMI",1.3494075543682,0.930921740670491,0.839216526955803
25,1,"HSTK","medSBP",0,0,0
25,1,"IHD","medSBP",0,0,0
25,1,"IHD","medBMI",4.71840179883752,4.31075005946742,3.5219779079955
25,1,"IHD","direct",5.40615832274045,7.76161059503672,6.54378468940214
25,1,"ISTK","direct",3.55728043898464,1.92436343035237,3.26635802350726
25,1,"ISTK","medSBP",0,0,0
25,1,"ISTK","medBMI",0.89052461522085,0.820811073087546,0.944595986498991
25,1,"KC","medSBP",0,0,0
25,1,"KC","medBMI",2.9015739472728,3.27304979998789,2.53538861537732
25,1,"KC","direct",0,0,0
25,1,"LC","medSBP",0,0,0
25,1,"LC","direct",0,0,0
25,1,"LC","medBMI",0,0,0
25,1,"LVC","direct",0,0,0
25,1,"LVC","medSBP",0,0,0
25,1,"LVC","medBMI",0.378203322244044,0.483874017625234,0.183732818369625
25,1,"MLPC","medBMI",0,0,0
25,1,"MLPC","direct",7.72938544752945,4.04487232975742,6.76881347165124
25,1,"MLPC","medSBP",0,0,0
25,1,"MMC","direct",0,0,0
25,1,"MMC","medBMI",0.078081158127876,0.102531295605488,0.102553367882644
25,1,"MMC","medSBP",0,0,0
25,1,"OC","direct",0,0,0
25,1,"OC","medSBP",0,0,0
25,1,"OC","medBMI",0.459283578103013,0.591634640569539,0.423857519359741
25,1,"OSTK","direct",2.42986396027721,1.3760900839988,1.39276331818302
25,1,"OSTK","medBMI",0.495590203458057,0.366147542644814,0.275129524823011
25,1,"OSTK","medSBP",0,0,0
25,1,"OTH","medBMI",2.96920130558737,3.68443234515063,2.74270065579185
25,1,"OTH","medSBP",0,0,0
25,1,"OTH","direct",0,0,0
25,1,"PC","medSBP",0,0,0
25,1,"PC","medBMI",0.228565089759448,0.172306178982608,0.291813488102546
25,1,"PC","direct",0,0,0
25,1,"PVD","medBMI",0.123646994017859,0.0304178114575924,0.0215427443256155
25,1,"PVD","direct",0,0,0
25,1,"PVD","medSBP",0,0,0
25,1,"RHD","medSBP",0,0,0
25,1,"RHD","direct",0,0,0
25,1,"RHD","medBMI",0.602121533878881,0.598884688794286,0.402914948282813
25,1,"SCC","direct",0,0,0
25,1,"SCC","medSBP",0,0,0
25,1,"SCC","medBMI",0.163898760808235,0.291787147447658,0.0861445848784219
25,1,"SCNC","medBMI",0,0,0
25,1,"SCNC","medSBP",0,0,0
25,1,"SCNC","direct",0,0,0
25,1,"TC","direct",0,0,0
25,1,"TC","medBMI",5.06149235435985,6.16597700232626,2.67556069953463
25,1,"TC","medSBP",0,0,0
25,1,"UC","medSBP",0,0,0
25,1,"UC","direct",0,0,0
25,1,"UC","medBMI",3.09688414363343,3.93723979635991,2.4485024248279
25,2,"AA","medSBP",0,0,0
25,2,"AA","medBMI",0.674408280290666,0.530855637068969,0.356130452159618
25,2,"AA","direct",0,0,0
25,2,"AFF","medSBP",0,0,0
25,2,"AFF","medBMI",0.0239472591022668,0.0220427094694084,0.0180592286911945
25,2,"AFF","direct",0,0,0
25,2,"APCA","direct",0,0,0
25,2,"APCA","medBMI",0,0,0
25,2,"APCA","medSBP",0,0,0
25,2,"BC","medSBP",0,0,0
25,2,"BC","medBMI",0,0,0
25,2,"BC","direct",0,0,0
25,2,"CC","direct",18.5827991552443,21.6122868162402,21.7143849783125
25,2,"CC","medBMI",0.489939030603172,0.0873600922459314,0.396814045189004
25,2,"CC","medSBP",0,0,0
25,2,"CM","direct",0,0,0
25,2,"CM","medBMI",3.05298408510103,2.14275951079495,1.17996096728624
25,2,"CM","medSBP",0,0,0
25,2,"DIAB","direct",0,0,0
25,2,"DIAB","medSBP",0,0,0
25,2,"DIAB","medBMI",5.80227222193524,6.66413542638606,7.02775973825806
25,2,"ECA","medSBP",0,0,0
25,2,"ECA","direct",0,0,0
25,2,"ECA","medBMI",0,0,0
25,2,"ENDO","direct",0,0,0
25,2,"ENDO","medSBP",0,0,0
25,2,"ENDO","medBMI",0.274959453981806,0.264016229276256,0.177968103327507
25,2,"GC","medBMI",0.0260519889064466,0.0303939594367358,0.0152208976588918
25,2,"GC","medSBP",0,0,0
25,2,"GC","direct",0,0,0
25,2,"HHD","medBMI",4.98674858015922,1.91012338401342,2.28952293658447
25,2,"HHD","direct",0,0,0
25,2,"HHD","medSBP",0,0,0
25,2,"HSTK","direct",2.76224754921654,3.54967323769496,3.72466351939123
25,2,"HSTK","medBMI",0.935659712663864,0.866319694659327,0.861121727728665
25,2,"HSTK","medSBP",0,0,0
25,2,"IHD","medSBP",0,0,0
25,2,"IHD","direct",5.14524697523855,2.96906313989095,3.69899931973594
25,2,"IHD","medBMI",6.89889024369445,2.64785947540855,2.76448048994639
25,2,"ISTK","medBMI",0.647251886458775,0.581825563524258,0.359657810041844
25,2,"ISTK","medSBP",0,0,0
25,2,"ISTK","direct",1.81638028624065,1.14656972940229,1.71324269418204
25,2,"KC","medSBP",0,0,0
25,2,"KC","medBMI",0.493873512045143,0.606649684395342,0.516843066791685
25,2,"KC","direct",0,0,0
25,2,"LC","medSBP",0,0,0
25,2,"LC","direct",0,0,0
25,2,"LC","medBMI",0,0,0
25,2,"LVC","medBMI",0.437697937740958,0.187809573401033,0.20861528674365
25,2,"LVC","medSBP",0,0,0
25,2,"LVC","direct",0,0,0
25,2,"MLPC","medSBP",0,0,0
25,2,"MLPC","medBMI",0,0,0
25,2,"MLPC","direct",1.58769224606802,1.56889977164642,1.06393927135538
25,2,"MMC","medSBP",0,0,0
25,2,"MMC","direct",0,0,0
25,2,"MMC","medBMI",0.0522792231964662,0.0237316580194486,0.062116478094293
25,2,"OC","medBMI",0.120481528297269,0.110372923951077,0.119563791822861
25,2,"OC","medSBP",0,0,0
25,2,"OC","direct",0,0,0
25,2,"OSTK","direct",1.17187671812653,1.01569868706743,0.954189318822942
25,2,"OSTK","medBMI",0.21358607255425,0.260114570126343,0.267921899472509
25,2,"OSTK","medSBP",0,0,0
25,2,"OTH","medSBP",0,0,0
25,2,"OTH","direct",0,0,0
25,2,"OTH","medBMI",3.1237274981205,1.39936737869226,0.929574334838283
25,2,"PC","medSBP",0,0,0
25,2,"PC","direct",0,0,0
25,2,"PC","medBMI",0.0940342598461846,0.0355554714191292,0.090716537308365
25,2,"PVD","medSBP",0,0,0
25,2,"PVD","direct",0,0,0
25,2,"PVD","medBMI",0.0263828513487668,0.0299976055130128,0.0121908326280414
25,2,"RHD","medBMI",0.301480855654207,0.152401062628319,0.133846926543817
25,2,"RHD","direct",0,0,0
25,2,"RHD","medSBP",0,0,0
25,2,"SCC","medBMI",0.0371015088346036,0.0112749026878689,0
25,2,"SCC","medSBP",0,0,0
25,2,"SCC","direct",0,0,0
25,2,"SCNC","direct",0,0,0
25,2,"SCNC","medBMI",0,0,0
25,2,"SCNC","medSBP",0,0,0
25,2,"TC","direct",0,0,0
25,2,"TC","medBMI",0.275623694619077,0.276966841657362,0.247710842781797
25,2,"TC","medSBP",0,0,0
25,2,"UC","medBMI",1.42445598929952,0.634720153939214,0.535956546511992
25,2,"UC","medSBP",0,0,0
25,2,"UC","direct",0,0,0
25,3,"AA","medBMI",0.107362555202867,0.177999782141106,0.129631605730141
25,3,"AA","direct",0,0,0
25,3,"AA","medSBP",0,0,0
25,3,"AFF","direct",0,0,0
25,3,"AFF","medBMI",0.00899025403333258,0.00938400536469174,0.00812848072377437
25,3,"AFF","medSBP",0,0,0
