"female","race","disease_type2","V1","V2","V3"
0,1,"Cancer",40201.473791323,36888.0472413003,39567.662962258
0,1,"DIAB",376.532401455958,487.547968011374,332.751034968072
0,1,"HHD",225.379313784732,195.357891106341,190.906592703643
0,1,"HSTK",255.835919994477,247.969827389775,195.812459694557
0,1,"IHD",2066.3291781481,2085.88381142515,1792.65123221902
0,1,"ISTK",315.041017824836,240.668794304528,260.934755058626
0,1,"OSTK",487.142677040196,647.101259087633,550.991216144153
0,1,"Other_CVD",1509.29959353649,1578.03605672682,1350.04381712256
0,2,"Cancer",6103.18267143468,6547.05733857179,6783.68087324433
0,2,"DIAB",101.481608663075,77.1488928708354,68.2249192543877
0,2,"HHD",69.1138585966798,45.3345898481384,39.4591195508862
0,2,"HSTK",68.9483199446052,51.3482241759368,70.0450298734185
0,2,"IHD",239.419009801462,187.375178553054,253.527614151542
0,2,"ISTK",53.4258331006209,42.9366297686994,48.2117741479685
0,2,"OSTK",92.2888271311213,89.6893191032,94.9331917719314
0,2,"Other_CVD",264.108797130774,238.647498479736,212.666146773964
0,3,"Cancer",3175.03651425066,2894.34224151234,2907.6824158697
0,3,"DIAB",14.7296113824772,3.49491017679447,11.820946131912
0,3,"HHD",3.46481492548026,2.64542909916065,3.46453381272104
0,3,"HSTK",11.0161899610514,3.26927524838314,14.7030662238339
0,3,"IHD",34.4655366922347,11.352338796224,31.5732377785227
0,3,"ISTK",6.06567286002878,1.48563415343008,6.66686528062921
0,3,"OSTK",5.97681006773055,1.9715487270878,9.2064020870055
0,3,"Other_CVD",31.2095529830071,12.3816513138287,23.022042001159
0,4,"Cancer",3201.36179528543,3326.66238133764,3641.20749675801
0,4,"DIAB",10.1417863033365,11.2514417563788,7.68885569836686
0,4,"HHD",2.33731556240301,4.69618825271927,3.5109187696525
0,4,"HSTK",9.84259895801769,11.2005975696784,14.5162691326092
0,4,"IHD",32.4508420245493,52.772612966709,33.1003328088563
0,4,"ISTK",5.50050509083357,9.95217621198979,5.07494849033084
0,4,"OSTK",7.94275812125928,13.5614409478591,9.48387547856311
0,4,"Other_CVD",25.0736933693025,34.893537169325,23.403272121626
1,1,"Cancer",60280.4451534914,54849.6444108571,55289.9069056833
1,1,"DIAB",271.103346889066,228.967565143181,306.674773128328
1,1,"HHD",241.281330374837,182.874920269812,109.124913717756
1,1,"HSTK",390.476636933429,377.957644849344,387.006414723822
1,1,"IHD",1274.83268195105,958.981747486346,1191.16224883338
1,1,"ISTK",376.749805392399,479.540656448192,342.549640157683
1,1,"OSTK",783.163685592569,740.116111158475,564.983569239543
1,1,"Other_CVD",1509.91012195346,1500.0142823517,1417.57198582513
1,2,"Cancer",8854.01708078407,9326.81428614436,10985.9119332529
1,2,"DIAB",52.2386435328379,69.450608929327,91.0845863807853
1,2,"HHD",20.8292917136815,28.3291257147044,55.687067718677
1,2,"HSTK",52.3920684487153,71.497453483816,78.1816158644869
1,2,"IHD",77.0011837003158,139.189103002892,256.404360966828
1,2,"ISTK",27.9829864584244,46.723928698166,93.9592079404932
1,2,"OSTK",41.0222341438216,75.8982638991801,135.401603590217
1,2,"Other_CVD",154.920345143704,176.794482835561,244.881567965047
1,3,"Cancer",4963.65270195755,5461.32922506526,6065.49672566758
1,3,"DIAB",18.4362455657675,34.4472314570788,17.7626449556261
1,3,"HHD",9.40600928700152,17.1046222114039,7.45436864438771
1,3,"HSTK",14.8931165962881,26.1742118625763,24.0432190738797
1,3,"IHD",43.824184685264,73.691496370906,32.5451209136734
1,3,"ISTK",16.9249848567235,50.4917607114653,15.1782209644943
1,3,"OSTK",19.5934210061912,35.4692494113272,19.5137912578902
1,3,"Other_CVD",44.4700624679706,85.8540507034336,42.3519265289357
1,4,"Cancer",5637.67316723375,5255.08929588511,5527.62199404897
1,4,"DIAB",11.406822946524,16.2397129216074,15.9208646426871
1,4,"HHD",2.70731872546861,3.99363514172237,4.6104084001474
1,4,"HSTK",16.1962060847341,26.2079949309063,26.5476812857512
1,4,"IHD",22.12714064919,30.1089213606939,57.2276262520032
1,4,"ISTK",8.35414520954639,12.9664398239368,22.1928745057842
1,4,"OSTK",14.1371361652006,22.1264477059634,34.9111557509167
1,4,"Other_CVD",26.5460871454787,43.967457800175,56.7616607465593
