"age","pathway","V1","V2","V3"
25,"direct",3792.88115955341,3610.40109244872,4013.44552546005
25,"medSBP",0,0,0
25,"medBMI",3160.14485708804,3328.73147859143,2839.4987730797
35,"direct",7818.85037381613,8139.41941326591,8007.47397547754
35,"medBMI",6147.75691622349,6549.26564696468,5492.66014690988
35,"medSBP",0,0,0
45,"direct",25011.7551883977,26621.6552878561,23370.519791699
45,"medBMI",20603.1078010901,20204.4262724925,19170.6128084969
45,"medSBP",0,0,0
55,"medBMI",46893.7680272809,38355.8140799021,44146.1935082845
55,"medSBP",0,0,0
55,"direct",61560.8166165004,57600.4716260141,66004.5083945598
65,"medSBP",0,0,0
65,"direct",74381.014724488,72991.8301585892,69269.9238732125
65,"medBMI",56019.8345775671,50666.0442381294,51198.6150954624
75,"direct",95950.3979842208,88319.8566098697,85770.231620926
75,"medBMI",68049.6436736165,71533.3894578968,65381.8679627066
75,"medSBP",0,0,0
