"age","female","pathway","V1","V2","V3"
25,0,"direct",1435.89933445659,1335.68296412585,1364.04884784302
25,0,"medSBP",0,0,0
25,0,"medBMI",1180.80276664258,1107.62428925062,1078.55731841621
25,1,"direct",2356.98182509682,2274.71812832287,2649.39667761703
25,1,"medBMI",1979.34209044546,2221.10718934081,1760.94145466349
25,1,"medSBP",0,0,0
35,0,"direct",3623.66490550053,3734.81179258492,3118.86419507523
35,0,"medBMI",2953.10560864842,2983.01926012437,2159.28473168253
35,0,"medSBP",0,0,0
35,1,"medBMI",3194.65130757507,3566.24638684031,3333.37541522735
35,1,"direct",4195.1854683156,4404.60762068099,4888.60978040232
35,1,"medSBP",0,0,0
45,0,"direct",10858.3760400695,12961.0792517676,8632.06864068514
45,0,"medBMI",9430.36993442058,10012.6298051701,6709.87978366264
45,0,"medSBP",0,0,0
45,1,"medSBP",0,0,0
45,1,"medBMI",11172.7378666695,10191.7964673224,12460.7330248343
45,1,"direct",14153.3791483282,13660.5760360885,14738.4511510139
55,0,"medBMI",21224.8707292094,17440.7435729172,20282.601143009
55,0,"medSBP",0,0,0
55,0,"direct",27639.7163563545,27437.0732974006,29046.9747163847
55,1,"medSBP",0,0,0
55,1,"direct",33921.100260146,30163.3983286135,36957.5336781751
55,1,"medBMI",25668.8972980715,20915.070506985,23863.5923652755
65,0,"medSBP",0,0,0
65,0,"direct",36835.892093921,36558.8692044182,36873.2736808803
65,0,"medBMI",29945.8305745185,27863.5553099646,26294.670591767
65,1,"direct",37545.122630567,36432.960954171,32396.6501923322
65,1,"medSBP",0,0,0
65,1,"medBMI",26074.0040030486,22802.4889281648,24903.9445036955
75,0,"direct",37891.2583258536,30519.1415931764,35023.7225253234
75,0,"medBMI",28051.3039352777,30636.2989375752,25386.6865900198
75,0,"medSBP",0,0,0
75,1,"medBMI",39998.3397383388,40897.0905203216,39995.1813726868
75,1,"direct",58059.1396583671,57800.7150166934,50746.5090956026
75,1,"medSBP",0,0,0
