"pathway","disease_type3","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"direct","All_HD",2147.83185272081,134.009299337187,2131.22343980017,2028.31700869373,2281.46384773043,0.00517672390752419,0.000329857427829461,0.00514349868446508,0.00487867458958339,0.00550301466506523,0.514349868446508,0.487867458958339,0.550301466506523,0.877102623160651,0.0547249114625389,0.870320303343217,0.828296761998848,0.931673456167272
"direct","All_STK",7493.67501321298,405.480846505682,7267.4461550554,7252.56546116614,7927.07909469378,0.0507609444408116,0.00278292310411662,0.0494215185426996,0.0489270356554743,0.0537333652395441,4.94215185426996,4.89270356554742,5.37333652395441,3.06016600083308,0.165584802954203,2.96778170889081,2.96170493168491,3.23715371813217
"direct","Cancer",90764.1429428759,2537.38624912699,91790.0635508224,88070.2134661477,92586.0399028496,0.0897234092574438,0.00248174224333696,0.0907863326128686,0.0870821919534773,0.0914611417092994,9.07863326128686,8.70821919534773,9.14611417092994,37.065037360014,1.0361835970827,37.4839889903497,35.9649267495605,37.8090390846821
"direct","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","All_HD",6083.05151297972,568.067775862736,6050.20252982453,5558.02507229956,6635.99958934179,0.0146604230767351,0.00136790724083782,0.0145497197783476,0.0134111557089193,0.0160037882481804,1.45497197783476,1.34111557089193,1.60037882481804,2.48411458843814,0.231979861789958,2.47070016344157,2.2697113669914,2.70992007113197
"medBMI","All_STK",1928.65208259676,70.159535809384,1889.12235620677,1887.27364689208,2003.63078573294,0.0130659057731657,0.000548185550410866,0.0128033435851335,0.0127036330073086,0.0136513563988502,1.28033435851335,1.27036330073086,1.36513563988502,0.78759694278068,0.0286508056113382,0.771454325906105,0.770699374913396,0.818215734991354
"medBMI","Cancer",38480.8572581964,1615.85638169938,38979.1077559604,36789.7821988316,39748.419394462,0.0380394594912085,0.00158389517079894,0.0385528684128878,0.0363770630969416,0.0392654583020479,3.85528684128878,3.63770630969416,3.92654583020479,15.7142938353759,0.659861650363388,15.9177626581454,15.023715395238,16.2319237761598
"medBMI","DIAB",878.849141055261,43.09055399576,856.070466739042,852.13571723911,924.9244380402,0.01211696625918,0.000593258336629061,0.0117934850435819,0.0117576444758259,0.0127512470757924,1.17934850435819,1.17576444758259,1.27512470757924,0.358892566941671,0.0175967396587631,0.34959051893937,0.34798369897183,0.377708175713466
"medBMI","Other_CVD",3535.60989673191,152.166924375134,3565.53825373019,3380.44421081724,3665.33647919806,0.0320805615556336,0.00139780473940174,0.0323638958634315,0.0306528501196086,0.0332674388300304,3.23638958634315,3.06528501196086,3.32674388300304,1.44382471605864,0.0621398776438891,1.45604645510996,1.38046024459507,1.49680070932859
"medSBP","All_HD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","All_STK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","DIAB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","Other_CVD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
