"pathway","disease_type3","V1","V2","V3"
"direct","All_HD",2289.37123762149,2022.90088074076,2131.22343980017
"medSBP","All_HD",0,0,0
"medBMI","All_HD",6666.83101352691,6050.20252982453,5532.12099558772
"direct","All_STK",7251.78226675092,7961.79661783264,7267.4461550554
"medSBP","All_STK",0,0,0
"medBMI","All_STK",2009.65754518169,1889.12235620677,1887.17634640183
"direct","Cancer",92627.9333950616,87874.4318827438,91790.0635508224
"medSBP","Cancer",0,0,0
"medBMI","Cancer",39788.9094806989,36674.5545379301,38979.1077559604
"direct","DIAB",0,0,0
"medSBP","DIAB",0,0,0
"medBMI","DIAB",856.070466739042,928.548331266577,851.928625160166
"direct","Other_CVD",0,0,0
"medSBP","Other_CVD",0,0,0
"medBMI","Other_CVD",3565.53825373019,3670.58901738058,3370.70241908498
