"race","pathway","disease_type1","V1","V2","V3"
1,"direct","Cancer",67139.3511091757,61633.8142955343,63731.2261153125
1,"medSBP","Cancer",0,0,0
1,"medBMI","Cancer",33342.5678356387,30103.8773566231,31126.3437526288
1,"direct","CMD",36676.9127993501,37911.1129807254,32292.7208594209
1,"medSBP","CMD",0,0,0
1,"medBMI","CMD",45589.5881273822,43831.7073198849,39752.4961116854
2,"medSBP","Cancer",0,0,0
2,"medBMI","Cancer",3424.77176972615,3509.18525394447,4329.31256502138
2,"direct","Cancer",11532.4279824926,12364.6863707717,13440.2802414758
2,"medSBP","CMD",0,0,0
2,"medBMI","CMD",5929.94318299909,5904.16069218271,7312.50862962327
2,"direct","CMD",5171.97166041098,5307.91715774542,7016.85754363115
3,"medBMI","Cancer",1368.99410969469,1297.76502965536,1447.37312251697
3,"medSBP","Cancer",0,0,0
3,"direct","Cancer",6769.69510651352,7057.90643692223,7525.80601902031
3,"medBMI","CMD",1284.52219111333,1699.08657811013,1169.16443216829
3,"medSBP","CMD",0,0,0
3,"direct","CMD",1008.63971930071,1263.4245704826,1088.87090850768
4,"direct","Cancer",7186.45919687978,6818.0247795156,7092.7511750138
4,"medSBP","Cancer",0,0,0
4,"medBMI","Cancer",1652.57576563941,1763.72689770715,2076.07831579317
4,"direct","CMD",707.139045004635,1076.90793713428,1223.76050804968
4,"medSBP","CMD",0,0,0
4,"medBMI","CMD",818.573048890369,1242.03317516533,1205.94004222093
