"age","female","race","outcome","pathway","V1","V2","V3"
25,0,1,"AA","direct",0,0,0
25,0,1,"AA","medSBP",0,0,0
25,0,1,"AA","medBMI",0.347717849302673,0.467858912884479,0.50148780575992
25,0,1,"AFF","medSBP",0,0,0
25,0,1,"AFF","direct",0,0,0
25,0,1,"AFF","medBMI",0.0832490510154898,0.032058074073782,0.0633880171606502
25,0,1,"APCA","direct",0,0,0
25,0,1,"APCA","medBMI",0.00416206871305895,0.00759505412082294,0.00661049241299501
25,0,1,"APCA","medSBP",0,0,0
25,0,1,"BC","direct",0,0,0
25,0,1,"BC","medSBP",0,0,0
25,0,1,"BC","medBMI",0,0,0
25,0,1,"CC","medBMI",0.608628812160719,0.000265082426932545,0.890793305158773
25,0,1,"CC","direct",66.4766935898828,60.6599001232824,44.8612183467696
25,0,1,"CC","medSBP",0,0,0
25,0,1,"CM","medBMI",3.08743429324079,2.29464064189935,2.59797736540311
25,0,1,"CM","medSBP",0,0,0
25,0,1,"CM","direct",0,0,0
25,0,1,"DIAB","direct",0,0,0
25,0,1,"DIAB","medBMI",3.97625314187845,6.35913642039157,4.16076205823028
25,0,1,"DIAB","medSBP",0,0,0
25,0,1,"ECA","medSBP",0,0,0
25,0,1,"ECA","medBMI",0.368774020922531,0.43765083771167,0.101296688596687
25,0,1,"ECA","direct",0,0,0
25,0,1,"ENDO","medSBP",0,0,0
25,0,1,"ENDO","medBMI",0.402603078874717,0.454055902328457,0.772327156545853
25,0,1,"ENDO","direct",0,0,0
25,0,1,"GC","medBMI",0.012186387206192,0.00204196207278476,0.0268887807408124
25,0,1,"GC","direct",0,0,0
25,0,1,"GC","medSBP",0,0,0
25,0,1,"HHD","direct",0,0,0
25,0,1,"HHD","medBMI",3.61761264636099,3.31752257013805,2.99128999978192
25,0,1,"HHD","medSBP",0,0,0
25,0,1,"HSTK","direct",3.09405786929105,2.53145507016983,3.18566932716216
25,0,1,"HSTK","medBMI",0.767525511486336,0.642324551682893,0.569935403952743
25,0,1,"HSTK","medSBP",0,0,0
25,0,1,"IHD","medSBP",0,0,0
