"race","outcome","pathway","V1","V2","V3"
1,"AA","direct",0,0,0
1,"AA","medSBP",0,0,0
1,"AA","medBMI",40.2381058743744,40.3363532599591,37.1724611164975
1,"AFF","medSBP",0,0,0
1,"AFF","direct",0,0,0
1,"AFF","medBMI",122.129008670698,105.07436490007,102.251441486603
1,"APCA","direct",0,0,0
1,"APCA","medBMI",16.0964314785334,18.8668798022891,25.0635021401617
1,"APCA","medSBP",0,0,0
1,"BC","direct",0,0,0
1,"BC","medSBP",0,0,0
1,"BC","medBMI",421.98545922599,320.660771154197,351.884450280845
1,"CC","medBMI",93.3842825544843,91.5078811059153,55.101453808076
1,"CC","direct",7590.22880210514,6767.69449198568,7036.7303640346
1,"CC","medSBP",0,0,0
1,"CM","medBMI",71.7091245727111,76.8055941736181,62.4277403591541
1,"CM","medSBP",0,0,0
1,"CM","direct",0,0,0
1,"DIAB","direct",0,0,0
1,"DIAB","medBMI",647.635748345024,716.515533154555,639.425808096401
1,"DIAB","medSBP",0,0,0
1,"ECA","medSBP",0,0,0
1,"ECA","medBMI",67.7467909371862,80.3541264100943,58.6220014906063
1,"ECA","direct",0,0,0
1,"ENDO","medSBP",0,0,0
1,"ENDO","medBMI",9.11064009258436,8.75625713636405,7.57969566558064
1,"ENDO","direct",0,0,0
1,"GC","medBMI",9.80915743345505,9.51263302696008,9.74644718243926
1,"GC","direct",0,0,0
1,"GC","medSBP",0,0,0
1,"HHD","direct",0,0,0
1,"HHD","medBMI",466.660644159568,378.232811376152,300.031506421399
1,"HHD","medSBP",0,0,0
1,"HSTK","direct",523.029306253335,487.310794158992,470.613616468196
1,"HSTK","medBMI",123.28325067457,138.616678080126,112.205257950182
1,"HSTK","medSBP",0,0,0
1,"IHD","medSBP",0,0,0
1,"IHD","medBMI",1606.13560465461,1535.80465620282,1506.48299227944
1,"IHD","direct",1735.02625544454,1509.06090270868,1477.33048877296
1,"ISTK","direct",496.878680120566,603.027879126913,471.469987074832
1,"ISTK","medSBP",0,0,0
1,"ISTK","medBMI",194.91214309667,117.181571625807,132.014408141477
1,"KC","medSBP",0,0,0
1,"KC","medBMI",248.156181184568,251.690861169438,238.431930580112
1,"KC","direct",0,0,0
1,"LC","medSBP",0,0,0
1,"LC","direct",0,0,0
1,"LC","medBMI",0,0,0
1,"LVC","direct",0,0,0
1,"LVC","medSBP",0,0,0
1,"LVC","medBMI",120.362700356812,97.5581260172414,102.846165874228
1,"MLPC","medBMI",0,0,0
1,"MLPC","direct",696.621264975959,723.601688525368,666.397447673767
1,"MLPC","medSBP",0,0,0
1,"MMC","direct",0,0,0
1,"MMC","medBMI",28.7246054136118,23.6792679659662,24.8891706430751
1,"MMC","medSBP",0,0,0
1,"OC","direct",0,0,0
1,"OC","medSBP",0,0,0
1,"OC","medBMI",14.6603245976106,14.3196162581513,11.7029873355307
1,"OSTK","direct",1020.91229614895,1137.24274787194,878.552423823138
1,"OSTK","medBMI",249.394066483818,249.97462237417,237.422361560557
1,"OSTK","medSBP",0,0,0
1,"OTH","medBMI",137.761408476671,201.541670725666,141.105962747228
1,"OTH","medSBP",0,0,0
1,"OTH","direct",0,0,0
1,"PC","medSBP",0,0,0
1,"PC","medBMI",75.9411959428224,88.0132962275791,67.5409121102648
1,"PC","direct",0,0,0
1,"PVD","medBMI",29.6271145339167,28.782198299965,26.9339373503691
1,"PVD","direct",0,0,0
1,"PVD","medSBP",0,0,0
1,"RHD","medSBP",0,0,0
1,"RHD","direct",0,0,0
1,"RHD","medBMI",13.7484172870043,13.7761610803511,12.6377582115341
1,"SCC","direct",0,0,0
1,"SCC","medSBP",0,0,0
1,"SCC","medBMI",32.1145468370942,24.1635567697032,31.9959458322755
1,"SCNC","medBMI",0,0,0
1,"SCNC","medSBP",0,0,0
1,"SCNC","direct",0,0,0
1,"TC","direct",0,0,0
1,"TC","medBMI",38.8126437817615,36.3764031985703,47.2846773185151
1,"TC","medSBP",0,0,0
1,"UC","medSBP",0,0,0
1,"UC","direct",0,0,0
1,"UC","medBMI",403.578659588774,325.560893600126,387.981962400583
2,"AA","medSBP",0,0,0
2,"AA","medBMI",6.77065664144134,6.7811678875659,7.45861450253085
2,"AA","direct",0,0,0
2,"AFF","medSBP",0,0,0
2,"AFF","medBMI",3.34968688388629,3.7514613021302,6.65199608547783
2,"AFF","direct",0,0,0
2,"APCA","direct",0,0,0
2,"APCA","medBMI",7.8020084177495,8.87226467288244,5.79181129118449
2,"APCA","medSBP",0,0,0
2,"BC","medSBP",0,0,0
2,"BC","medBMI",35.1851306376275,50.5790354013481,44.6687305886282
2,"BC","direct",0,0,0
2,"CC","direct",1631.51285498973,1660.1947681685,1795.78881193556
2,"CC","medBMI",16.0490871107209,9.91334561420476,14.5542841690749
2,"CC","medSBP",0,0,0
2,"CM","direct",0,0,0
2,"CM","medBMI",23.5341869582537,21.542240050326,19.417178938469
2,"CM","medSBP",0,0,0
2,"DIAB","direct",0,0,0
2,"DIAB","medSBP",0,0,0
2,"DIAB","medBMI",153.720252195913,146.599501800162,159.309505635173
2,"ECA","medSBP",0,0,0
2,"ECA","direct",0,0,0
2,"ECA","medBMI",1.34671189132783,1.66942399218282,1.85602594370116
2,"ENDO","direct",0,0,0
2,"ENDO","medSBP",0,0,0
2,"ENDO","medBMI",1.51213120234682,1.16076453512514,1.19321553970299
2,"GC","medBMI",1.59043559973767,1.49553183548378,1.95113008822891
2,"GC","medSBP",0,0,0
2,"GC","direct",0,0,0
2,"HHD","medBMI",89.9431503103613,73.6637155628429,95.1461872695633
2,"HHD","direct",0,0,0
2,"HHD","medSBP",0,0,0
2,"HSTK","direct",97.9130276712281,96.7869321980191,116.048999985612
2,"HSTK","medBMI",23.4273607220924,26.0587454617337,32.1776457522928
2,"HSTK","medSBP",0,0,0
2,"IHD","medSBP",0,0,0
2,"IHD","direct",189.181039959885,174.521213693809,286.517016349894
