"age","female","race","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,1,"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AA","medBMI",0.439021522649024,0.0808393232524239,0.467858912884479,0.353724902481763,0.499806361116148,0.00854142041943899,0.0014884281564203,0.00931091678610541,0.00695001873052501,0.00947875019668652,0.931091678610541,0.695001873052501,0.947875019668652,0.00227527534741867,0.000418958319374455,0.00242472816397017,0.00183321661664466,0.00259029918412392
25,0,1,"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","medBMI",0.0595650474166407,0.0258087263015695,0.0633880171606502,0.0336245712281254,0.0822559993227479,0.00961048812706056,0.0033458792304957,0.0106212038123142,0.00611304458367957,0.0122488233379759,1.06212038123142,0.611304458367957,1.22488233379759,0.000308702140927277,0.00013375644626239,0.000328515084857651,0.000174262886979323,0.000426300392534415
25,0,1,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","medBMI",0.00612253841562563,0.00176774475819947,0.00661049241299501,0.00428448989805575,0.00754582603543154,0.0010514170735535,0.000223404752896097,0.00110291426770237,0.000821568165175184,0.00123749336690526,0.110291426770237,0.0821568165175185,0.123749336690526,3.17307011206225e-05,9.16152366424028e-06,3.42595741794874e-05,2.22048208080768e-05,3.91070393331331e-05
25,0,1,"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"BC","direct",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,1,"BC","medBMI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,1,"BC","medSBP",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,0,1,"CC","direct",57.3326040199783,11.1852745614807,60.6599001232824,45.6511524355953,66.1858539165527,0.069217513473718,0.0134936379291807,0.0758306991982614,0.0547998845157109,0.0780139345658633,7.58306991982614,5.47998845157109,7.80139345658633,0.29713226755459,0.0579688651943195,0.314376330560272,0.236591912604248,0.343015168950102
25,0,1,"CC","medBMI",0.499895733248808,0.455112393489488,0.608628812160719,0.0306832689136219,0.87668508050887,0.000586924629156771,0.00054095844576973,0.000694269613694787,3.50378309355693e-05,0.00104756819052066,0.0694269613694787,0.00350378309355693,0.104756819052066,0.00259076236462806,0.00235866798275212,0.00315428301483313,0.00015901927749723,0.00454351289908457
25,0,1,"CC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"CM","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"CM","medBMI",2.66001743351441,0.4000214630995,2.59797736540311,2.30980747807453,3.0629614468489,0.0124794714827894,0.00346823531111381,0.0111722097256304,0.00992071542858886,0.0161494000305752,1.11722097256304,0.992071542858886,1.61494000305752,0.0137858209175265,0.00207315342522801,0.0134642917207935,0.0119708208846694,0.0158741207676066
25,0,1,"CM","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"DIAB","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"DIAB","medBMI",4.83205054016677,1.32570899870213,4.16076205823028,3.98547858769604,6.2492177022835,0.0194122053401023,0.00493165639704526,0.0184996714674653,0.0151755032457996,0.0244245612261464,1.84996714674653,1.51755032457996,2.44245612261464,0.0250426115903932,0.00687062671642518,0.0215635882278479,0.0206551631535825,0.0323872298853675
25,0,1,"DIAB","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
