"race","disease_type3","V1","V2","V3"
1,"All_HD",7857.51979878972,6911.86051176298,6203.40771984259
1,"All_STK",7864.40021451393,8105.92880552044,7015.77265903529
1,"Cancer",100481.918944814,91737.6916521574,94857.5698679413
1,"DIAB",647.635748345024,716.515533154555,639.425808096401
1,"Other_CVD",3019.20971548995,3078.05033907852,2767.61580294769
2,"All_HD",807.940138456274,754.407788406498,1137.35803643572
2,"All_STK",982.421821209012,1105.5725528392,1550.28985307544
2,"Cancer",14957.1997522187,15873.8716247161,17769.5928064972
2,"DIAB",153.720252195913,146.599501800162,159.309505635173
2,"Other_CVD",419.029142274478,415.441981315297,457.547714739012
3,"All_HD",185.639687741864,244.849420697995,155.235902156539
3,"All_STK",232.658544924189,350.605550200609,258.743655950229
3,"Cancer",8138.68921620821,8355.67146657759,8973.17914153728
3,"DIAB",33.1658569482447,37.9421416338733,29.5835910875381
3,"Other_CVD",75.6796154509777,98.2357020172623,65.3739685300947
4,"All_HD",105.102626160544,161.985689697811,167.34277695304
4,"All_STK",181.959231285466,288.812065479173,329.816333396261
4,"Cancer",8839.03496251918,8581.75167722275,9168.82949080697
4,"DIAB",21.5486092498605,27.4911546779862,23.6097203410539
4,"Other_CVD",51.6197805147812,78.8609949695,80.1649328681852
