"race","disease_type2","V1","V2","V3"
1,"Cancer",100481.918944814,91737.6916521574,94857.5698679413
1,"DIAB",647.635748345024,716.515533154555,639.425808096401
1,"HHD",466.660644159568,378.232811376152,300.031506421399
1,"HSTK",646.312556927906,625.927472239118,582.818874418379
1,"IHD",3341.16186009915,3044.86555891149,2983.8134810524
1,"ISTK",691.790823217235,720.209450752721,603.484395216309
1,"OSTK",1270.30636263277,1387.21737024611,1115.9747853837
1,"Other_CVD",3019.20971548995,3078.05033907852,2767.61580294769
2,"Cancer",14957.1997522187,15873.8716247161,17769.5928064972
2,"DIAB",153.720252195913,146.599501800162,159.309505635173
2,"HHD",89.9431503103613,73.6637155628429,95.1461872695633
2,"HSTK",121.34038839332,122.845677659753,148.226645737905
2,"IHD",316.420193501778,326.564281555946,509.931975118371
2,"ISTK",81.4088195590453,89.6605584668653,142.170982088462
2,"OSTK",133.311061274943,165.58758300238,230.334795362149
2,"Other_CVD",419.029142274478,415.441981315297,457.547714739012
3,"Cancer",8138.68921620821,8355.67146657759,8973.17914153728
3,"DIAB",33.1658569482447,37.9421416338733,29.5835910875381
3,"HHD",12.8708242124818,19.7500513105646,10.9189024571088
3,"HSTK",25.9093065573395,29.4434871109594,38.7462852977136
3,"IHD",78.2897213774987,85.0438351671299,64.1183586921961
3,"ISTK",22.9906577167523,51.9773948648953,21.8450862451235
3,"OSTK",25.5702310739218,37.440798138415,28.7201933448957
3,"Other_CVD",75.6796154509777,98.2357020172623,65.3739685300947
4,"Cancer",8839.03496251918,8581.75167722275,9168.82949080697
4,"DIAB",21.5486092498605,27.4911546779862,23.6097203410539
4,"HHD",5.04463428787161,8.68982339444164,8.1213271697999
4,"HSTK",26.0388050427518,37.4085925005847,41.0639504183605
4,"IHD",54.5779826737392,82.8815343274029,90.3279590608595
4,"ISTK",13.85465030038,22.9186160359266,27.267822996115
4,"OSTK",22.0798942864599,35.6878886538226,44.3950312294798
4,"Other_CVD",51.6197805147812,78.8609949695,80.1649328681852
