"age","pathway","disease_type","V1","V2","V3"
25,"direct","Cancer",1268.35986425972,1306.79302743371,1324.10459020437
25,"medSBP","Cancer",0,0,0
25,"medBMI","Cancer",536.400701924318,618.685351382025,474.003508002145
25,"direct","CMD",570.152972845307,503.512095690726,600.563084942848
25,"medSBP","CMD",0,0,0
25,"medBMI","CMD",657.176160250992,606.888101331731,546.154774577874
35,"direct","Cancer",2579.05945403888,2488.78879624525,2786.73375799787
35,"medBMI","Cancer",979.231056391671,1097.91196416903,1005.46149548563
35,"medSBP","Cancer",0,0,0
35,"direct","CMD",1500.49696945564,1459.01178230098,1263.21021432955
35,"medBMI","CMD",1632.70966278984,1675.39660893169,1298.73421473723
35,"medSBP","CMD",0,0,0
45,"direct","Cancer",9180.54847710137,8503.34960671578,7342.34535488048
45,"medBMI","Cancer",4132.20978429113,4111.66118216291,3894.1753474574
45,"medSBP","Cancer",0,0,0
45,"direct","CMD",3704.90733790926,4803.1042415038,3487.87876594059
45,"medBMI","CMD",4523.85943436864,4441.20731576937,3685.41738460429
45,"medSBP","CMD",0,0,0
55,"medBMI","Cancer",10307.513264109,8940.12896239138,11223.3138664349
55,"medSBP","Cancer",0,0,0
55,"direct","Cancer",25720.4613119367,26493.8156836518,29646.8393579258
55,"medBMI","CMD",8378.98407433982,6721.52537485829,7311.77399417812
55,"medSBP","CMD",0,0,0
55,"direct","CMD",7154.7220886012,6066.90010691204,6889.58487132642
65,"medSBP","Cancer",0,0,0
65,"direct","Cancer",28376.0747321896,27695.3170341303,29806.0066617757
65,"medBMI","Cancer",13155.1729305075,10707.2595955706,12654.3680293244
65,"medSBP","CMD",0,0,0
65,"direct","CMD",11427.5090531701,11335.2339828934,9335.47701877393
65,"medBMI","CMD",12536.5086591797,11935.4270727572,10909.3440630377
75,"direct","Cancer",25503.4295555353,21386.367734567,20884.0338280381
75,"medBMI","Cancer",10678.3817434753,11198.9074822541,9727.78550925583
75,"medSBP","Cancer",0,0,0
75,"direct","CMD",19206.874802085,21391.6004367868,20045.4958642961
75,"medBMI","CMD",25893.3885594559,27296.5432916948,25688.6847845627
75,"medSBP","CMD",0,0,0
