"female","disease_type2","V1","V2","V3"
0,"Cancer",52681.0547722937,49656.1092027221,52900.2337481301
0,"DIAB",502.885407804847,579.443212815383,420.485756052739
0,"HHD",300.295302869295,248.034098306359,237.341164836903
0,"HSTK",345.643028858151,313.787924383773,295.076824924419
0,"IHD",2372.66456666635,2337.38394174113,2110.85241695795
0,"ISTK",380.033028876319,295.043234438648,320.888342977555
0,"OSTK",593.351072360307,752.32356786578,664.614685481652
0,"Other_CVD",1829.69163701958,1863.95874368971,1609.13527801931
1,"Cancer",79735.7881034667,74892.8772179518,77868.9375586527
1,"DIAB",353.185058934195,349.105118451194,431.442869107427
1,"HHD",274.223950100988,232.302303337643,176.876758480968
1,"HSTK",473.958028063166,501.837305126642,515.778930947939
1,"IHD",1417.78519098582,1201.97126822084,1537.33935696588
1,"ISTK",430.011921917094,589.72278568176,473.879943568455
1,"OSTK",857.916476907783,873.610072174946,754.810119838567
1,"Other_CVD",1735.84661671061,1806.63027369087,1761.56714106567
